I (familiar)	212	416
afraid	1	259
all	3	335
angry	5	260
animal	6	72
answer	7	248
area under house	9	190
armpit	10	147
arrow	11	219
ashes	13	213
back	16	138
bad	17	399
bald	18	396
bamboo	19	48
bamboo shoot	20	49
banana	21	57
bark	23	82
bathe	24	294
bear	25	74
beard	26	136
bee	28	115
belly	29	139
bend	30	426
betel nut	31	54
big	32	339
bird	33	93
bird nest	34	94
bite	35	83
bitter	36	376
black	37	362
blanket	38	194
blind	39	394
blood	40	164
blunt	117	385
boat	42	185
boil	43	307
bone	44	159
bow, crossbow	46	218
brain	47	121
branch	48	39
breath	51	239
bright	52	371
brother (eldr. of f.)	53	179a
brother (eldr. of m.)	54	179b
brother(yngr. of f.)	55	180a
brother(yngr. of m.)	56	180b
buffalo	57	88
burn	58	308
bury	59	302
butterfly	60	117
buttocks	61	151
buy	62	317
calf	63	155
candle	64	215
cane/rattan	65	51
cat	66	84
cave	67	36
cheek	68	128
chicken	69	99
child	70	174
chin	71	135
choose	72	254
clothing	75	195
cloud	76	5
cockroach	77	112
coconut	78	61
coconut shell ladle	231	206
cold	79	383
comb	80	202
come	81	276
cook	82	306
cooked rice	325	69
cool	83	433
corn	84	66
correct	85	400
cough	86	236
count	87	258
cow	88	86
crawl	89	275
crested	90	412
crocodile	91	105
dance	93	312
dark	94	370
day	95	13
deaf	96	395
deep	97	351
deer	98	75
die	100	269
different	290	373
difficult	101	434
dig	102	301
dirty	103	367
disappear	104	424
disgusting	105	431
do/make	106	428
dog	107	81
don't do it	108	429
door	109	187
dream	111	263
drink	112	232
drum	113	216
drunk	114	233
dry	115	380
duck	116	100
dust	118	28
dye	119	197
ear	120	129
earth	121	26
earthworm	493	415
east	122	19
easy	123	435
eat	124	227
egg	125	98
eggplant	126	62
eight	127	329
elbow	128	146
elephant	129	91
enter	131	277
exchange	132	319
excrement	133	167
extinguish	134	309
eye	135	125
eyebrow	136	124
eyelid	137	126
face	138	120
fall	139	283
far	140	358
fast	141	389
fat	142	347
fat	143	162
father	144	172
feather	145	96
few	146	337
fight	148	316
finger	149	149
finger nail	73	150
fire	150	212
firewood	151	211
fish	152	101
five	153	326
flesh	154	161
float	155	285
flow	156	287
flower	157	44
fly	158	97
fly	159	116
foot	161	157
forehead	162	123
forest	491	37
forget	163	253
four	164	325
friend	167	181
frog	168	106
fruit	169	45
full	170	230
blow	41	240
full	171	354
garlic	172	65
ghost	173	270
gibbon	174	77
ginger	175	64
give	176	288
gold	177	32
gong	178	217
good	179	398
grass	181	47
green	183	365
grind	184	299
gums	185	134
hair	186	122
half a quantity	188	430
half a unit	187	338
hand/arm	189	145
hard	190	387
hate	191	256
he, she	192	418
head	193	119
hear	194	222
heart	195	141
heavy	196	386
heel	197	158
hit	200	295
horn	202	89
hot	204	382
house	205	186
how many	206	406
hundred	207	332
hungry	208	229
hunt	209	314
hurt	210	264
husband	211	176
insect	217	107
intestine	218	144
iron	219	34
itch	221	266
jackfruit (fruit)	222	60
kapok	224	52
kick	225	281
kill	226	315
knee	227	154
kneel	228	273
knife	229	221
know	230	252
land leech	236	414
laugh	233	244
launder	234	293
leaf	235	43
left (side)	237	356
leg	238	152
lick	239	242
lie, fib	241	249
lift	242	427
lightning	243	9
lime for betel	245	31
liquor	246	56
liver	248	143
lizard (house)	249	103
long	250	341
loose	251	436
louse	252	110
love	253	255
lungs	254	142
man	255	169
mango (fruit)	256	59
many	257	334
mat	259	192
medicine	260	265
milk	50	87
mist	160	6
monkey	262	76
moon	263	3
mud	270	27
morning	264	14
mortar	265	207
mosquito	266	114
mother	267	173
mountain	268	35
mouth	269	130
mushroom	271	50
naked	272	397
name	273	182
narrow	274	350
navel	275	140
near	277	359
needle	279	201
new	280	368
night	281	12
nine	282	330
noon	283	15
north	284	21
nose	285	127
old	287	369
one	288	322
opium	289	55
paddy rice	326	68
palm	292	148
pangolin	302	411
papaya	303	58
paper	295	204
pay	296	320
peanut	297	63
person	300	171
pestle	301	208
pig	304	85
pillow	305	193
plant	306	300
plate	307	210
play	308	311
porcupine	310	79
pot	311	205
pound	312	305
pounded rice	327	??
pull	313	280
pus	314	166
push	315	279
rabbit	317	78
rain	318	7
rainbow	319	8
rat	320	80
red	321	364
red pepper	322	67
return	323	278
rib	324	160
rice seedling	328	410
right (side)	329	355
ring	330	203
ripe	331	409
river	332	24
road (path)	333	184
roof	334	189
root	335	42
rotten	337	378
round	338	353
rub	339	291
saliva	341	132
salt	342	71
sand	344	30
sarong	345	??
scorpion	346	118
scratch	347	267
sea	348	25
see	349	224
seed	350	46
sell	351	318
seven	352	328
sew	353	200
shadow	354	??
shallow	355	352
sharp	356	384
shave (beard)	357	137
shin	358	156
shiver	359	268
shoot	360	313
short (height)	361	344
short (length)	362	342
shout	363	247
silver	364	33
sing	365	250
sink	366	286
sister (elder of m)	368	179d
sister (eldr. of f.)	367	179c
sister (yngr. of f.)	369	180c
sister (yngr. of m.)	370	180d

sit	371	271
six	372	327
skin	373	163
skinny	374	348
sky	375	1
sleep	376	261
sleeping area	377	422
slow	378	390
small	379	340
smell	380	223
smile	381	243
smoke	382	214
smooth	383	388
snail	384	113
snake	385	102
sneeze	386	237
snore	387	262
some	391	336
son-in-law	392	175
sour	393	375
south	394	22
speak	395	245
spear	396	220
spicy, hot	397	377
spider	398	108
spider web	399	109
spit	400	235
split	401	296
split w knife	402	425
spoon	403	209
cut	92	297
stab	405	298
stand	406	272
star	407	4
steal	408	321
stone	410	29
straight	411	357
stream	412	407
strong	413	391
suck	414	241
sugarcane	415	53
sun	416	2
swallow	417	228
sweat	418	165
sweet	419	374
swell	420	379
swim	422	284
tail	423	90
take	424	423
tall	425	343
tell	426	246
ten	427	331
termite	428	111
that	429	361
the same	343	372
they	431	421
thick	432	345
thigh	433	153
thin	434	346
think	435	251
thirsty	436	231
this	437	360
thorn	439	41
thou (2s)	499	417
thousand	440	333
three	441	324
throw	442	282
thunder	443	10
tie	444	289
tiger	445	73
tired	446	393
tomorrow	447	17
tongue	448	131
tooth	449	133
tree	450	38
tree bark	22	40
trousers	451	199
turtle	453	104
tusk	454	92
two	456	323
urine	457	168
village	458	183
vomit	459	234
wait	460	257
walk	461	274
wall of house	462	191
warm	463	432
wash	464	292
water	465	23
water leech	466	413
we (inclusive)	467	419
weak	468	392
weave (cloth)	469	196
weep	470	226
west	471	20
wet	472	381
wet rice field	220	408
what	473	405
when (future)	474	402
when (past)	475	402
where	476	403
whistle	477	??
white	478	363
who	479	404
wide	480	349
widow	481	178
wife	482	177
wind	483	11
window	484	188
wing	485	95
wink	486	225
winnow (rice)	487	303
wipe	488	290
woman	490	170
work	492	310
wrong	494	401
yawn	495	238
year	496	18
yellow	497	366
yesterday	498	16
you	500	420
