NUMBER	CLASSIFICATION_1	CLASSIFICATION_2	CLASSIFICATION_3	GERMAN	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	MATCH_QUALITY
1	I. Pronomina	A. Personalia	-	ich	*I	1209	I	2

2	I. Pronomina	A. Personalia	-	du	*thou	1215	THOU	2

3	I. Pronomina	A. Personalia	-	wir	*we	1212	WE	2

4	I. Pronomina	A. Personalia	-	ihr	*you	1213	YOU	2

5	I. Pronomina	B. Demonstrativa, reflexiva, determinativa, indefinita	-	dies	*this	1214	THIS	2

6	I. Pronomina	B. Demonstrativa, reflexiva, determinativa, indefinita	-	das	*that	78	THAT	2

7	I. Pronomina	C. Possessiva	-	mein	*my	2090	MY	2

8	I. Pronomina	C. Possessiva	-	dein	*your	2091	YOUR	2

9	I. Pronomina	C. Possessiva	-	unser	*our	780	OUR	2

10	I. Pronomina	C. Possessiva	-	euer	*your	2091	YOUR	2

11	I. Pronomina	D. Fragwörter	-	wer	*who	1235	WHO	2

12	I. Pronomina	D. Fragwörter	-	was	*what	1236	WHAT	2

13	I. Pronomina	D. Fragwörter	-	wann	*when	1238	WHEN	2

14	I. Pronomina	D. Fragwörter	-	wo	*where	1237	WHERE	2

15	I. Pronomina	D. Fragwörter	-	wie	*how	1239	HOW	2

16	II. Zahlwörter	-	-	eins	*one	1493	ONE	2

17	II. Zahlwörter	-	-	zwei	*two	1498	TWO	2

18	II. Zahlwörter	-	-	drei	*three	492	THREE	2

19	II. Zahlwörter	-	-	vier	*four	1500	FOUR	2

20	II. Zahlwörter	-	-	fünf	*five	493	FIVE	2

21	III. Substantiva	A.Gott, Himmel, Gestirne	-	Gott	*god	1944	GOD (noun)	2

22	III. Substantiva	A.Gott, Himmel, Gestirne	-	Himmel	*sky	1732	SKY (noun)	2

23	III. Substantiva	A.Gott, Himmel, Gestirne	-	Stern	*star	1430	STAR (noun)	2

24	III. Substantiva	B. Himmelsgegenden	-	Norden	*north	1598	NORTH (noun)	2

25	III. Substantiva	B. Himmelsgegenden	-	Süden	*south	1595	SOUTH (noun)	2

26	III. Substantiva	B. Himmelsgegenden	-	Westen	*west	1817	WEST (noun)	2

27	III. Substantiva	B. Himmelsgegenden	-	Osten	*east	1877	EAST (noun)	2

28	III. Substantiva	C. Zeit	-	Zeit	time	892	TIME (noun)	2

29	III. Substantiva	D. Wetter	-	Wetter	*weather	952	WEATHER (noun)	2

30	III. Substantiva	D. Wetter	-	Regen	*rain	658	RAIN (PRECIPATION) (noun)	2

31	III. Substantiva	E. Erde	-	Land	land	626	LAND (noun)	2

32	III. Substantiva	E. Erde	-	Feld	field	212	FIELD (noun)	2

33	III. Substantiva	E. Erde	-	Ebene	plain	652	PLAIN (noun)	2

34	III. Substantiva	E. Erde	-	Weg	path	2252	PATH (noun)	2

35	III. Substantiva	E. Erde	-	Ort	place	723	PLACE (POSITION) (noun)	2

36	III. Substantiva	E. Erde	-	Berg	mountain	639	MOUNTAIN (noun)	2

