NUMBER	GLOSS	OMEGAWIKI	CGLOSS
1	sun	5850	SUN
2	(the sun) rises	?	
3	(the sun) sets	?	
4	rise	?		[do you use the same words to indicate that you get up in the morning and you go to bed at night? If not, what do you say?]
5	moon	5729	MOON
6	bad weather	4129?	WEATHER
7	nice weather	4129?	WEATHER
8	fog	1502	FOG
9	cloud	623	CLOUD
10	it rains	?	
11	wind	4160	WIND
12	it is blowing	1375415?	BLOW
13	lightning	963421	BOLT OF LIGHTNING
14			
15	it lightens	?	
16	thunder	509787	THUNDER
17	rainbow	7041	RAINBOW
18	puddle	?	
19	hail	?	
20	snow	3455	SNOW
21	icicle	?	
22	rivulet	?	
23	river	3253	RIVER
24	pond	?	
25	lake	2061	LAKE
26	sea	6154	SEA
27	deep	6535	DEEP
28	shallow	1404411	SHALLOW
29	mountain	2421	MOUNTAIN
30	hill	1772	HILL
31	clay	599	CLAY
32	copper, brass	761	COPPER
33	lead	2119	LEAD, CHEMICAL ELEMENT
34	tin	3780	TIN, CHEMICAL ELEMENT
35	flower	1487	FLOWER
36	thorn	1243793	THORN
37	ear	5510	EAR
38	to flower, to blossom	?	
39	to mature, to ripen	?	
40	tree	3854	TREE
41	trunk	344683	TRUNK OF TREE
42	trunk (fallen)
43	bough, branch	6343	BRANCH
45	leaf	2124	LEAF
46	bush, shrub	6933?	BUSH
46	bush, shrub	3414?	SHRUB
47	wood, forest	741520	WOOD
47	wood, forest	1533	FOREST
48	fir, scots pine	843491	FIR
49	fir-cone	?	
50	spruce	?	
51	silver-fir	?	
52	larch	1223914	LARCH
53	oak	2597	OAK
54	beech	880926	BEECH
55	birch	7898	BIRCH
56	poplar	?	
57	apple
58	apple-tree	?	
59	pear	?	
60	plum	?	
61	juniper	?	
62	hazel	?	
63	raspberry	?	
64	blackberry	?	
65	blackberry-bush	?	
66	bilberry	?	
67	strawberry	?	
68	cereals	?	
69	rye	1054188	RYE
70	wheat	466721	WHEAT
71	barley	398106	BARLEY
72	oat	?	
73	maize	157264	MAIZE
74	buckwheat	?	
75	cabbage	?	
76	pod	?	
77	cucumber	?	
78	tomato	?	
79	onion	?	
80	garlic	?	
81	dandalion	?	
82	plantain	1511168	PLANTAIN
83	cornflower	?	
84	clover	?	
85	blackthorn, sloe	?	
86	sunflower	?	
87	toadstool	?	
88	poisonous	?	
89	dog	966	DOG
90	dog	966	DOG
91	bitch	?	
92	whelp	?	
93	to bark	5439	BARK
94	cat	5446	CAT
95	tom-cat	?	
96	tabby-cat	?	
97	kitten	?	
98	to mew	?	
99	fox	5726	FOX
100	squirrel	666598	SQUIRREL
101	weasel	?	
102	mole	?	
103	mole-hill	?	
104	rat	6233	RAT
105	bat	7344	BAT
106	bird	400	BIRD
107	beak, bill	1142217	BEAK
107	beak, bill	468867	BILL
108	wing	5528	WING
109	feather	5436	FEATHER
110	finch	?	
111	cuckoo	?	
112	lark	?	
113	partridge	?	
114	swallow	380335	SWALLOW
115	sparrow	?	
116	nightingale	?	
117	stork	?	
118	duck	5886	DUCK
119	drake	?	
120	duck (fem.)	5886	DUCK
121	duckling	?	
122	fisch (sic!)	1460	FISH
123	ant	160271	ANT
124	ant-hill	?	
125	grass-hopper	?	
126	lady-bird	?	
127	butterfly	7316	BUTTERFLY
128	caterpillar	?	
129	firefly	1415152	FIREFLY
130	bug	441	BUG
131	lizard	2189	LIZARD
132	frog	1570	FROG
133	tadpole	?	
134	toad	3784	TOAD
135	slug	?	
136	snail	638694	SNAIL
137	worm	5466	WORM
138	man	6397	MAN
139	woman	4165	WOMAN
140	tall	335942	TALL
141	fat	5624	FAT
142	thin, slim	5990	THIN
143	strong	345510	STRONG
144	skin	3430	SKIN
145	head	5527	HEAD
146	hair	446278	HAIR
147	bald	490061	BALD
148	ginger headed one	?	
149	freckles	?	
150	beard	333455	BEARD
151	moustache	?	
152	temples	6567	TEMPLES
153	face	6410	FACE
154	forehead	1241509	FOREHEAD
155	cheek	7034	CHEEK
156	mouth	332000	MOUTH
157	lip	154710	LIP
158	jaw	348120	JAW
159	tooth	5946	TOOTH
160	molar	451991	MOLAR TOOTH
161	saliva	6259	SALIVA
162	neck	5823	NECK
163			
164	armpit	818235	ARMPIT
165	arm	6894	ARM
166	hand	5616	HAND
167	left handed	?	
168	fist	615259	FIST
169	finger	5675	FINGER
170	wrist	348173	WRIST
171	leg	5665	LEG
172	knee	5918	KNEE
173	thigh	348189	THIGH
174	calf	156660	CALF OF LEG
175	foot	5672	FOOT
176	back	5648	BACK
177	naked	160368	NAKED
178	lungs	334158	LUNG
179	belly	5516	BELLY
180	stomach	352530	STOMACH
