NUMBER	GLOSS	OMEGAWIKI	CGLOSS
181	liver	5476	LIVER
182	kidneys	155634	KIDNEY
183	eye	5511	EYE
184	eyes	5511	EYE
185	eyebrows	523726	EYEBROW
186	eyelid	1046808	EYELID
187	eyelash	637874	EYELASH
188	to see	6003	SEE
189	to look	7550	LOOK
189	to look	6142	LOOK FOR
190	blind	6807	BLIND
190	blind	1542706	BLIND MAN
191	crosseyed	?	
192	ear	5510	EAR
193	to hear	5999	HEAR
194	to listen	6576	LISTEN
195	deaf	428203	DEAF
196	nose	5471	NOSE
197	to smell	6521	SMELL, STINK
198	to smell	6520	SMELL, PERCEIVE
199	to loose	?	
200	to look for	6142	LOOK FOR
201	to hide	161806	HIDE, CONCEAL
202	to keep	6163	KEEP
203	to throw	6072	THROW
204	to lift	156785	LIFT
205	ill	7800	SICK
206	to heal, to cure	156675	CURE
207	doctor	?	
208	caught a cold	?	
209	cold	1178541	COLD DISEASE
210	with a hump	?	
211	old man	1526622	OLD MAN
212	old woman	385678	OLD WOMAN
213	to bury	702018	BURY
214	coffin	?	
215	grave	7187	GRAVE
216	graveyard, cemetary	?	
217	breakfast	5787	BREAKFAST
218	dinner	7654	DINNER, SUPPER
219	snack, tea	5927	TEA
220	supper	7654	DINNER, SUPPER
221	to prepare	?	
222	cold (water)	5639	COLD OF TEMPERATURE
223	warm (water)	5485	WARM
224	hot (water)	5637	HOT
225	boiling (water)	347033	BOIL OF LIQUID
226	peelings	?	
227	thirst	?	
228	drunkard	?	
229	to smoke	6968	SMOKE, INHALE
230	clothes	8254	CLOTHES
231	pocket	7816	POCKET
232	soap	3458	SOAP	
233	to dry	7277	DRY UP
234	towel	436437	TOWEL
235	comb	6157	COMB
236	mirror	520838	MIRROR
237	to shave	?	
238	to understand	6356	UNDERSTAND
239	to remember	335793	REMEMBER
240	to forget	6328	FORGET
241	miser	?	
242	to scare	?	
243	to wish	?	
244	to like	?	
245	to love	395193	LOVE
246	to kiss	158442	KISS
247	to lie	161769	LIE, MISLEAD
248	well	4138	WELL
249	to work	471303	WORK, ACTIVITY
250	workman	?	
251	lazy	6424	LAZY
252	to do	351006	DO
253	fallow land	?
254	uncultivated land	?	
255	dung	?	
256	ploughman	?	
257	clod	?	
258	handle	?	
259	plough-share	?	
260	mouldboard	?	
261	plough-beam	?	
262	reaping-time	?	
263	crop, harvest	1722	HARVEST
264	scythe	1050369	SCYTHE
265	to mow, to cut	1403529	MOW
266	sickel	?	
267	to cut with a sickel	1510941	CUT DOWN
268	sheaf	?	
269	sheaf tie band	844574	TIE
270	stubble	?	
271	threshingfloor	?	
272	to thresh	1506115	THRESH
273	flail	?
274	grain of corn	1674	GRAIN
275	straw	?	
276	grass	1675	GRASS
277	meadow	?	
278	hay-time	?	
279	hay-rake	?	
280	hay-loft	?	
281	well	4138	WELL
282	pig	5836	PIG
283	boar	5868	BOAR
284	hog	?	
285	sow	5871	SOW, FEMALE PIG
286	piglet	?	
287	snout	?	
288	henhouse	?	
289	cock	?	
290	to crow	388727	CROW
291	hen	6311	HEN
292	broody-hen	?	
293	chicken	5778	CHICKEN
294	egg	340828	EGG
295	shell	161542	SHELL
296	eggwhite	?	
297	yolk	6404	YOLK
298	goose	534216	GOOSE
299	gander	?	
300	goose (fem.)	534216	GOOSE
301	gosling	?	
302	pigeon	?	
303	cattle	511	CATTLE
304	horse	1780	HORSE
305	stallion	399816	STALLION
306	gelding	?	
307	mare	400028	MARE
308	foal	6776	FOAL
309	curry-comb	?	
310	to neigh	?	
311	cow	432006	COW
312	heifer	?	
313	bull	432142	BULL
314	ox	518788	OX
315	calf	941919	CALF
316	cattle	511	CATTLE
317	to chew the cud	1510493	CHEW
318	hoof	?	
319	tail	5468	TAIL
320	ram	5855	RAM
321	wether	?	
322	ewe	5856	EWE
323	lamb	352601	LAMB
324	sheep	5819	SHEEP
325	with horns	5844	WITH
326	to butt	?	
327	billy-goat	?	
328	goat	6257	GOAT
329	young billy-goat	?
330	milk	2358	MILK FLUID
331	beestings	?	
332	curdle milk	?	
333	cream	?	
334	pasture	2725	PASTURE
335	shepherd	?	
336	shepherdess	?	
337	flock	?	
338	garden	1601	GARDEN
339	scare-crow	?	
340	potato	160661	POTATO
341	potato haulms	?	
342	bee	325	BEE
343	swarm	?	
344	hive, skep	?	
345	hammer	6183	HAMMER
346	nail	156863	NAIL
347	fail	?	
348	hatchet	?	
349	knife	5873	KNIFE
350	grindstone	?	
351	loaf, bread	5910	BREAD
352	miller	?	
353	meal	6332	MEAL
354	paste-board	?	
355	to knead	1505815	KNEAD
356	to bake	1392775	BAKE
357	to cut	6043	CUT	
358	crust	?	
359	hunter	?	
360	fisherman	7928	FISHERMAN
361	greasy	?	
362	flitch	?	
363	lard	?	
364	scraps	?	
365	wood-cutter	?	
366	axe	333200	AXE
367	to saw	876531	SAW
368	to split	6048	SPLIT
369	carpenter, joiner	447386	CARPENTER
370	board	5479	BOARD
371	cooper	?	
372	barrel	?	
373	stave	?	
374	cartwright	?	
375	wheel	335923	WHEEL
376	hub	?	
377	spoke	?	
378	rim	?	
379	tire	?	
380	blacksmith	430574	BLACKSMITH
381	anvil	6777	ANVIL
382	woman who spins	?
383	weaver	?	
384	weaving-loom	?	
385	shuttle	?	
386	cobbler	?	
387	market	2276	MARKET
388	fair	?	
389	money	6408	MONEY
390	how much?	158133	HOW MUCH
391	expensive, dear	6036	EXPENSIVE
392	cheap	8184	CHEAP
393	beggar	853288	BEGGAR
394	poor	6897	POOR
395	rich	336015	RICH
396	thief	515549	THIEF
397	house	5517	HOUSE
398	to live	478515	LIVE
399	bricklayer	?	
400	to paint	2709	PAINT, PIGMENTS
401	window	5932	WINDOW
402	door	6430	DOOR
403	to open	513017	OPEN
404	to unlock	?	
405	to shut	448880	SHUT
406	to lock	6546	LOCK
407	roof	344031	ROOF
408	gutter	?	
409	chimney	569	CHIMNEY
410	staircase	?	
411	stair	?	
412	ladder	6099	LADDER
413	rung	?	
414	table	7196	TABLE
415	table leg	?
417	bench	?	
418	cradle	?	
419	to rock	3266	ROCK
420	funnel	?	
421	glass	1656	GLASS
422	spoon	5944	SPOON
423	fork	5673	FORK
424	to light, to kindle	339690	LIGHT, IGNITE
425	to light	339690	LIGHT, IGNITE
427	match	499237	MATCH
428	fire	1446	FIRE
429	fireplace	1395201	FIREPLACE
430	to burn	6039	BUR
431	to sew	6073	SEW
432	needle	5951	NEEDLE FOR SEWIN
433	thread	515580	THREAD
434	scissors	5807	SCISSORS
435	to cut	6043	CUT
436	to wash the linen	6069	WASH
437	to rinse	?	
438	stain	?	
439	dust	1009	DUST
440	road	3258	ROAD
441	muddy	?	
442	path	4382	PATH
443	yoke	1031313	YOKE
444	farmcart	?	
445	wagon	415600	WAGON
446	bridegroom	?	
447	bride	?	
448	wedding	5532	WEDDING
449	to get married	?	
450	to marry	1411401	MARRY
451	husband	5432	HUSBAND
452	wife	5429	WIFE
453	family	1405	FAMILY
454	relatives	6740	RELATIVES
455			
456	dad	?	
457	mother	5463	MOTHER
458	mum	5463	MOTHER
459	child	7413	CHILD DESCENDANT
460	son	6634	SON
461	daughter	5881	DAUGHTER
462	twins	431713	TWINS
463	brother	5541	BROTHER
464	sister	5544	SISTER
465	grandfather	5953	GRANDFATHER
466	grand-dad	5953	GRANDFATHER
467	grandmother	6247	GRANDMOTHER
468	granny	6247	GRANDMOTHER
469	son-in-law	?	
470	daughter-in-law	?	
471	uncle	5806	UNCLE
472	aunt	5591	AUNT
473	nephew	454945	NEPHEW
474	niece	6735	NIECE
475	cousin	6736	COUSIN
476	cousin	6736	COUSIN
477	to talk, to speak	6656	SPEAK
478	to say	6075	SAY
479	to tell	701342	TELL
480	fairy-tale	?	
481	riddle	?	
482	to ask	7621	ASK, REQUEST
483	to beg	?	
484	festival	?	
485	to danse	?	
486	to sing	5540	SING
487	to whistle	440386	WHISTLE
488	to play	6010	PLAY
489	doll	?	
490	ball	7785	BALL
491	village	3968	VILLAGE
492	town	5974	TOWN
493	neighbour	5820	NEIGHBOUR
494	teacher	445262	TEACHER
495	exercise book	417	BOOK
496	paper	2713	PAPER
497	pencil	?	
498	ink	?	
499	letter	6590	LETTER
500	Christmas	?	
501	Easter	?	
502	bell	?	
503	witch	353642	WITCH
504	empty	6659	EMPTY
505	twenty	7013	TWENTY
506	forty	7018	FORTY
507	ninety	7023	NINETY
508	a hundred	6685	HUNDRED
509	a thousand	7755	THOUSAND
510	once	?	
511	one half	352085	HALF
512	on and a half	?	
513	straight on	5994	STRAIGH
514	right	436024	RIGHT
515	left	1499731	LEFT
516	time	3779	TIME
517	hour	5874	HOUR
518	clock	5790	CLOCK
519	morning	5840	MORNING
520	noon	1026415	MIDDAY
521	afternoon	7455	AFTERNOON
522	evening	6671	EVENING
523	night	5486	NIGHT
524	the day before yesterday	528467	DAY BEFORE YESTERDAY
525	yesterday	525186	YESTERDAY
526	last night	?	
527	today	5630	TODAY
528	tomorrow	5808	TOMORROW
529	the day after tomorrow	528451	DAY AFTER TOMORROW
530	early	331892	EARLY
531	late	154705	LATE
532	week	6145	WEEK
533	Monday	6992	MONDAY
534	Tuesday	6991	TUESDAY
535	Wednesday	6990	WEDNESDAY
536	Thursday	6989	THURSDAY
537	Friday	6988	FRIDAY
538	Saterday (sic!)	6994	SATURDAY
539	Sunday	6993	SUNDAY
540	year	5478	YEAR
541	last year	1577370	LAST YEAR	
542	winter	6147	WINTER
543	spring	3596	SPRING OF WATER
544	summer	5848	SUMMER
545	autumn	5615	AUTUMN
546	last	6337	LAST, FINAL	
