# http://comparalex.org/index.php?page=stdlist&id=11
1	001	mouth	bouche
2	002	eye	oeil
3	003	head	tête
4	004	hair (body)	poil (du corps)
5	004.5	hair (head)	cheveux (de tête)
6	005	tooth	dent
7	006	tongue	langue
8	007	nose	nez
9	008	ear	oreille
10	009	neck	cou
11	010	breast	sein, mamelle
12	011	arm (forearm)	bras
13	012	claw	griffe
14	013.1	leg	jambe
15	013.2	thigh	cuisse
16	013.3	hip	hanche
17	014	foot	pied
18	017	buttocks	fesse
19	018	belly	ventre
20	019	navel	nombril
21	020	liver	foie
22	021	guts / bowels	intestins
23	022	blood	sang
24	023	urine	urine
25	024	feces / excrement	excrément
26	025	bone	os
27	026	skin (of man)	peau (d'homme)
28	027	wound	plaie, blessure
29	028	wing	aile
30	029	feather (s)	plume
31	030	horn	corne
32	031	tail	queue
33	032	person / human	personne
34	033	man (vir)	homme (mâle)
35	034	woman	femme
36	035	wife	femme, épouse
37	036	husband	mari, époux
38	037	father	père
39	038	mother	mère
40	039	child (offspring)	enfant
41	040	brother	 
42	041	sister	soeur (aînée/cadette)
43	042	mother's brother	oncle maternel
44	043	name	nom
45	044	sky	ciel
46	045	night(time)	nuit
47	046	moon	lune
48	047	star	étoile
49	048.1	day of 24 hours	jour, journée
50	048.2	daylight	jour, lumière
51	049	sun	soleil
52	050	wind	vent
53	051	cloud(s)	nuage
54	052	dew	rosée
55	053	rain	pluie
56	054.1	rainy season	saison des pluies, hivernage
57	054.2	dry season	saison sèche
58	055	year	an, année
59	056	earth (soil)	terre (sol)
60	057	sand	sable
61	058	stone	caillou
62	059	hill	colline
63	060	path	chemin, route
64	061	water	eau
65	062	river	rivière, fleuve
66	062.3	stream	ruisseau
67	063	house, hut	maison
68	063	house, hut	case
69	064	village	village
70	065.1	fire	feu
71	065.2	firewood	bois à brûler
72	066	smoke	fumée
73	067	ash(es)	cendres
74	068	rubbish, garbage	ordures
75	069	hole (in ground)	trou
76	070	calabash / gourd	calebasse
77	070	calabash / gourd	courge
78	071	knife	couteau
79	072	rope	corde
80	073.1	spear	lance (javelot)
81	073.2	arrow	flèche
82	074	war	guerre
83	075	clothing	vêtement(s), habit(s)
84	077.1	animal	animal
85	077.2	meat; flesh	viande
86	077.2	meat; flesh	chair
87	078	dog	chien
88	079	elephant	éléphant
89	080	leopard	léopard
90	081	goat	chèvre
91	082	bird	oiseau
92	083	tortoise (land)	tortue (terrestre)
93	084	snake	serpent
94	085	fish	poisson
95	086	louse	pou (de tête)
96	087	egg	oeuf
97	088.1	tree	arbre
98	088.2	stick / club	massue
99	088.2	stick / club	bâton
100	089	bark (tree)	écorce (d'arbre)
101	090	leaf (tree)	feuille
102	091	seed	grain, semence
103	092	root (of tree)	racine
104	093	grass	herbe
105	094	salt	sel
106	095.1	fat / grease	graisse
107	095.2	oil	huile
108	096	old (worn)	(être) vieux, ancien
109	097	new	(être) nouveau, neuf
110	098	deep	(être) profond
111	098.1	to burn / be alight	se brûler
112	098.1	to burn / be alight	éclairer
113	099	big	(être) grand, gros
114	100	small	(être) petit
115	101	wide	(être) large
116	102	narrow	(être) étroit
117	103	long (thing)	(être) long
118	104	short	(être) court
119	105	round (adj.)	(être) rond
120	106	heavy	(être) lourd
121	107	full, filled	(être) plein
122	108	become dry	sécher
123	108	become dry	(être) sec
124	109	rotten	(être) pourri, gâté
125	110	good	(être) bon
126	111	bad	(être) mauvais
127	112	cold (weather)	temps froid
128	113	hot weather	temps chaud
129	114.1	hunger; be hungry	(avoir) faim
130	114.1	hunger; be hungry	faim
131	115	sharp	(être) pointu, trenchant, aigu
132	116	sorrow; be sad	(être) triste
133	116	sorrow; be sad	chagrin, peine
134	117	black	(être) noir
135	118	white	(être) blanc
136	119	red	(être) rouge
137	120	one	un (1)
138	121	two	deux (2)
139	122	three	trois (3)
140	123	four	quatre (4)
141	124	five	cinq (5)
142	125	six	six (6)
143	126	seven	sept (7)
144	127	eight	huit (8)
145	128	nine (=tisa)	neuf (9)
146	129	ten	dix (10)
147	130	twelve	douze (12)
148	131	fifteen	quinze (15)
149	131.1	twenty	vingt (20)
150	132	hundred	cent (100)
151	133	come (to)	venir
152	134	send (someone)	envoyer en commission
153	135	walk (v.)	marcher
154	136	run	courir
155	137	fall	tomber
156	138.1	to leave, depart	quitter, partir
157	138.2	arrive	arriver
158	139	fly (v.)	voler
159	140	pour	verser
160	141	fight	se battre, combattre
161	142	hit, strike	frapper, donner un coup
162	143	to bite	mordre
163	144.1	scratch	éraflure
164	144.2	scratch oneself	égratigner, érafler
165	145	rub	frotter
166	146.1	wash (clothes)	laver (habits)
167	146.2	to bathe (oneself)	se laver
168	146.2	to bathe (oneself)	se baigner, se laver
169	147.1	chop	découper, couper en morceaux
170	147.2	cut	couper
171	147.3	split (wood)	fendre
172	148	tie	attacher
173	149.1	take	prendre
174	149.2	give	donner
175	150.1	to seek	chercher, essayer de trouver
176	150.1	to seek	chercher attentivement
177	150.2	find (v.)	trouver
178	151	steal	voler (dérober)
179	152	press	presser, serrer
180	153	to braid, to plait	tresser (les cheveux)
181	154	hunt (v)	chasser
182	155.1	cultivate	cultiver
183	155.3	bury	enterrer, ensevelir
184	156	cook (v.)	(faire) cuire, cuisiner
185	157	burn (something)	brûler
186	158	eat	manger
187	159	drink	boire
188	160	vomit	vomir
189	161	suck	sucer
190	162	spit	cracher
191	163	blow	souffler
192	164	swell (v.)	se gonfler, enfler
193	165	bear child	accoucher, donner naissance, engendrer, enfanter
194	166.1	sit (down)	s'asseoir
195	166.2	be seated	(être) assis
196	167.1	stand up	se lever, se mettre debout
197	167.1	stand up	(être, se tenir) debout
198	167.2	to be standing	(être, se tenir) debout
199	168.1	lie down	se coucher
200	168.2	sleep (v)	dormir
201	169	to die	mourir
202	170	kill	tuer
203	171	throw away	jeter, se débarrasser
204	173	push (v.)	pousser
205	174	pull (v.)	tirer
206	175	sing	chanter
207	176	dance (v.)	danser
208	177	play (v.)	jouer, s'amuser
209	178	laugh (v.)	rire
210	179	weep	pleurer
211	180	to suffer / feel bad	souffrir
212	181	fear (n)	peur, crainte
213	182.1	need (v)	avoir besoin
214	182.1	to want (to do something)	vouloir
215	182.2	to want (something)	vouloir, désirer
216	182.3	to love	amour
217	183	say	dire
218	184	think	penser
219	185.1	see	voir
