NUMBER	CHINESE	PAGENO	POS	SEMANTIC_FIELD	SF_IN_SOURCE	POS_IN_SOURCE	GLOSS	PINYIN	CONCEPTICON_ID	CONCEPTICON_GLOSS	MATCH_QUALITY
1	太陽	1	noun	weather, geography	一、天象、地理	名 詞	sun	tài-yáng	1343	SUN (noun)	3

2	月亮	1	noun	weather, geography	一、天象、地理	名 詞	moon	yuè-liàng	1313	MOON (noun)	3

3	星	2	noun	weather, geography	一、天象、地理	名 詞	star	xīng	1430	STAR (noun)	3

4	風	2	noun	weather, geography	一、天象、地理	名 詞	wind	fēng	960	WIND (noun)	3

5	雨	3	noun	weather, geography	一、天象、地理	名 詞	rain	yù	658	RAIN (PRECIPATION) (noun)	3

6	霧	3	noun	weather, geography	一、天象、地理	名 詞	fog	wù	249	FOG (noun)	3

7	露水	4	noun	weather, geography	一、天象、地理	名 詞	dew	lù-shuǐ	1977	DEW (noun)	3

8	霜	4	noun	weather, geography	一、天象、地理	名 詞	frost	shuāng	2034	FROST (noun)	3

9	雪	5	noun	weather, geography	一、天象、地理	名 詞	snow	xuě	784	SNOW (noun)	3

10	冰	5	noun	weather, geography	一、天象、地理	名 詞	ice	níng	617	ICE (noun)	3

11	冰雹	6	noun	weather, geography	一、天象、地理	名 詞	hail	níng-báo	609	HAIL (noun)	3

12	閃電	6	noun	weather, geography	一、天象、地理	名 詞	lightning	shàn-diàn	0	???	8

13	雷	7	noun	weather, geography	一、天象、地理	名 詞	thunder	léi	1150	THUNDER (noun)	3

14	虹	7	noun	weather, geography	一、天象、地理	名 詞	rainbow	jiàng	1733	RAINBOW (noun)	3

15	天氣	8	noun	weather, geography	一、天象、地理	名 詞	weather	tiān-qì	0	???	8

16	晴天	8	noun	weather, geography	一、天象、地理	名 詞	sunny day	qíng-tiān	0	???	8

17	陰天	9	noun	weather, geography	一、天象、地理	名 詞	cloudy day	yīn-tiān	0	???	8

18	海	9	noun	weather, geography	一、天象、地理	名 詞	sea, ocean	hǎi	1474	SEA (noun)	3
18	海	9	noun	weather, geography	一、天象、地理	名 詞	sea, ocean	hǎi	0	???	8

19	湖	10	noun	weather, geography	一、天象、地理	名 詞	lake	hú	624	LAKE (noun)	3

20	池塘	10	noun	weather, geography	一、天象、地理	名 詞	pond	tuó-táng	0	???	8

21	風景	11	noun	weather, geography	一、天象、地理	名 詞	landscape	fēng-jǐng	0	???	8

22	時候	11	noun	time, season	二、時間、節令	名 詞	time, season	shí-hòu	0	???	8

23	今年	12	noun	time, season	二、時間、節令	名 詞	this year	jīn-nián	1226	YEAR (noun)	5

24	明年	12	noun	time, season	二、時間、節令	名 詞	next year	míng-nián	1226	YEAR (noun)	5

25	後年	13	noun	time, season	二、時間、節令	名 詞	the year after next	hòu-nián	???	???	8

26	去年	13	noun	time, season	二、時間、節令	名 詞	last year	qù-nián	1226	YEAR (noun)	5

27	前年	14	noun	time, season	二、時間、節令	名 詞	the year before last	qián-nián	???	???	8

28	日子	14	noun	time, season	二、時間、節令	名 詞	day	rì-zi	0	???	8

29	今天	15	noun	time, season	二、時間、節令	名 詞	today	jīn-tiān	1283	TODAY	2

30	明天	15	noun	time, season	二、時間、節令	名 詞	tomorrow	míng-tiān	1329	TOMORROW	2

31	後天	16	noun	time, season	二、時間、節令	名 詞	the day after tomorrow	hòu-tiān	1329	TOMORROW	5

32	大後天	16	noun	time, season	二、時間、節令	名 詞	three days from now	dà-hòu-tiān	492	THREE	5

33	昨天	17	noun	time, season	二、時間、節令	名 詞	yesterday	zuó-tiān	1174	YESTERDAY	2

34	前天	17	noun	time, season	二、時間、節令	名 詞	the day before yesterday	qián-tiān	1174	YESTERDAY	5

35	大前天	18	noun	time, season	二、時間、節令	名 詞	three days before	dà-qián-tiān	???	???	8

36	白天	18	noun	time, season	二、時間、節令	名 詞	day (opposed to night)	bái-tiān	0	???	8

37	夜間	19	noun	time, season	二、時間、節令	名 詞	night (opposed to day)	yè-jiàn	0	???	8

38	早晨	19	noun	time, season	二、時間、節令	名 詞	morning	zǎo-chén	1339	MORNING (noun)	3

39	上午	20	noun	time, season	二、時間、節令	名 詞	forenoon	shàng-wǔ	0	???	8

40	中午	20	noun	time, season	二、時間、節令	名 詞	noon	zhòng-wǔ	0	???	8

41	下午	21	noun	time, season	二、時間、節令	名 詞	afternoon	xià-wǔ	0	???	8

42	傍晚	21	noun	time, season	二、時間、節令	名 詞	at dusk (nightfall)	páng-wǎn	0	???	8

43	晚上	22	noun	time, season	二、時間、節令	名 詞	evening	wǎn-shàng	0	???	8

44	元旦	22	noun	time, season	二、時間、節令	名 詞	new year	yuán-dàn	1226	YEAR (noun)	5

45	端午節	23	noun	time, season	二、時間、節令	名 詞	the Dragon Boat Festival	duān-wǔ-jié	0	???	8

46	中秋節	23	noun	time, season	二、時間、節令	名 詞	the Mid-autumn Festival (15th day of the 8th lunar month)	zhòng-qiū-jié	0	???	8

47	重陽節	24	noun	time, season	二、時間、節令	名 詞	the Double-Nine Festival	zhòng-yáng-jié	0	???	8

48	除夕	24	noun	time, season	二、時間、節令	名 詞	Chinese New Year's Eve	chú-xī	???	???	8

49	金子	25	noun	minerals and other natural objects	三、礦物及其他自然物	名 詞	gold	jīn-zǐ	0	???	8

50	銀子	25	noun	minerals and other natural objects	三、礦物及其他自然物	名 詞	silver	yín-zǐ	0	???	8

51	銅	26	noun	minerals and other natural objects	三、礦物及其他自然物	名 詞	copper	tóng	0	???	8

52	鉄	26	noun	minerals and other natural objects	三、礦物及其他自然物	名 詞	iron	tiě	0	???	8

53	鋼	27	noun	minerals and other natural objects	三、礦物及其他自然物	名 詞	steel	gāng	0	???	8

54	鉛	27	noun	minerals and other natural objects	三、礦物及其他自然物	名 詞	lead	qiān/yuán	0	???	8

55	錫	28	noun	minerals and other natural objects	三、礦物及其他自然物	名 詞	tin	xī	0	???	8

56	煤	28	noun	minerals and other natural objects	三、礦物及其他自然物	名 詞	coal	méi	0	???	8

57	煤油	29	noun	minerals and other natural objects	三、礦物及其他自然物	名 詞	kerosine	méi-yóu	0	???	8

58	汽油	29	noun	minerals and other natural objects	三、礦物及其他自然物	名 詞	petrol	qì-yóu	0	???	8

59	石頭	30	noun	minerals and other natural objects	三、礦物及其他自然物	名 詞	stone	shí-tóu	857	STONE (noun)	3

60	泥	30	noun	minerals and other natural objects	三、礦物及其他自然物	名 詞	mud, earth	nì	640	MUD (noun)	3
60	泥	30	noun	minerals and other natural objects	三、礦物及其他自然物	名 詞	mud, earth	nì	1228	EARTH (SOIL) (noun)	3

61	土	31	noun	minerals and other natural objects	三、礦物及其他自然物	名 詞	soil, earth	dù	0	???	8
61	土	31	noun	minerals and other natural objects	三、礦物及其他自然物	名 詞	soil, earth	dù	1228	EARTH (SOIL) (noun)	3

62	灰塵	31	noun	minerals and other natural objects	三、礦物及其他自然物	名 詞	dust	huī-chén	2	DUST (noun)	3

63	老虎	32	noun	animals	四、動物	名 詞	tiger	lǎo-hǔ	846	TIGER (noun)	3

64	獅子	32	noun	animals	四、動物	名 詞	lion	shī-zǐ	0	???	8

65	豹子	33	noun	animals	四、動物	名 詞	leopard // panther	bào-zǐ	0	???	8

66	狼	33	noun	animals	四、動物	名 詞	wolf	láng	522	WOLF (noun)	3

67	鹿	34	noun	animals	四、動物	名 詞	dee	lù	0	???	8

68	猴子	34	noun	animals	四、動物	名 詞	monkey	hóu-zi	0	???	8

69	兔子	35	noun	animals	四、動物	名 詞	rabbit, hare	tù-zǐ	0	???	8

70	老鼠	35	noun	animals	四、動物	名 詞	rat, mouse	lǎo-shǔ	0	???	8

71	老鷹	36	noun	animals	四、動物	名 詞	hawk, eagle	lǎo-yīng	0	???	8

72	貓頭鷹	36	noun	animals	四、動物	名 詞	owl	miáo-tóu-yīng	0	???	8

73	雁	37	noun	animals	四、動物	名 詞	wild goose	yàn	0	???	8

74	燕子	37	noun	animals	四、動物	名 詞	swallow	yān-zǐ	0	???	8

75	烏鴉	38	noun	animals	四、動物	名 詞	crow	wū-yā	0	???	8

76	喜鵲	38	noun	animals	四、動物	名 詞	magpie	xì-què	0	???	8

77	麻雀	39	noun	animals	四、動物	名 詞	sparrow	má-què	1854	SPARROW (noun)	3

78	鴿子	39	noun	animals	四、動物	名 詞	pigeon, dove	gē-zǐ	0	???	8

79	八哥	40	noun	animals	四、動物	名 詞	crested myna	bā-gē	0	???	8

80	牲口	40	noun	animals	四、動物	名 詞	cattle	shēng-kou	0	???	8

81	公牛	41	noun	animals	四、動物	名 詞	bull	gōng-niú	0	???	8

82	母牛	41	noun	animals	四、動物	名 詞	cow	mǔ-niú	0	???	8

83	公馬	42	noun	animals	四、動物	名 詞	stallion	gōng-mǎ	0	???	8

84	母馬	42	noun	animals	四、動物	名 詞	mare	mǔ-mǎ	0	???	8

85	公豬	43	noun	animals	四、動物	名 詞	male pig	gōng-zhū	???	???	8

86	母豬	43	noun	animals	四、動物	名 詞	sow	mǔ-zhū	0	???	8

87	公狗	44	noun	animals	四、動物	名 詞	male dog	gōng-gǒu	???	???	8

88	母狗	44	noun	animals	四、動物	名 詞	female dog	mǔ-gǒu	???	???	8

89	驢	45	noun	animals	四、動物	名 詞	donkey, ass	lǘ	0	???	8

90	騾子	45	noun	animals	四、動物	名 詞	mule	luó-zǐ	0	???	8

91	羊	46	noun	animals	四、動物	名 詞	sheep, goat	yáng	1331	SHEEP (noun)	3
91	羊	46	noun	animals	四、動物	名 詞	sheep, goat	yáng	1502	GOAT (noun)	3

92	貓	46	noun	animals	四、動物	名 詞	cat	miáo	0	???	8

93	公雞	47	noun	animals	四、動物	名 詞	rooster (cock)	gōng-jī	0	???	8

94	閹雞	47	noun	animals	四、動物	名 詞	capon	yān-jī	0	???	8

95	母雞	48	noun	animals	四、動物	名 詞	hen (chicken)	mǔ-jī	0	???	8

96	小雞兒	48	noun	animals	四、動物	名 詞	small bird	xiǎo-jī-ní	1246	SMALL (adjective)	5

97	鴨子	49	noun	animals	四、動物	名 詞	duck	yā-zǐ	0	???	8

98	鵝	49	noun	animals	四、動物	名 詞	goose	é	0	???	8

99	鯉魚	50	noun	animals	四、動物	名 詞	carp	lǐ-yú	0	???	8

100	鯽魚	50	noun	animals	四、動物	名 詞	crucian carp	jì-yú	0	???	8

101	黃花魚	51	noun	animals	四、動物	名 詞	yellow croaker	huáng-huā-yú	???	???	8

102	螃蟹	51	noun	animals	四、動物	名 詞	crab	páng-xiè	0	???	8

103	蝦	52	noun	animals	四、動物	名 詞	shrimp	há	0	???	8

104	蚌	52	noun	animals	四、動物	名 詞	oysters, mussels	bàng	0	???	8

105	青蛙	53	noun	animals	四、動物	名 詞	frog	qīng-wā	503	FROG (noun)	3

106	癩蛤蟆	53	noun	animals	四、動物	名 詞	toad	là-gé-má	0	???	8

107	烏龜	54	noun	animals	四、動物	名 詞	turtle	wū-guī	0	???	8

108	蝸牛	54	noun	animals	四、動物	名 詞	snail	wā/guā-niú	0	???	8

109	蚯蚓	55	noun	animals	四、動物	名 詞	earthworm	qiū-yìn	2350	EARTHWORM (noun)	3

110	蠶	55	noun	animals	四、動物	名 詞	silkworms	cán	0	???	8

111	蜜蜂	56	noun	animals	四、動物	名 詞	bee	mì-péng	0	???	8

112	蝴蝶	56	noun	animals	四、動物	名 詞	butterfly	hú-dié	0	???	8

113	蜻蜓	57	noun	animals	四、動物	名 詞	dragonfly	qīng-diàn	0	???	8

114	蟬	57	noun	animals	四、動物	名 詞	cicada	chán	0	???	8

115	螢火蟲	58	noun	animals	四、動物	名 詞	firefly	yíng-huǒ-chóng	0	???	8

116	蟋蟀	58	noun	animals	四、動物	名 詞	cricket	xī-shuài	0	???	8

