ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	GLOSS	CHINESE	CONCEPTICON_ID	CONCEPTICON_GLOSS	MATCH_QUALITY
Hou-2004-180-1	1343	SUN	1	sun	太阳	0	???	8

Hou-2004-180-2	1313	MOON	2	moon	月亮	0	???	8

Hou-2004-180-3	1430	STAR	3	star	星星	0	???	8

Hou-2004-180-4	1150	THUNDER	4	thunder	打雷	0	???	8

Hou-2004-180-5	1654	LIGHTNING	5	lightning	闪电	0	???	8

Hou-2004-180-6	1253	RAIN (RAINING)	6	rain	下雨	0	???	8

Hou-2004-180-7	1255	SNOWING	7	snow	下雪	0	???	8

Hou-2004-180-8	104	HAILING	8	hail	冰雹	0	???	8

Hou-2004-180-9	1431	FREEZE	9	freeze	结冰	0	???	8

Hou-2004-180-10	175	BLOW (OF WIND)	10	blow	刮风	0	???	8

Hou-2004-180-11	1733	RAINBOW	11	rainbow	虹	0	???	8

Hou-2004-180-12	2186	DRAGON BOAT FESTIVAL	12	Dragon Boat Festival	端午节	0	???	8

Hou-2004-180-13	2187	MID-AUTUMN FESTIVAL	13	Mid-autumn Festival	中秋节	0	???	8

Hou-2004-180-14	2188	NEW YEAR'S EVE	14	New Year's Eve	除夕	0	???	8

Hou-2004-180-15	513	THIS YEAR	15	this year	今年	0	???	8

Hou-2004-180-16	515	NEXT YEAR	16	next year	明年	0	???	8

Hou-2004-180-17	514	LAST YEAR	17	last year	去年	0	???	8

Hou-2004-180-18	1329	TOMORROW	18	tomorrow	明天	0	???	8

Hou-2004-180-19	1174	YESTERDAY	19	yesterday	昨天	0	???	8

Hou-2004-180-20	1283	TODAY	20	today	今天	0	???	8

Hou-2004-180-21	1699	SUNDAY	21	sunday	星期天	0	???	8

Hou-2004-180-22	1077	WHEAT	22	wheat	麦子	0	???	8

Hou-2004-180-23	832	BEAN	23	broad bean	蚕豆	0	???	8

Hou-2004-180-24	1956	SUNFLOWER	24	sunflower	向日葵	0	???	8

Hou-2004-180-25	975	SPINACH	25	spinach	菠菜	0	???	8

Hou-2004-180-26	774	CABBAGE	26	cabbage	卷心菜	0	???	8

Hou-2004-180-27	986	TOMATO	27	tomato	西红柿	0	???	8

Hou-2004-180-28	1146	AUBERGINE	28	aubergine	茄子	0	???	8

Hou-2004-180-29	159	SWEET POTATO	29	sweet potato	白薯	0	???	8

Hou-2004-180-30	593	POTATO	30	potato	土豆	0	???	8

Hou-2004-180-31	864	PUMPKIN	31	pumpkin	南瓜	0	???	8

Hou-2004-180-32	1337	PIG	32	pig	猪	151	PIG	2

Hou-2004-180-33	1348	BOAR	33	male pig	公猪	???	???	8
Hou-2004-180-33	1348	BOAR	33	male pig	公猪	0	???	8

Hou-2004-180-34	1351	SOW (FEMALE PIG)	34	female pig	母猪	???	???	8
Hou-2004-180-34	1351	SOW (FEMALE PIG)	34	female pig	母猪	0	???	8

Hou-2004-180-35	1511	ROOSTER	35	rooster	公鸡	0	???	8

Hou-2004-180-36	1318	CHICKEN	36	chicken	母鸡	0	???	8

Hou-2004-180-37	1854	SPARROW	37	sparrow	麻雀	0	???	8

Hou-2004-180-38	1491	MOUSE	38	mouse	老鼠	0	???	8

Hou-2004-180-39	1949	BEDBUG	39	bedbug	臭虫	0	???	8

Hou-2004-180-40	1252	HOUSE	40	house	房子	0	???	8

Hou-2004-180-41	1450	ROOM	41	room	房间	0	???	8

Hou-2004-180-42	1375	WINDOW	42	window	窗户	0	???	8

Hou-2004-180-43	2185	DOORSILLS	43	doorsills	门坎	0	???	8

Hou-2004-180-44	219	TOILET	44	toilet	厕所	0	???	8

Hou-2004-180-45	1365	KITCHEN	45	kitchen	厨房	0	???	8

Hou-2004-180-46	1305	CHIMNEY	46	chimney	烟囱	0	???	8

Hou-2004-180-47	1775	TABLE	47	table	桌子	0	???	8

Hou-2004-180-48	34	STAIRS	48	stairs	楼梯	0	???	8

Hou-2004-180-49	1256	HEAD	49	head	头	0	???	8

Hou-2004-180-50	123	FOREHEAD	50	forehead	额头	0	???	8

Hou-2004-180-51	1560	FACE	51	face	脸	0	???	8

Hou-2004-180-52	1221	NOSE	52	nose	鼻子	0	???	8

Hou-2004-180-53	1333	NECK	53	neck	脖子	0	???	8

Hou-2004-180-54	2182	LEFT HAND	54	left hand	左手	81	HAND	5

Hou-2004-180-55	2183	RIGHT HAND	55	right hand	右手	???	???	8
Hou-2004-180-55	2183	RIGHT HAND	55	right hand	右手	0	???	8

Hou-2004-180-56	1473	FIST	56	fist	拳头	0	???	8

Hou-2004-180-57	577	FOREFINGER	57	forefinger	手指	0	???	8

Hou-2004-180-58	1896	FINGERNAIL OR TOENAIL	58	fingernail	指甲	0	???	8

Hou-2004-180-59	1371	KNEE	59	knee	膝盖	0	???	8

Hou-2004-180-60	1297	LEG	60	leg	腿	0	???	8

Hou-2004-180-61	1217	FATHER	61	father	爸爸	0	???	8

Hou-2004-180-62	1216	MOTHER	62	mother	妈妈	0	???	8

Hou-2004-180-63	1383	GRANDFATHER	63	grandfather	祖父	0	???	8

Hou-2004-180-64	1496	GRANDMOTHER	64	grandmother	祖母	0	???	8

Hou-2004-180-65	2173	PATERNAL UNCLE (FATHERS ELDER BROTHER)	65	uncle (fathers's elder brother)	伯父	0	???	8

Hou-2004-180-66	2170	PATERNAL AUNT (WIFE OF FATHER'S ELDER BROTHER)	66	aunt (wife of father's elder brother)	伯母	0	???	8

Hou-2004-180-67	2174	PATERNAL UNCLE (FATHERS YOUNGER BROTHER)	67	uncle (father's younger brother)	叔父	0	???	8

Hou-2004-180-68	2171	PATERNAL AUNT (WIFE OF FATHER'S YOUNGER BROTHER)	68	aunt (wife of father's younger brother)	叔母	0	???	8

Hou-2004-180-69	2178	MATERNAL GRANDFATHER	69	maternal grandfather	祖父	0	???	8

Hou-2004-180-70	2177	MATERNAL GRANDMOTHER	70	maternal grandmother	外祖母	0	???	8

Hou-2004-180-71	1984	MOTHER'S BROTHER	71	uncle (mother's brother)	舅舅	0	???	8

Hou-2004-180-72	2175	PATERNAL AUNT	72	aunt (wife of mother's brother)	舅母	0	???	8

Hou-2004-180-73	1200	HUSBAND	73	husband	丈夫	0	???	8

Hou-2004-180-74	1199	WIFE	74	wife	妻子	0	???	8

Hou-2004-180-75	1620	SON	75	son	儿子	0	???	8

Hou-2004-180-76	1357	DAUGHTER	76	daughter	女儿	0	???	8

Hou-2004-180-77	1322	BREAKFAST	77	breakfast	早饭	0	???	8

Hou-2004-180-78	768	LUNCH	78	lunch	午饭	0	???	8

Hou-2004-180-79	1833	DINNER (SUPPER)	79	supper	晚饭	0	???	8

Hou-2004-180-80	973	NOODLE	80	noodles	面条	0	???	8

Hou-2004-180-81	1969	MANTOU	81	steamed bun (Mantou)	馒头	0	???	8

Hou-2004-180-82	511	BAOZI	82	steamed stuffed bun (Baozi)	包子	0	???	8

Hou-2004-180-83	1980	WANTON	83	dumpling won ton (Huntun)	馄饨	0	???	8

Hou-2004-180-84	985	VINEGAR	84	vinegar	醋	0	???	8

Hou-2004-180-85	1968	SOYA SAUCE	85	soya sauce	酱油	0	???	8

Hou-2004-180-86	1274	SALT	86	salt	盐	0	???	8

Hou-2004-180-87	1987	CHOPSTICKS	87	chopsticks	筷子	0	???	8

Hou-2004-180-88	1378	SPOON	88	spoon	勺子	0	???	8

Hou-2004-180-89	1554	MAN	89	man	男人	0	???	8

Hou-2004-180-90	962	WOMAN	90	woman	女人	0	???	8

Hou-2004-180-91	1366	BOY	91	boy	男孩子	0	???	8

Hou-2004-180-92	1646	GIRL	92	girl	女孩子	0	???	8

Hou-2004-180-93	406	OLD MAN	93	old man	老人	0	???	8

Hou-2004-180-94	597	PHYSICIAN	94	doctor	医生	0	???	8

Hou-2004-180-95	1100	COOK (SOMETHING)	2315	cook	厨师	0	???	8

Hou-2004-180-96	1934	BEGGAR	96	beggar	乞丐	0	???	8

Hou-2004-180-97	1104	NURSE	97	nurse	保姆	0	???	8

Hou-2004-180-98	1847	SICK	98	become sick	病了	0	???	8

Hou-2004-180-99	2184	CATCH A COLD	99	catch a cold	伤风	0	???	8

Hou-2004-180-100	1177	DIARREA	100	have diarrea	泻肚	0	???	8

Hou-2004-180-101	320	LAME	101	lame person	瘸子	0	???	8

Hou-2004-180-102	99	HUNCHBACK	102	humpback	驼背	0	???	8

Hou-2004-180-103	1494	DIE	103	die	死了	0	???	8

Hou-2004-180-104	512	SEE A DOCTOR	104	go to the doctor	看病	0	???	8

Hou-2004-180-105	1209	I	105	I	我	0	???	8

Hou-2004-180-106	1215	THOU	106	thou	你	0	???	8

Hou-2004-180-107	1211	HE	107	he	他	0	???	8

Hou-2004-180-108	1212	WE	108	we	我们	0	???	8

Hou-2004-180-109	1213	YOU	109	you	你们	0	???	8

Hou-2004-180-110	817	THEY	110	they	他们	0	???	8

Hou-2004-180-111	1131	WE (INCLUSIVE)	111	we (inclusive)	咱们	0	???	8

Hou-2004-180-112	1993	SELF	112	self	自己	0	???	8

Hou-2004-180-113	1235	WHO	113	who	谁	0	???	8

Hou-2004-180-114	1236	WHAT	114	what	什么	0	???	8

Hou-2004-180-115	136	HERE	115	here	这里	0	???	8

Hou-2004-180-116	1937	THERE	116	there	那里	0	???	8

Hou-2004-180-117	1237	WHERE	117	where	哪里	0	???	8

Hou-2004-180-118	1214	THIS	118	this	这个	0	???	8

Hou-2004-180-119	78	THAT	119	that	那个	0	???	8

Hou-2004-180-120	727	WHICH	120	what kind of	哪一个	0	???	8

Hou-2004-180-121	1239	HOW	121	how	怎么样	0	???	8

Hou-2004-180-122	516	PERSON (CLASSIFIER)	122	classifier (person)	位	0	???	8

Hou-2004-180-123	2089	PAIR (CLASSIFIER)	123	classifier (pair)	双	0	???	8

Hou-2004-180-124	2166	PILLOW (CLASSIFIER)	124	classifier (pillow)	床	0	???	8

Hou-2004-180-125	2167	VEHICLE (CLASSIFIER)	125	classifier (vehicle)	辆	0	???	8

Hou-2004-180-126	2168	COW (CLASSIFIER)	126	classifier (cow)	头	0	???	8

Hou-2004-180-127	2169	PIG (CLASSIFIER)	127	classifier (pig)	口	0	???	8

Hou-2004-180-128	726	WHILE	128	a while	会	0	???	8

Hou-2004-180-129	374	ONE TIME	129	one time	下	0	???	8

Hou-2004-180-130	1741	ABOVE	130	on	上面	0	???	8

Hou-2004-180-131	1485	BELOW OR UNDER	131	under	下面	0	???	8

Hou-2004-180-132	244	LEFT	132	left	左边	0	???	8

Hou-2004-180-133	1019	RIGHT	133	right	右边	0	???	8

Hou-2004-180-134	1093	MIDDLE	134	in the middle	当中	0	???	8

