# from http://comparalex.org/index.php?page=stdlist&id=2
194	101	mouth	bouche
195	102	hair (head)	cheveux (de tête)
196	102.1	hair (body)	poil (du corps)
197	103	milk (mother's)	lait
198	103.1	milk (animal's)	lait (d'un animal)
199	103.5	butter	beurre
200	103.6	cheese	fromage
201	104	back	dos
202	105	buttocks	fesse
203	106	claw	griffe
204	106	fingernail	ongle
205	107	skin (of man)	peau (d'homme)
206	107.1	hide (animal skin)	peau (d'animal)
207	108	bone	os
208	109	blood	sang
209	110	urine	urine
210	111	heart	coeur
211	112	liver	foie
212	113	guts / bowels	intestins
213	114	wing	aile
214	115	feather (s)	plume
215	116	person / human	personne
216	117	mother	mère
217	118	brother	 
218	118	elder brother	aîné / aînée
219	118	younger brother	cadet
220	118	elder brother	frère aîné
221	118	younger brother	frère cadet
222	119	mother's brother	oncle maternel
223	120	chief / king	chef
224	120	chief / king	roi
225	121	God	Dieu (être suprême)
226	122	animal	animal
227	122.1	wild animal	animal sauvage
228	122.2	domestic animal	animal domestique
229	122.5	sacrifice	sacrifice
230	123	bat (fruit -)	roussette (grande chauve-souris)
231	123	bat (fruit -)	chauve-souris
232	124	elephant	éléphant
233	125	cow (cattle)	vache
234	125	cow (cattle)	bétail
235	125.1	cow (female)	génisse
236	125.1	cow (female)	vache
237	125.2	bull	taureau
238	126	tortoise (land)	tortue (terrestre)
239	126	tortoise, water	tortue (aquatique)
240	127	worm (earth-)	ver de terre
241	128	ant (soldier)	fourmi soldat
242	128	ant (soldier)	fourmi
243	129	spider	araignée
244	130	leaf (tree)	feuille
245	131	stick / club	massue
246	131	stick / club	bâton
247	132	seed	grain, semence
248	133	grass	herbe
249	133.1	thatch (n)	chaume
250	134	field(s)	champ
251	135	thing (object)	chose
252	135.1	thing (affair)	affaire
253	136	stool	tabouret, siege
254	136.1	chair	chaise
255	137	cooking pot (metal)	pot (en métal)
256	137	pot (cooking)	marmite (en terre)
257	137	water pot (earthen)	jarre (à eau)
258	138	iron (metal)	fer
259	139	spear	lance (javelot)
260	140	war	guerre
261	141	firewood	bois à brûler
262	142	sky	ciel
263	143	cloud(s)	nuage
264	143.1	fog / mist	brouillard
265	144	wind	vent
266	144.1	storm	orage, "tornade"
267	145	dew	rosée
268	146	watercourse	cours d'eau
269	146.1	river	rivière, fleuve
270	146.2	stream	ruisseau
271	147	mountain	montagne
272	147.1	hill	colline
273	147.2	rock	pierre
274	148	earth (soil)	terre (sol)
275	148.1	ground	sol, terre
276	149	sand	sable
277	150	dust	poussière
278	151	five	cinq (5)
279	152	seven	sept (7)
280	153	eight	huit (8)
281	154	ten	dix (10)
282	155	wide	(être) large
283	156	narrow	(être) étroit
284	157	heavy	(être) lourd
285	157.1	difficult	(être) difficile
286	157.5	light in weight	(être) léger
287	157.6	easy	facile
288	158	bad	(être) mauvais
289	159	right (side)	(à) droite
290	160	left side	(à) gauche
291	161	new	(être) nouveau, neuf
292	161.1	young	(être) jeune
293	162	all	tout, tous
294	163	many, much	beaucoup (de)
295	163.1	crowd (of people)	foule
296	164	who?	qui?
297	165	what?	quoi?
298	166	dirty, to become	(être) sale
299	167	full, filled	(être) plein
300	168	rotten	(être) pourri, gâté
301	169	become wet	se mouiller
302	170	hunger; be hungry	faim
303	170	hunger; be hungry	(avoir) faim
304	171	whistle	siffler
305	172	dance (v.)	danser
306	172.1	dance (n)	danse (n)
307	173	play (v.)	jouer, s'amuser
308	174	weep	pleurer
309	175	to bark	aboyer (comme un chien)
310	175.1	cry out	crier
311	175.2	make noise	hurler, parler fort, crier
312	176	ask (question)	demander
313	176	ask (question)	demander (un question)
314	176.1	ask for	supplier, implorer
315	176.1	ask for	demander
316	177	show	montrer
317	177.1	teach	enseigner
318	178	know (something or someone)	connaître, savoir
319	179	count (v)	compter
320	179.1	read	lire
321	179.5	book	livre
322	180	to love	amour
323	180.1	to want (something)	vouloir
324	180.2	desire	vouloir, désirer
325	180.4	to want (to do something)	vouloir (faire quelque chose)
326	180.5	need (v)	avoir besoin
327	181	take	prendre
328	181.1	hold	tenir
329	181.2	seize	saisir, arracher
330	181.5	catch	attraper (un objet dans l'air)
331	182	to hide (something)	cacher
332	183	to marry (a wife)	épouser une femme
333	184	to die	mourir
334	185	to leave, depart	quitter, partir
335	185.1	to go (somewhere)	aller
336	186	send (someone)	envoyer en commission
337	187	swim	nager
338	187.1	dive	plonger
339	187.2	float	flotter
340	188	run	courir
341	188.1	flow	couler
342	189	turn	tourner
343	189	turn	tourner (intr)
344	189	turn	tourner (tr)
345	190	sweep	balayer
346	190.1	broom	balai
347	191	split (wood)	fendre
348	191.1	tear (v tr)	déchirer
349	191.2	divide	diviser, séparer
350	192	cut	couper
351	192.1	saw	scier
352	192.2	chop	découper, couper en morceaux
353	193	stab (pierce)	poignarder
354	194	press	presser, serrer
355	194.1	squeeze (v.)	presser
356	195	tie	attacher
357	195.1	hitch	accrocher
358	196	make	faire
359	196.1	do	faire, agir
360	196.1	do	faire
361	196.5	to create	créer, faire fabriquer
362	196.5	work (v)	travailler
363	196.6	work	travail
364	197	hunt (v)	chasser
365	197.1	hunter	chasseur
366	198	cultivate	cultiver
367	198.1	to plow	labourer
368	198.2	plant (v)	semer, planter
369	198.3	to dig (a hole)	creuser
370	199	bury	enterrer, ensevelir
371	200	swell (v.)	se gonfler, enfler
372	201	lips	lèvre
373	202	chin	menton
374	202.1	jaw	mâchoire
375	203	beard	barbe
376	204	face	visage
377	204.1	forehead	front
378	205	shoulder	épaule
379	206	chest	poitrine
380	207	side of body	côté (du corps), flanc
381	207.1	rib	côte
382	208	thigh	cuisse
383	209	elbow	coude
384	210	finger	doigt
385	210.1	thumb	pouce
386	210.2	toe	orteil, doigt de pied
387	211	body	corps
388	212	wound	plaie, blessure
389	212.1	scar	cicatrice
390	213	saliva	salive
391	214	tears	larmes
392	215	dung	fumier
393	215	feces / excrement	excrément
394	216	fur	pelage, fourrure
395	217	sister	soeur (aînée/cadette)
396	217	elder sister	aînée
397	217	younger sister	soeur cadette
398	218	friend	ami, camarade
399	219	twins	jumeau
400	220	guest	hôte, visiteur, invité, <<étranger>>
401	220.1	stranger	étranger (inconnuu)
402	221	leopard	léopard
403	221	lion	lion
404	222	rat	rat
405	223	buffalo	buffle
406	224	pig	porc, cochon
407	225	guinea fowl	pintade
408	226	lizard	lézard
409	227	crocodile	crocodile
410	228	honeybee	abeille
411	228	honey	miel
412	229	scorpion	scorpion
413	230	thorn	épine
414	231	flower	fleur
415	232	fruit	fruit
416	233	maize	maïs
417	234	banana (s), sweet	banane (douce)
418	234.1	plantain	plantain, banane à cuire
419	235	palm tree (eg. date)	dattier
420	235	palm tree (eg. date)	palmier
421	236	forest	forêt
422	236.1	"the bush"	brousse, campagne
423	237	place	endroit, lieu
424	237	wheat	blé, froment
425	237.1	country	campagne
426	237.1	tribe / ethnic group	tribu, ethnie
427	238	door	porte
428	238.1	gate	case d'entrée
429	239	clothing	vêtement(s), habit(s)
430	239.1	pagne (wrap-around)	pagne (de femme)
431	240	calabash / gourd	calebasse
432	240	calabash / gourd	courge
433	241	hole (in ground)	trou
434	242	mortar (grinding)	mortier
435	243	pestle	pilon
436	244	axe	hache
437	245	arrow	flèche
438	246	charcoal	charbon de bois
439	247	day of 24 hours	jour, journée
440	248	lightning	éclair
441	248.1	thunder	tonnerre
442	249	lake	lac
443	249	sea	océan, mer
444	250	clay	argile
445	250.1	mud	boue
446	251	six	six (6)
447	252	nine (=tisa)	neuf (9)
448	253	twenty	vingt (20)
449	254	hundred	cent (100)
450	255	deep	(être) profond
451	256	thick (thing)	épais
452	256.1	fat (person)	(être) épais, gras
453	257	thin (thing)	mince
454	257.1	thin (person)	maigre
455	258	round (adj.)	(être) rond
456	259	hard (surface)	(être) dur
457	259.1	strong	(être) fort
458	260	soft (surface)	(être) mou
459	260.1	weak	(être) faible
460	261	straight	(être) droit
461	261.1	right (correct)	correct, (avoir) raison
462	262	old (worn)	(être) vieux, ancien
463	263	few	peu (de)
464	263.1	some	quelques (messieurs)
465	264	other / different	d'autres (messieurs)
466	264	other / different	(être) différent
467	265	where?	où?
468	266	here	ici
469	267	there	là
470	267.5	yonder	là-bas (loin)
471	268	near	proche, près
472	269	far	loin, éloigné, lointain
473	270	how?	comment?
474	271	when?	quand?
475	271.1	then / that time	alors
476	272	today	aujourd'hui
477	273	yesterday	hier
478	274	tomorrow	demain
479	275	alive, to be	(être) vivant, en vie
480	275.1	life	vie
481	276	ripe, be	(être) mûr (fruit)
482	277	sharp	(être) pointu, trenchant, aigu
483	277.1	blunt, dull	(être) émoussé, moins tranchant, moins aigue
484	278	breathe	respirer
485	279	yawn (v.)	bâiller
486	280	to command	commander, ordonner (à qqn de faire qqch)
487	280.1	to rule	gouverner, dominer
488	281	write	écrire
489	282	think	penser
490	283	to suffer / feel bad	souffrir
491	284	to seek	chercher, essayer de trouver
492	284	to seek	chercher attentivement
493	285	find (v.)	trouver
494	286	to get / receive	obtenir, recevoir
495	286	to get / receive	recevoir
496	287	lie (tell lies)	mentir
497	287.1	deceive	tromper, décevoir
498	288	arrive	arriver
499	288.1	return	retourner, rentrer
500	289	follow	suivre
501	290	rub	frotter
502	291	wipe	essuyer
503	292	open (v.)	ouvrir
504	293	break (tr)	casser
505	294	fight	se battre, combattre
506	295	untie	detacher, dénouer, délier
507	296	build	construire, bâtir
508	297	to sew	coudre
509	298	to braid, to plait	tresser (les cheveux)
510	299	shoot	tirer (une arme)
511	299.1	gun	fusil
512	300	cook (v.)	(faire) cuire, cuisiner
513	301	throat	gorge
514	302	armpit	aisselle
515	303	hip	hanche
516	304	vein	veine
517	305	sweat	suer
518	306	brain	cerveau
519	307	father's sister	tante paternelle
520	308	enemy	ennemi
521	309	elder	ancien
522	310	slave	esclave
523	310.1	owner	propriétaire
524	311	spirit / ghost	esprit (invisible) d'un défunt
525	312	shadow	ombre
526	313	voice	voix
527	314	language	langue, langage
528	315	story (tale)	conte, histoire
529	316	hyena	hyène
530	316.1	jackal	chacal
531	317	cat	chat
532	318	hippo	hippopotame
533	319	monkey	singe
534	319.1	baboon	babouin
535	320	vulture	vautour
536	320.1	eagle	aigle
537	321	pigeon	pigeon
538	321.1	dove	colombe
539	322	crab	crabe
540	323	fly (house-)	mouche
541	324	grasshopper	sauterelle
542	325	termite	termite
543	326	branch (tree)	branche (d'arbre)
544	327.1	sour	(être) acide, aigre
545	328	millet	mil (saison de pluies)
546	329	rice	riz
547	330	manioc / cassava	manioc
548	331	groundnut / peanut	arachide
549	332	roof	toit
550	333	loft / granary	grenier
551	334	wall	mur
552	335	fence	clôture
553	336	well (water-)	puits
554	337	shoe(s)	chaussure, sandale
555	338	ring (finger)	bague, anneau (de doigt)
556	338.1	bracelet	bracelet
557	338.2	necklace	collier
558	339	mat (sleeping)	natte
559	340	drum (n)	tambour moyen
560	341	boat, canoe	bateau
561	341	boat, canoe	pirogue, canoë
562	342	basket	panier, corbeille
563	342.1	load	charge, fardeau
564	343	medicine	médicament, remède
565	344	hoe	houe, 'daba'
566	345	bow (weapon)	arc (de chasse)
567	346	shield (n)	bouclier
568	347	law	loi
569	347.1	judge	juge
570	348	morning	matin
571	349	evening	soir
572	350	hail	grêle
573	351	twelve	douze (12)
574	352	fifteen	quinze (15)
575	353	thirty	trente (30)
576	354	thousand	mille (1000)
577	355	smooth	(être) lisse
578	355.1	shiny	(être) brilliant, vif
579	355.1	shiny	briller
580	356	clean, pure	(être) propre
581	357	bitter	(être) amer
582	358	sweet	(être) bon (au gout), sucré
583	359	true	vrai
584	359.1	truth	vérité
585	359.5	false	faux
586	359.6	untruth / lie	mensonge
587	360	crooked	(être) courbé, tordu
588	361	yellow	(être) jaune
589	362	green	(être) vert
590	363	(going) towards	vers (direction)
591	364	(coming) from	de (provenance)
592	365	before	avant
593	366	behind, after	derrière, en arrière
594	366	behind, after	après
595	367	in	à l'intérieur
596	368	above	par dessus, au-dessus
597	369	below	sous, en-dessous
598	370	why?	pourquoi?
599	370.1	because	parce que
600	371	dream (v.)	rêver
601	372	anger; be angry	(être) fâché, en colère
602	372	anger; be angry	cholère
603	373	thirst; be thirsty	(avoir) soif
604	373	thirst; be thirsty	soif
605	374	shame; be ashamed	honte
606	375	illness; be ill	(être) malade
607	375	illness; be ill	maladie
608	376	sorrow; be sad	(être) triste
609	376	sorrow; be sad	chagrin, peine
610	377	joy; be joyful	(être) heureux, joyeux, content
611	378	obey	obéir
612	379	refuse	refuser
613	380	to swear an oath	jurer, prêter serment
614	380	to swear an oath	serment
615	381	to curse (someone)	maudire
616	381.1	insult	insulter
617	382	learn	apprendre
618	383	remember	se souvenir, se rappeler
619	384	forget	oublier
620	385	carry	porter dans les bras
621	386	to lift / raise	soulever
622	387	pay	payer (les marchandises, les services)
623	387.1	money	argent, monnaie
624	388	buy	acheter
625	389	sell	vendre
626	390	go out	sortir
627	391	enter	entrer
628	392	bring	apporter, amener
629	393	shut (v.)	fermer
630	394	to hurt someone	faire mal
631	395	help (v.)	aider
632	396	heal	guérir
633	396.1	healer	guérisseur traditionnel, chaman
634	397	forge (v.)	forger
635	397.1	blacksmith	forgeron
636	398	weave	tisser
637	398.1	weaver	tisserand
638	399	extinguish	éteindre
639	400	shiver	frissonner, trembler
