NUMBER	GLOSS
1	One
2	Two
3	Three
4	Four
5	Five
6	Six
7	Seven
8	Eight
9	Nine
10	Ten
11	An hundred
12	Husband
13	Wife
14	Father
15	Mother
16	Brother
17	Head
18	Eyes
19	Nose
20	Hair
21	Cheeks
22	Belly
23	Hand
24	legs
25	Garment
26	Day
27	Night
28	White
29	Black
30	Good
31	Die
32	Fire
33	Water
34	Earth
35	People
36	Coconut
37	Teeth
38	Hog
39	Bird
40	Egg
41	Fish
42	Rice
43	Potatoes
44	Sun
45	Moon
46	Stars
47	I
48	Yes
49	Come hither
50	God
