CONCEPT_ID	NUMBER	ENGLISH
Swadesh-1971-100-1	1	I
Swadesh-1971-100-2	2	you
Swadesh-1971-100-3	3	We
Swadesh-1971-100-4	4	this
Swadesh-1971-100-5	5	that
Swadesh-1971-100-6	6	who
Swadesh-1971-100-7	7	what
Swadesh-1971-100-8	8	not
Swadesh-1971-100-9	9	all
Swadesh-1971-100-10	10	many
Swadesh-1971-100-11	11	one
Swadesh-1971-100-12	12	two
Swadesh-1971-100-13	13	big
Swadesh-1971-100-14	14	long
Swadesh-1971-100-15	15	*small
Swadesh-1971-100-16	16	woman
Swadesh-1971-100-17	17	man
Swadesh-1971-100-18	18	person
Swadesh-1971-100-19	19	*fish
Swadesh-1971-100-20	20	bird
Swadesh-1971-100-21	21	dog
Swadesh-1971-100-22	22	louse
Swadesh-1971-100-23	23	tree
Swadesh-1971-100-24	24	seed
Swadesh-1971-100-25	25	leaf
Swadesh-1971-100-26	26	root
Swadesh-1971-100-27	27	bark
Swadesh-1971-100-28	28	skin
Swadesh-1971-100-29	29	flesh
Swadesh-1971-100-30	30	blood
Swadesh-1971-100-31	31	bone
Swadesh-1971-100-32	32	grease
Swadesh-1971-100-33	33	egg
Swadesh-1971-100-34	34	horn
Swadesh-1971-100-35	35	tail
Swadesh-1971-100-36	36	feather
Swadesh-1971-100-37	37	hair
Swadesh-1971-100-38	38	head
Swadesh-1971-100-39	39	ear
Swadesh-1971-100-40	40	eye
Swadesh-1971-100-41	41	nose
Swadesh-1971-100-42	42	*mouth
Swadesh-1971-100-43	43	tooth
Swadesh-1971-100-44	44	*tongue
Swadesh-1971-100-45	45	claw
Swadesh-1971-100-46	46	foot
Swadesh-1971-100-47	47	knee
Swadesh-1971-100-48	48	hand
Swadesh-1971-100-49	49	belly
Swadesh-1971-100-50	50	neck
Swadesh-1971-100-51	51	breasts
Swadesh-1971-100-52	52	heart
Swadesh-1971-100-53	53	liver
Swadesh-1971-100-54	54	drink
Swadesh-1971-100-55	55	eat
Swadesh-1971-100-56	56	bite
Swadesh-1971-100-57	57	see
Swadesh-1971-100-58	58	hear
Swadesh-1971-100-59	59	know
Swadesh-1971-100-60	60	sleep
Swadesh-1971-100-61	61	die
Swadesh-1971-100-62	62	kill
Swadesh-1971-100-63	63	swim
Swadesh-1971-100-64	64	fly
Swadesh-1971-100-65	65	walk
Swadesh-1971-100-66	66	come
Swadesh-1971-100-67	67	lie
Swadesh-1971-100-68	68	sit
Swadesh-1971-100-69	69	stand
Swadesh-1971-100-70	70	give
Swadesh-1971-100-71	71	say
Swadesh-1971-100-72	72	sun
Swadesh-1971-100-73	73	*moon
Swadesh-1971-100-74	74	star
Swadesh-1971-100-75	75	water
Swadesh-1971-100-76	76	rain
Swadesh-1971-100-77	77	stone
Swadesh-1971-100-78	78	sand
Swadesh-1971-100-79	79	earth
Swadesh-1971-100-80	80	cloud
Swadesh-1971-100-81	81	smoke
Swadesh-1971-100-82	82	fire
Swadesh-1971-100-83	83	ash
Swadesh-1971-100-84	84	burn
Swadesh-1971-100-85	85	path
Swadesh-1971-100-86	86	mountain
Swadesh-1971-100-87	87	red
Swadesh-1971-100-88	88	green
Swadesh-1971-100-89	89	yellow
Swadesh-1971-100-90	90	white
Swadesh-1971-100-91	91	black
Swadesh-1971-100-92	92	night
Swadesh-1971-100-93	93	hot
Swadesh-1971-100-94	94	cold
Swadesh-1971-100-95	95	full
Swadesh-1971-100-96	96	new
Swadesh-1971-100-97	97	good
Swadesh-1971-100-98	98	round
Swadesh-1971-100-99	99	dry
Swadesh-1971-100-100	100	name
