ID	NUMBER	PARAGRAPH	GLOSS
Comrie-1977-207-1	1	5.2.1	all
Comrie-1977-207-2	2	5.2.2	and
Comrie-1977-207-3	3	5.2.3	animal
Comrie-1977-207-4	4	5.2.4	ashes
Comrie-1977-207-5	5	5.2.5	at
Comrie-1977-207-6	6	5.2.6	back
Comrie-1977-207-7	7	5.2.7	bad
Comrie-1977-207-8	8	5.2.8	bark
Comrie-1977-207-9	9	5.2.9	because
Comrie-1977-207-10	10	5.2.10	belly
Comrie-1977-207-11	11	5.2.11	big
Comrie-1977-207-12	12	5.2.12	bird
Comrie-1977-207-13	13	5.2.13	bite
Comrie-1977-207-14	14	5.2.14	black
Comrie-1977-207-15	15	5.2.15	blood
Comrie-1977-207-16	16	5.2.16	blow
Comrie-1977-207-17	17	5.2.17	bone
Comrie-1977-207-18	18	5.2.18	breast
Comrie-1977-207-19	19	5.2.19	breathe
Comrie-1977-207-20	20	5.2.20	burn
Comrie-1977-207-21	21	5.2.21	child
Comrie-1977-207-22	22	5.2.22	claw
Comrie-1977-207-23	23	5.2.23	cloud
Comrie-1977-207-24	24	5.2.24	cold
Comrie-1977-207-25	25	5.2.25	come
Comrie-1977-207-26	26	5.2.26	count
Comrie-1977-207-27	27	5.2.27	cut
Comrie-1977-207-28	28	5.2.28	day
Comrie-1977-207-29	29	5.2.29	die
Comrie-1977-207-30	30	5.2.20	dig
Comrie-1977-207-31	31	5.2.31	dirty
Comrie-1977-207-32	32	5.2.32	dog
Comrie-1977-207-33	33	5.2.33	drink
Comrie-1977-207-34	34	5.2.34	dry
Comrie-1977-207-35	35	5.2.35	dull
Comrie-1977-207-36	36	5.2.36	dust
Comrie-1977-207-37	37	5.2.37	ear
Comrie-1977-207-38	38	5.2.38	earth
Comrie-1977-207-39	39	5.2.39	eat
Comrie-1977-207-40	40	5.2.40	egg
Comrie-1977-207-41	41	5.2.41	eye
Comrie-1977-207-42	42	5.2.42	fall
Comrie-1977-207-43	43	5.2.43	far
Comrie-1977-207-44	44	5.2.44	fat/grease
Comrie-1977-207-45	45	5.2.45	father
Comrie-1977-207-46	46	5.2.46	fear
Comrie-1977-207-47	47	5.2.47	feather
Comrie-1977-207-48	48	5.2.48	few
Comrie-1977-207-49	49	5.2.49	fight
Comrie-1977-207-50	50	5.2.50	fire
Comrie-1977-207-51	51	5.2.51	fish
Comrie-1977-207-52	52	5.2.52	five
Comrie-1977-207-53	53	5.2.53	float
Comrie-1977-207-54	54	5.2.54	flow
Comrie-1977-207-55	55	5.2.55	flower
Comrie-1977-207-56	56	5.2.56	fly
Comrie-1977-207-57	57	5.2.57	fog
Comrie-1977-207-58	58	5.2.58	foot
Comrie-1977-207-59	59	5.2.59	four
Comrie-1977-207-60	60	5.2.60	freeze
Comrie-1977-207-61	61	5.2.61	fruit
Comrie-1977-207-62	62	5.2.62	full
Comrie-1977-207-63	63	5.2.63	give
Comrie-1977-207-64	64	5.2.64	good
Comrie-1977-207-65	65	5.2.65	grass
Comrie-1977-207-66	66	5.2.66	green
Comrie-1977-207-67	67	5.2.67	guts
Comrie-1977-207-68	68	5.2.68	hair
Comrie-1977-207-69	69	5.2.69	hand
Comrie-1977-207-70	70	5.2.70	he
Comrie-1977-207-71	71	5.2.71	head
Comrie-1977-207-72	72	5.2.72	hear
Comrie-1977-207-73	73	5.2.73	heart
Comrie-1977-207-74	74	5.2.74	heavy
Comrie-1977-207-75	75	5.2.75	here
Comrie-1977-207-76	76	5.2.76	hit
Comrie-1977-207-77	77	5.2.77	hold/take
Comrie-1977-207-78	78	5.2.78	horn
Comrie-1977-207-79	79	5.2.79	how
Comrie-1977-207-80	80	5.2.80	hunt
Comrie-1977-207-81	81	5.2.81	husband
Comrie-1977-207-82	82	5.2.82	I
Comrie-1977-207-83	83	5.2.83	ice
Comrie-1977-207-84	84	5.2.84	if
Comrie-1977-207-85	85	5.2.85	in
Comrie-1977-207-86	86	5.2.86	kill
Comrie-1977-207-87	87	5.2.87	knee
Comrie-1977-207-88	88	5.2.88	know
Comrie-1977-207-89	89	5.2.89	lake
Comrie-1977-207-90	90	5.2.90	laugh
Comrie-1977-207-91	91	5.2.91	leaf
Comrie-1977-207-92	92	5.2.92	leftside
Comrie-1977-207-93	93	5.2.93	leg
Comrie-1977-207-94	94	5.2.94	lie (i.e. be in lying position)
Comrie-1977-207-95	95	5.2.95	live
Comrie-1977-207-96	96	5.2.96	liver
Comrie-1977-207-97	97	5.2.97	long
Comrie-1977-207-98	98	5.2.98	louse
Comrie-1977-207-99	99	5.2.99	man/male
Comrie-1977-207-100	100	5.2.100	many
Comrie-1977-207-101	101	5.2.101	meat/flesh
Comrie-1977-207-102	102	5.2.102	moon
Comrie-1977-207-103	103	5.2.103	mother
Comrie-1977-207-104	104	5.2.104	mountain
Comrie-1977-207-105	105	5.2.105	mouth
Comrie-1977-207-106	106	5.2.106	name
Comrie-1977-207-107	107	5.2.107	narrow
Comrie-1977-207-108	108	5.2.108	near
Comrie-1977-207-109	109	5.2.109	neck
Comrie-1977-207-110	110	5.2.110	new
Comrie-1977-207-111	111	5.2.111	night
Comrie-1977-207-112	112	5.2.112	nose
Comrie-1977-207-113	113	5.2.113	not
Comrie-1977-207-114	114	5.2.114	old
Comrie-1977-207-115	115	5.2.115	one
Comrie-1977-207-116	116	5.2.116	other
Comrie-1977-207-117	117	5.2.117	person
Comrie-1977-207-118	118	5.2.118	play
Comrie-1977-207-119	119	5.2.119	pull
Comrie-1977-207-120	120	5.2.120	push
Comrie-1977-207-121	121	5.2.121	rain
Comrie-1977-207-122	122	5.2.122	red
Comrie-1977-207-123	123	5.2.123	right/correct
Comrie-1977-207-124	124	5.2.124	rightside
Comrie-1977-207-125	125	5.2.125	river
Comrie-1977-207-126	126	5.2.126	road
Comrie-1977-207-127	127	5.2.127	root
Comrie-1977-207-128	128	5.2.128	rope
Comrie-1977-207-129	129	5.2.129	rotten
Comrie-1977-207-130	130	5.2.130	round
Comrie-1977-207-131	131	5.2.131	rub
Comrie-1977-207-132	132	5.2.132	salt
Comrie-1977-207-133	133	5.2.133	sand
Comrie-1977-207-134	134	5.2.134	say
Comrie-1977-207-135	135	5.2.135	scratch
Comrie-1977-207-136	136	5.2.136	sea
Comrie-1977-207-137	137	5.2.137	see
