NUMBER	ENGLISH	SUBSET	SOURCE
Shin-1995-1468-1	1	abandon	(700)	B. & Th., CL
Shin-1995-1468-2	2	able	(1500)	B. & Th.
Shin-1995-1468-3	3	above	(700)	B. & Th., JHG
Shin-1995-1468-4	4	abscess	(1500)	B. & Th.
Shin-1995-1468-5	5	accept	(700)	B. & Th., CL
Shin-1995-1468-6	6	accompany	(400)	B. & Th., CL, JHG
Shin-1995-1468-7	7	accustom	(1500)	B. & Th.
Shin-1995-1468-8	8	ache	(1500)	K. & K.
Shin-1995-1468-9	9	acquire	(1500)	CL
Shin-1995-1468-10	10	Adam’s apple	(1500)	K. & K.
Shin-1995-1468-11	11	add	(1500)	B. & Th.
Shin-1995-1468-12	12	adult	(1500)	B. & Th.
Shin-1995-1468-13	13	afraid of	(1500)	CL
Shin-1995-1468-14	14	afternoon	(1500)	B. & Th.
Shin-1995-1468-15	15	agree	(1500)	B. & Th.
Shin-1995-1468-16	16	alive	(1500)	CL
Shin-1995-1468-17	17	all	(200)	B. & Th., C. & S., JHG, MS
Shin-1995-1468-18	18	allow	(1500)	B. & Th.
Shin-1995-1468-19	19	alone	(700)	B. & Th., CL
Shin-1995-1468-20	20	although	(1500)	B. & Th.
Shin-1995-1468-21	21	always	(1500)	B. & Th.
Shin-1995-1468-22	22	alycha	(1500)	K. & K.
Shin-1995-1468-23	23	ambush	(1500)	B. & Th.
Shin-1995-1468-24	24	and	(700)	C. & S., MS
Shin-1995-1468-25	25	angry	(1500)	B. & Th.
Shin-1995-1468-26	26	angry at	(1500)	CL
Shin-1995-1468-27	27	animal	(200)	B. & Th., C. & S., JHG, MS
Shin-1995-1468-28	28	animal husband man	(1500)	B. & Th.
Shin-1995-1468-29	29	animal young	(1500)	K. & K.
Shin-1995-1468-30	30	ankle	(1500)	B. & Th.
Shin-1995-1468-31	31	announce	(1500)	B. & Th.
Shin-1995-1468-32	32	annoy	(1500)	CL
Shin-1995-1468-33	33	answer	(400)	B. & Th., CL, JHG
Shin-1995-1468-34	34	ant	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-35	35	antelopes	(700)	B. & Th., JHG
Shin-1995-1468-36	36	anthill	(700)	B. & Th., JHG
Shin-1995-1468-37	37	anus	(700)	B. & Th., JHG
Shin-1995-1468-38	38	appear	(1500)	CL
Shin-1995-1468-39	39	apple	(1500)	K. & K.
Shin-1995-1468-40	40	approach	(1500)	CL
Shin-1995-1468-41	41	araba	(1500)	K. & K.
Shin-1995-1468-42	42	arm	(1500)	B. & Th.
Shin-1995-1468-43	43	armful	(1500)	K. & K.
Shin-1995-1468-44	44	armpit	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-45	45	arrive	(1500)	B. & Th., CL
Shin-1995-1468-46	46	arrow	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-47	47	arrow-head	(1500)	B. & Th.
Shin-1995-1468-48	48	as	(1500)	B. & Th.
Shin-1995-1468-49	49	as soon as	(1500)	B. & Th.
Shin-1995-1468-50	50	ashamed	(1500)	CL
Shin-1995-1468-51	51	ashes	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-52	52	ask	(400)	B. & Th., CL, JHG
Shin-1995-1468-53	53	asleep	(1500)	CL
Shin-1995-1468-54	54	assimilate	(1500)	CL
Shin-1995-1468-55	55	at	(700)	C. & S., MS
Shin-1995-1468-56	56	aurochs	(1500)	K. & K.
Shin-1995-1468-57	57	autumn	(1500)	K. & K.
Shin-1995-1468-58	58	avoid	(1500)	B. & Th.
Shin-1995-1468-59	59	awake	(1500)	CL
Shin-1995-1468-60	60	awl	(1500)	K. & K.
Shin-1995-1468-61	61	awn	(1500)	K. & K.
Shin-1995-1468-62	62	axe	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-63	63	baboon	(700)	B. & Th., JHG
Shin-1995-1468-64	64	baby	(700)	B. & Th., JHG
Shin-1995-1468-65	65	bachelor	(1500)	B. & Th.
Shin-1995-1468-66	66	back	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-67	67	bad	(200)	B. & Th., C. & S., CL, JHG, MS
Shin-1995-1468-68	68	badger	(1500)	K. & K.
Shin-1995-1468-69	69	bag	(1500)	K. & K.
Shin-1995-1468-70	70	bailer	(1500)	B. & Th.
Shin-1995-1468-71	71	bake	(1500)	K. & K.
Shin-1995-1468-72	72	bamboo	(1500)	B. & Th.
Shin-1995-1468-73	73	bang	(1500)	CL
Shin-1995-1468-74	74	baobab tree	(1500)	B. & Th.
Shin-1995-1468-75	75	barberry	(1500)	K. & K.
Shin-1995-1468-76	76	bare	(1500)	K. & K.
Shin-1995-1468-77	77	bark	(200)	B. & Th., C. & S., K. & K., MS
