NUMBER	GLOSS	SEMANTIC FIELD
1	one	Numerals
2	two	Numerals
3	three	Numerals
4	four	Numerals
5	five	Numerals
6	six	Numerals
7	seven	Numerals
8	eight	Numerals
9	nine	Numerals
10	ten	Numerals
11	hundred	Numerals
12	thousand	Numerals
13	arm	Body Parts
14	back	Body Parts
15	beard	Body Parts
16	belly	Body Parts
17	blood	Body Parts
18	body	Body Parts
19	bone	Body Parts
20	brain	Body Parts
21	breast	Body Parts
22	ear	Body Parts
23	egg	Body Parts
24	eye	Body Parts
25	fat	Body Parts
26	feather	Body Parts
27	guts	Body Parts
28	hair	Body Parts
29	head	Body Parts
30	heart	Body Parts
31	knee	Body Parts
32	leg	Body Parts
33	liver	Body Parts
34	meat	Body Parts
35	mouth	Body Parts
36	navel	Body Parts
37	neck	Body Parts
38	nose	Body Parts
39	penis	Body Parts
40	skin	Body Parts
41	tail	Body Parts
42	tongue	Body Parts
43	tooth	Body Parts
44	vulva	Body Parts
45	wing	Body Parts
46	bird	Fauna
47	butterfly	Fauna
48	centipede	Fauna
49	chicken	Fauna
50	crocodile	Fauna
51	dog	Fauna
52	eagle	Fauna
53	eel	Fauna
54	fish	Fauna
55	fly	Fauna
56	flying fox	Fauna
57	hornbill	Fauna
58	lobster	Fauna
59	louse	Fauna
60	louse egg	Fauna
61	mosquito	Fauna
62	midge	Fauna
63	pig	Fauna
64	porpoise	Fauna
65	possum	Fauna
66	rat	Fauna
67	scorpion	Fauna
68	shark	Fauna
69	snake	Fauna
70	spider	Fauna
71	turtle	Fauna
72	whale	Fauna
73	bark	Flora
74	branch	Flora
75	flower	Flora
76	fruit	Flora
77	leaf	Flora
78	root	Flora
79	seed	Flora
80	tree	Flora
81	grass	Flora
82	bamboo	Flora
83	banana	Flora
84	betel nut	Flora
85	breadfruit	Flora
86	coconut	Flora
87	cut nut	Flora
88	hibiscus til.	Flora
89	mango	Flora
90	pandanus	Flora
91	sago palm	Flora
92	sugarcane	Flora
93	taro	Flora
94	turmeric	Flora
95	yam	Flora
96	alstonia sp.	Flora
97	vitex cofassus	Flora
98	person	Family & Relationships
99	man	Family & Relationships
100	woman	Family & Relationships
101	father	Family & Relationships
102	mother	Family & Relationships
103	grandparent	Family & Relationships
104	child	Family & Relationships
105	elder brother	Family & Relationships
106	sister	Family & Relationships
107	line/kin	Family & Relationships
108	chieftain	Family & Relationships
109	name	Family & Relationships
110	board	Domestic
111	bow	Domestic
112	canoe	Domestic
113	calico	Domestic
114	club	Domestic
115	fishhook	Domestic
116	house	Domestic
117	oven	Domestic
118	paddle	Domestic
119	rope	Domestic
120	spear	Domestic
121	thatch	Domestic
122	tobacco	Domestic
123	bay	Geographical
124	cave	Geographical
125	earth	Geographical
126	earthquake	Geographical
127	garden	Geographical
128	headland	Geographical
129	island	Geographical
130	mountain	Geographical
131	reef	Geographical
132	river	Geographical
133	road	Geographical
134	sand	Geographical
135	sea	Geographical
136	stone	Geographical
137	village	Geographical
138	bush	Geographical
139	day	Physical Astronomy Meteorology
140	might	Physical Astronomy Meteorology
141	morning	Physical Astronomy Meteorology
142	year	Physical Astronomy Meteorology
143	yesterday	Physical Astronomy Meteorology
144	today	Physical Astronomy Meteorology
145	tomorrow	Physical Astronomy Meteorology
146	dust	Physical Astronomy Meteorology
147	ashes	Physical Astronomy Meteorology
148	fire	Physical Astronomy Meteorology
149	flame	Physical Astronomy Meteorology
150	smoke	Physical Astronomy Meteorology
151	cloud	Physical Astronomy Meteorology
152	fog	Physical Astronomy Meteorology
153	lightning	Physical Astronomy Meteorology
154	rain	Physical Astronomy Meteorology
155	rainbow	Physical Astronomy Meteorology
156	sky	Physical Astronomy Meteorology
157	thunder	Physical Astronomy Meteorology
158	wind	Physical Astronomy Meteorology
159	sun	Physical Astronomy Meteorology
160	moon	Physical Astronomy Meteorology
161	star	Physical Astronomy Meteorology
162	water	Physical Astronomy Meteorology
163	I	Personal Pronouns
164	you sg.	Personal Pronouns
165	he	Personal Pronouns
166	we pl. incl.	Personal Pronouns
167	we pl. excl.	Personal Pronouns
168	you pl.	Personal Pronouns
169	they	Personal Pronouns
170	we dl. incl.	Personal Pronouns
171	we dl. excl.	Personal Pronouns
172	you dl.	Personal Pronouns
173	they dl.	Personal Pronouns
174	my	Possessives
175	your sg.	Possessives
176	his	Possessives
177	our pl. incl.	Possessives
178	our pl. Excl.	Possessives
179	your pl.	Possessives
180	their	Possessives
181	becuase	Correlatives
182	many	Correlatives
183	this	Correlatives
184	time	Correlatives
185	how?	Correlatives
186	what?	Correlatives
187	when?	Correlatives
188	where?	Correlatives
189	who?	Correlatives
190	how many?	Correlatives
191	yes	Conjunctions, Prepositions, Psychology, etc.
192	no	Conjunctions, Prepositions, Psychology, etc.
193	here	Conjunctions, Prepositions, Psychology, etc.
194	there	Conjunctions, Prepositions, Psychology, etc.
195	left	Conjunctions, Prepositions, Psychology, etc.
196	right	Conjunctions, Prepositions, Psychology, etc.
197	and	Conjunctions, Prepositions, Psychology, etc.
198	at	Conjunctions, Prepositions, Psychology, etc.
199	if	Conjunctions, Prepositions, Psychology, etc.
200	in	Conjunctions, Prepositions, Psychology, etc.
201	after	Conjunctions, Prepositions, Psychology, etc.
202	below	Conjunctions, Prepositions, Psychology, etc.
203	fear	Conjunctions, Prepositions, Psychology, etc.
204	life	Conjunctions, Prepositions, Psychology, etc.
205	love	Conjunctions, Prepositions, Psychology, etc.
206	mistake	Conjunctions, Prepositions, Psychology, etc.
207	spirit (dead)	Conjunctions, Prepositions, Psychology, etc.
208	spirit (live)	Conjunctions, Prepositions, Psychology, etc.
209	black	Adjectives
210	blue	Adjectives
211	green	Adjectives
212	red	Adjectives
213	white	Adjectives
214	yellow	Adjectives
215	bad	Adjectives
216	good	Adjectives
217	big	Adjectives
218	small	Adjectives
219	cold	Adjectives
220	warm	Adjectives
221	dry	Adjectives
222	wet	Adjectives
223	blunt	Adjectives
224	sharp	Adjectives
225	empty	Adjectives
226	full	Adjectives
227	far	Adjectives
228	near	Adjectives
229	fast	Adjectives
230	slow	Adjectives
231	long	Adjectives
232	short	Adjectives
233	new	Adjectives
234	old (thing)	Adjectives
235	old (person)	Adjectives
236	strong	Adjectives
237	weak	Adjectives
238	thick	Adjectives
239	thin	Adjectives
240	hungry	Adjectives
241	thirsty	Adjectives
242	bald	Adjectives
243	dirty	Adjectives
244	heavy	Adjectives
245	lazy	Adjectives
246	alive	Adjectives
247	correct	Adjectives
248	rotten	Adjectives
249	sick	Adjectives
250	smooth	Adjectives
251	sore (adj.)	Adjectives
252	straight	Adjectives
253	tired	Adjectives
254	wild	Adjectives
