NUMBER	GLOSS	SEMANTIC TAG	TBL_ID	CONCEPTICON_ID	CONCEPTICON_GLOSS
1	above	location, adjective or noun	0731	1741	ABOVE
2	all	characterisation, quantity	0962	98	ALL
3	the ant	animal	0365	587	ANT (noun)
4	the armpit	body	0092	1886	ARMPIT (noun)
5	bad	characterisation, character	1053	1292	BAD (adjective)
6	the bamboo	plant, food	0389	1927	BAMBOO (noun)
7	the barley (tibetan or highland)	plant	0411	932	BARLEY (noun)
8	to be alive	process	1087	1422	BE ALIVE (verb)
9	the belly	body	0096	1251	BELLY (noun)
10	below, under	location, adjective or noun	0732	1485	BELOW OR UNDER
11	big	characterisation, quantity	0964	1202	BIG (adjective)
12	the bird	animal	0326	937	BIRD (noun)
13	to bite	action	1753	1403	BITE (verb)
14	black	characterization, color	1005	163	BLACK (adjective)
15	the blood	body	0129	946	BLOOD (noun)
16	to blow (of wind)	process	1738	175	BLOW (THE TRUMPET) (verb)
17	the body hair (hair or fur)		0266	189	BODY HAIR (noun)
18	the bone	body	0133	1394	BONE (noun)
19	the branch	body, plant	0374	1513	BRANCH (BIFURCATION) (noun)
20	the breast (female)	body	0094	1402	BREAST (noun)
21	to burn [intransitive]	process	1269	1428	BURN (verb)
22	to buy	action	1516	1869	BUY (verb)
23	to chew	action	1424	321	CHEW (verb)
24	the child (young human)	kinship	0169	1304	CHILD (YOUNG HUMAN) (noun)
25	the cloud	nature	0007	1489	CLOUD (noun)
26	cold (of temperature)	characterization, weather	1063	1287	COLD (DISEASE) (noun)
27	to come	action	1491	1446	COME (verb)
28	correct (right)	characterization, character	1045	1725	CORRECT (RIGHT) (adjective)
29	to count	action	1640	1420	COUNT (verb)
30	to cry (weep)	action	1485	1839	CRY (verb)
31	dark	characterisation, state	1013	706	DARK (adjective)
32	the daughter	kinship	0222	1357	DAUGHTER (noun)
33	the dew	nature	0015	1977	DEW (noun)
34	to die	process	1651	1494	DIE (verb)
35	to dig	action	1698	1418	DIG (verb)
36	dirty	characterisation, state	1086	1230	DIRTY (adjective)
37	the dog	nature	0289	2009	DOG (noun)
38	the dream	mind	0699	2374	DREAM (verb)
39	to drink	action	1370	1401	DRINK (verb)
40	dry	characterisation, state	1028	1398	DRY (adjective)
41	the dust	nature	0045	2	DUST (noun)
