# http://comparalex.org/index.php?page=stdlist&id=19
1	001	I	je
2	002	thou (you)	tu (masc, sing)
3	003	we	nous (incl)
4	004	this	ce (monsieur)-ci
5	005	that	ce(monsieur)-là
6	006	who	qui?
7	007	what	quoi?
8	008	not	non
9	009	all	tout, tous
10	010	many	beaucoup (de)
11	011	one	un (1)
12	012	two	deux (2)
13	013	big	(être) grand, gros
14	014	long	(être) long
15	015	small	(être) petit
16	016	woman	femme
17	017	man (vir)	homme (mâle)
18	018	person	personne
19	019	fish	poisson
20	020	bird	oiseau
21	021	dog	chien
22	022	louse	pou (de tête)
23	023	tree	arbre
24	024	seed	grain, semence
25	025	leaf	feuille
26	026	root	racine
27	027	bark	écorce (d'arbre)
28	028	skin	peau (d'homme)
29	029	flesh (meat)	viande
30	029	flesh (meat)	chair
31	030	blood	sang
32	031	bone	os
33	032	grease, oil	graisse
34	032	grease, oil	huile
35	033	egg	oeuf
36	034	horn	corne
37	035	tail	queue
38	036	feather	plume
39	037	hair	cheveux (de tête)
40	038	head	tête
41	039	ear	oreille
42	040	eye	oeil
43	041	nose	nez
44	042	mouth	bouche
45	043	tooth	dent
46	044	tongue	langue
47	045	claw	griffe
48	046	foot	pied
49	047	knee	genou
50	048	hand	main
51	049	belly	ventre
52	050	neck	cou
53	051	breast(s)	sein, mamelle
54	052	heart	coeur
55	053	liver	foie
56	054	drink	boire
57	055	eat	manger
58	056	bite	mordre
59	057	see	voir
60	058	hear	entendre
61	059	know	connaître, savoir
62	060	sleep (v)	dormir
63	061	die	mourir
64	062	kill	tuer
65	063	swim	nager
66	064	fly (v.)	voler
67	065	walk	marcher
68	066	come	venir
69	067	lie	se coucher
70	068	sit	s'asseoir
71	069	stand	(être, se tenir) debout
72	070	give	donner
73	071	say	dire
74	072	sun	soleil
75	073	moon	lune
76	074	star	étoile
77	075	water	eau
78	076	rain	pluie
79	077	stone	caillou
80	078	sand	sable
81	079	earth	terre (sol)
82	080	cloud	nuage
83	081	smoke	fumée
84	082	fire	feu
85	083	ash	cendres
86	084	burn	brûler
87	085	path	chemin, route
88	086	mountain	montagne
89	087	red	(être) rouge
90	088	green	(être) vert
91	089	yellow	(être) jaune
92	090	white	(être) blanc
93	091	black	(être) noir
94	092	night	nuit
95	093	hot	(être) chaud
96	094	cold	(être) froid
97	095	full	(être) plein
98	096	new	(être) nouveau, neuf
99	097	good	(être) bon
100	098	round	(être) rond
101	099	dry	(être) sec
102	100	name	nom
