Jacques-2015-249-7	7	the barley (tibetan or highland)	plant	0411	932	BARLEY	!!!	???	8
Jacques-2015-249-9	9	the belly	body	0096	1251	BELLY	!!!	???	8
Jacques-2015-249-15	15	the blood	body	0129	946	BLOOD	!!!	???	8
Jacques-2015-249-18	18	the bone	body	0133	1394	BONE	!!!	???	8
Jacques-2015-249-20	20	the breast (female)	body	0094	1402	BREAST	!!!	???	8
Jacques-2015-249-21	21	to burn [intransitive]	process	1269	1428	BURNING	!!!	???	8
Jacques-2015-249-25	25	the cloud	nature	0007	1489	CLOUD	!!!	???	8
Jacques-2015-249-27	27	to come	action	1491	1446	COME	!!!	???	8
Jacques-2015-249-29	29	to count	action	1640	1420	COUNT	!!!	???	8
Jacques-2015-249-35	35	to dig	action	1698	1418	DIG	!!!	???	8
Jacques-2015-249-38	38	the dream	mind	0699	2374	DREAM	!!!	???	8
Jacques-2015-249-48	48	eight	number	0804	1705	EIGHT	!!!	???	8
Jacques-2015-249-52	52	the feather	animal, product	0299	1201	FEATHER	!!!	???	8
Jacques-2015-249-57	57	five	number	0801	493	FIVE	!!!	???	8
Jacques-2015-249-58	58	the flea	animal	0355	232	FLEA	!!!	???	8
Jacques-2015-249-59	59	to float	process	1553	1574	FLOAT	!!!	???	8
Jacques-2015-249-60	60	to flow	process	1502	2003	FLOW	!!!	???	8
Jacques-2015-249-64	64	the foot	body	0103	1301	FOOT	!!!	foot (measure)	3
Jacques-2015-249-65	65	the forest	nature	0050	420	FOREST	!!!	???	8
Jacques-2015-249-67	67	four	number	0800	1500	FOUR	!!!	???	8
Jacques-2015-249-68	68	the fox	animal	0325	1312	FOX	!!!	???	8
Jacques-2015-249-74	74	to give	action	1345	1447	GIVE	!!!	???	8
Jacques-2015-249-78	78	green	characterization, color	1009	1425	GREEN	!!!	???	8
Jacques-2015-249-86	86	the heart	body	0144	1223	HEART	!!!	???	8
Jacques-2015-249-98	98	hundred	number	0824	1634	HUNDRED	!!!	???	8
Jacques-2015-249-99	99	to hunt	action	1230	1435	HUNT	!!!	???	8
Jacques-2015-249-112	112	the leaf	body, animal	0376	628	LEAF	!!!	???	8
Jacques-2015-249-118	118	the lip (the lips)		0085	478	LIP	!!!	???	8
Jacques-2015-249-121	121	the louse	animal	0356	1392	LOUSE	!!!	???	8
Jacques-2015-249-122	122	the lung	body part	0143	688	LUNG	!!!	???	8
Jacques-2015-249-124	124	many	characterization, quantity	0987	1198	MANY	!!!	???	8
Jacques-2015-249-137	137	the name	human being	0687	1405	NAME	!!!	???	8
Jacques-2015-249-139	139	near	characterization, quantity	0975	1942	NEAR	!!!	???	8
Jacques-2015-249-142	142	new	characterization, state	1050	1231	NEW	!!!	???	8
Jacques-2015-249-143	143	nine	number	0805	1483	NINE	!!!	???	8
Jacques-2015-249-144	144	the nit	animal	0357	267	NIT	!!!	???	8
Jacques-2015-249-148	148	one	number	0797	1493	ONE	!!!	???	8
Jacques-2015-249-149	149	the otter	animal	0317	15	OTTER	!!!	???	8
Jacques-2015-249-158	158	red	characterization, color	1007	156	RED	!!!	???	8
Jacques-2015-249-159	159	to reside (live)	action	1452	1099	RESIDE	!!!	???	8
Jacques-2015-249-162	162	the river	nature, geography	0030	666	RIVER	!!!	???	8
Jacques-2015-249-164	164	the root	body, animal	0375	670	ROOT	!!!	???	8
Jacques-2015-249-168	168	the salt	object, food	0061	1274	SALT	!!!	???	8
Jacques-2015-249-170	170	the sand	nature, substance	0044	671	SAND	!!!	???	8
Jacques-2015-249-174	174	the seed	object, food	0405	714	SEED	!!!	???	8
Jacques-2015-249-175	175	seven	number	0803	1704	SEVEN	!!!	???	8
Jacques-2015-249-180	180	the shoulder	body	0090	1482	SHOULDER	!!!	???	8
Jacques-2015-249-183	183	to sing	action	1184	1261	SING	!!!	???	8
Jacques-2015-249-184	184	six	number	0802	1703	SIX	!!!	???	8
Jacques-2015-249-185	185	the skin	body	0120	763	SKIN	!!!	???	8
Jacques-2015-249-186	186	the sky	nature, geography	0001	1732	SKY	!!!	???	8
Jacques-2015-249-190	190	the smoke	nature	0019	778	SMOKE (EXHAUST)	!!!	???	8
Jacques-2015-249-191	191	smooth	characterization, form	1037	1234	SMOOTH	!!!	???	8
Jacques-2015-249-201	201	to steal	action	1686	713	STEAL	!!!	???	8
Jacques-2015-249-202	202	the stick	object, tool	0586	1295	STICK	!!!	???	8
Jacques-2015-249-207	207	ten	number	0806	1515	TEN	!!!	???	8
Jacques-2015-249-216	216	three	number	0799	492	THREE	!!!	three days from now	5
Jacques-2015-249-223	223	the tooth (front)	body	0137	1380	TOOTH	!!!	???	8
Jacques-2015-249-224	224	the tree	nature, object	0372	906	TREE	!!!	???	8
Jacques-2015-249-225	225	twenty	number	0816	1710	TWENTY	!!!	???	8
Jacques-2015-249-226	226	two	number	0798	1498	TWO	!!!	???	8
Jacques-2015-249-227	227	to vomit	action	1535	1278	VOMIT	!!!	???	8
Jacques-2015-249-235	235	white	characterisation, color	1006	1335	WHITE	!!!	???	8
Jacques-2015-249-244	244	the worm	animal	0353	1219	WORM	!!!	???	8
Jacques-2015-249-246	246	yellow	characterisation, color	1008	1424	YELLOW	!!!	???	8
