# from http://comparalex.org/index.php?page=stdlist&id=1
1	0010	eye	oeil
2	0020	ear	oreille
3	0030	nose	nez
4	0040	mouth	bouche
5	0043	tooth	dent
6	0045	tongue	langue
7	0048	lips	lèvre
8	0060	chin	menton
9	0070	jaw	mâchoire
10	0080	beard	barbe
11	0090	cheek	joue
12	0100	face	visage
13	0110	forehead	front
14	0120	head	tête
15	0150	hair (head)	cheveux (de tête)
16	0160	hair (body)	poil (du corps)
17	0170	fur	pelage, fourrure
18	0180	feather (s)	plume
19	0190	horn	corne
20	0200	neck	cou
21	0210	throat	gorge
22	0220	shoulder	épaule
23	0230	armpit	aisselle
24	0236.1	the bush	brousse, campagne
25	0250	breast	sein, mamelle
26	0252	udder	pis, mamelle
27	0260	milk (mother's)	lait
28	0262	milk (animal's)	lait (d'un animal)
29	0265	butter	beurre
30	0267	cheese	fromage
31	0280	chest	poitrine
32	0310	belly	ventre
33	0320	navel	nombril
34	0340	side of body	côté (du corps), flanc
35	0342	rib	côte
36	0360	back	dos
37	0370	buttocks	fesse
38	0380	tail	queue
39	0400	leg	jambe
40	0410	hip	hanche
41	0420	thigh	cuisse
42	0440	knee	genou
43	0450	foot	pied
44	0460	sole of foot	plante du pied
45	0500	arm (forearm)	avant-bras
46	0500	arm (forearm)	bras
47	0505	wing	aile
48	0540	elbow	coude
49	0550	hand	main
50	0560	palm	paume (de la main)
51	0580	finger	doigt
52	0582	thumb	pouce
53	0585	toe	orteil, doigt de pied
54	0590	fingernail	ongle
55	0591	claw	griffe
56	0600	body	corps
57	0610	skin (of man)	peau (d'homme)
58	0611	hide (animal skin)	peau (d'animal)
59	0620	wound	plaie, blessure
60	0621	scar	cicatrice
61	0630	bone	os
62	0640	meat; flesh	viande
63	0640	meat; flesh	chair
64	0650	fat / grease	graisse
65	0651	oil	huile
66	0660	vein	veine
67	0680	egg	oeuf
68	0700	blood	sang
69	0710	saliva	salive
70	0720	tears	larmes
71	0740	urine	urine
72	0750	sweat	sueur
73	0760	feces / excrement	excrément
74	0761	dung	fumier
75	0800	heart	coeur
76	0830	liver	foie
77	0860	guts / bowels	intestins
78	0890	brain	cerveau
79	1000	person / human	personne
80	1050	child (youngster)	bébé
81	1050	child (youngster)	enfant
82	1080	elder	ancien
83	1100	man (vir)	homme (mâle)
84	1101	husband	mari, époux
85	1150	son	fils
86	1151	boy	garçon
87	1200	woman	femme
88	1201	wife	femme, épouse
89	1250	daughter	fille
90	1251	girl	(petite) fille, filette
91	1300	father	père
92	1310	mother	mère
93	1320	brother	 
94	1321	elder brother	aîné / aînée
95	1321	elder brother	frère aîné
96	1322	younger brother	cadet
97	1322	younger brother	frère cadet
98	1330	sister	soeur (aînée/cadette)
99	1331	elder sister	aînée
100	1332	younger sister	soeur cadette
101	1340	friend	ami, camarade
102	1350	mother's brother	oncle maternel
103	1355	father's sister	tante paternelle
104	1360	child (offspring)	enfant
105	1365	twins	jumeau
106	1380	stranger	étranger (inconnuu)
107	1385	guest	hôte, visiteur, invité, <<étranger>>
108	1390	enemy	ennemi
109	1400?	chief / king	chef
110	1400?	chief / king	roi
111	1410	owner	propriétaire
112	1415	slave	esclave
113	1430	judge	juge
114	1450	God	Dieu (être suprême)
115	1460	spirit / ghost	esprit (invisible) d'un défunt
116	1461	shadow	ombre
117	1470	name	nom
118	1480	voice	voix
119	1485	language	langue, langage
120	1490	story (tale)	conte, histoire
121	1500	animal	animal
122	1502	wild animal	animal sauvage
123	1505	domestic animal	animal domestique
124	1508	sacrifice	sacrifice
125	1610	dog	chien
126	1620	jackal	chacal
127	1630	hyena	hyène
128	1650	cat	chat
129	1660	lion	lion
130	1670	leopard	léopard
131	1710	rat	rat
132	1720	bat (fruit -)	roussette (grande chauve-souris)
133	1720	bat (fruit -)	chauve-souris
134	1750	elephant	éléphant
135	1760	hippo	hippopotame
136	1770	buffalo	buffle
137	1780	monkey	singe
138	1790	baboon	babouin
139	1810	goat	chèvre
140	1820	sheep	mouton
141	1850	pig	porc, cochon
142	1890	horse	cheval
143	1900	cow (cattle)	bétail
144	1910	cow (female)	vache
145	1920	bull	taureau
146	1930	ox	boeuf, bovidé
147	2000	bird	oiseau
148	2010	chicken	poulet
149	2012	hen	poule
150	2015	cock	coq
151	2020	eagle	aigle
152	2030	vulture	vautour
153	2040	guinea fowl	pintade
154	2050	dove	colombe
155	2060	pigeon	pigeon
156	2110, 	tortoise (land)	tortue (terrestre)
157	2111	tortoise, water	tortue (aquatique)
158	2120	lizard	lézard
159	2130	crocodile	crocodile
160	2150	snake	serpent
161	2190	worm (earth-)	ver de terre
162	2200	fish	poisson
163	2250	crab	crabe
164	2310	louse	pou (de tête)
165	2320	fly (house-)	mouche
166	2330	honey	miel
167	2332	honeybee	abeille
168	2340	grasshopper	sauterelle
169	2350	ant (soldier)	fourmi soldat
170	2350	ant (soldier)	fourmi
171	2360	termite	termite
172	2370	spider	araignée
173	2380	scorpion	scorpion
174	2500	tree	arbre
175	2510	bark (tree)	écorce (d'arbre)
176	2520	leaf (tree)	feuille
177	2530	branch (tree)	branche (d'arbre)
178	2535	stick / club	massue
179	2535	stick / club	bâton
180	2540	root (of tree)	racine
181	2550	thorn	épine
182	2570	flower	fleur
183	2580	fruit	fruit
184	2590	seed	grain, semence
185	2600	grain	grain de semence
186	2610	wheat	blé, froment
187	2620	millet	mil (saison de pluies)
188	2630	barley	orge
189	2640	maize	maïs
190	2650	rice	riz
191	2660	banana (s), sweet	banane (douce)
192	2665	plantain	plantain, banane à cuire
193	2670	palm tree (eg. date)	dattier
194	2670	palm tree (eg. date)	palmier
195	2680	yam	igname
196	2685	manioc / cassava	manioc
197	2690	groundnut / peanut	arachide
198	2710	tobacco	tabac
199	2720	grass	herbe
200	2725	thatch (n)	chaume
201	2750	forest	forêt
202	2760	"the bush"	brousse, campagne
203	2770	desert / wilderness	désert
204	2790	field(s)	champ
205	2800	place	endroit, lieu
206	2810	country	campagne
207	2820	tribe / ethnic group	tribu, ethnie
208	2830	village	village
209	2840	home / compound (including the courtyard)	concession, maison
210	2840	home / compound (including the courtyard)	domicile
211	2850	house, hut	maison
212	2850	house, hut	case
213	2860	roof	toit
214	2870	loft / granary	grenier
215	2880	wall	mur
216	2890	door	porte
217	2900	gate	case d'entrée
218	2910	fence	clôture
219	2930	path	chemin, route
220	2940	road	chemin, route
221	2970	well (water-)	puits
222	3000	thing (object)	chose
223	3001	thing (affair)	affaire
224	3100	clothing	vêtement(s), habit(s)
225	3110	pagne (wrap-around)	pagne (de femme)
226	3120	boubou / shirt	boubou
227	3130	trousers	pantalon
228	3150	shoe(s)	chaussure, sandale
229	3152	sandals	sandale
230	3160	bracelet	bracelet
231	3170	necklace	collier
232	3180	ring (finger)	bague, anneau (de doigt)
233	3200	rope	corde
234	3210	string, thread	ficelle
235	3210	string, thread	fil
236	3220	mat (sleeping)	natte
237	3250	hoop net	nasse
238	3260	net	filet
239	3310	chair	chaise
240	3320	stool	tabouret, siege
241	3350	drum (n)	tambour moyen
242	3360	boat, canoe	bateau
243	3360	boat, canoe	pirogue, canoë
244	3410	calabash / gourd	calebasse
245	3410	calabash / gourd	courge
246	3420	basket	panier, corbeille
247	3430	load	charge, fardeau
248	3450	rubbish, garbage	ordures
249	3460	hole (in ground)	trou
250	3510	mortar (grinding)	mortier
251	3520	pestle	pilon
252	3550	medicine	médicament, remède
253	3555	poison	poison
254	3570	salt	sel
255	3580	foufou / ugali	foufou / to
256	3600	pot (cooking)	marmite (en terre)
257	3610	water pot (earthen)	jarre (à eau)
258	3620	cooking pot (metal)	pot (en métal)
259	3700	iron (metal)	fer
260	3710	knife	couteau
261	3720	bush-knife	machette
262	3730	axe	hache
263	3740	hoe	houe, 'daba'
264	3750	arrow	flèche
265	3760	bow (weapon)	arc (de chasse)
266	3770	spear	lance (javelot)
267	3775	fish-spear	lance à pêche
268	3780	shield (n)	bouclier
269	3799	war	guerre
270	3810	law	loi
271	3910	charcoal	charbon de bois
272	3920	fire	feu
273	3930	firewood	bois à brûler
274	3940	smoke	fumée
275	3950	ash(es)	cendres
276	3960	fireplace (hearth)	foyer
277	4010	night(time)	nuit
278	4011	darkness	obscurité
279	4050	moon	lune
280	4051	month	mois
281	4060	star	étoile
282	4070	sun	soleil
283	4071	heat of day	chaleur
284	4072	daylight	jour, lumière
285	4080	day-time	jour, journée (lumière)
286	4100	day of 24 hours	jour, journée
287	4120	morning	matin
288	4180	evening	soir
289	4210	sky	ciel
290	4220	cloud(s)	nuage
291	4230	fog / mist	brouillard
292	4250	wind	vent
293	4260	storm	orage, "tornade"
294	4300	water	eau
295	4310	rain	pluie
296	4315	lightning	éclair
297	4316	thunder	tonnerre
298	4320	hail	grêle
299	4340	dew	rosée
300	4400	watercourse	cours d'eau
301	4410	river	rivière, fleuve
302	4420	stream	ruisseau
303	4450	lake	lac
304	4460	sea	océan, mer
305	4510	mountain	montagne
306	4511	hill	colline
307	4512	rock	pierre
308	4520	stone	caillou
309	4522	pebble	caillou
310	4550	earth (soil)	terre (sol)
311	4551	ground	sol, terre
312	4560	sand	sable
313	4570	dust	poussière
314	4580	clay	argile
315	4585	mud	boue
316	4600	year	an, année
317	4610	rainy season	saison des pluies, hivernage
318	4620	dry season	saison sèche
319	5000	how many?	combien?
320	5010	one	un (1)
321	5020	two	deux (2)
322	5030	three	trois (3)
323	5040	four	quatre (4)
324	5050	five	cinq (5)
325	5060	six	six (6)
326	5070	seven	sept (7)
327	5080	eight	huit (8)
328	5090	nine (=tisa)	neuf (9)
329	5100	ten	dix (10)
330	5120	twelve	douze (12)
