NUMBER	GLOSS	MSEA_281	MSEA_436	Matisoff_209	Swadesh_100	Swadesh_200
1	afraid	afraid	afraid	fear/frighten	---	fear
2	alive	live/alive	---	alive	---	---
3	all	all	all	---	all	all
4	and	and	---	---	---	and
5	angry	---	angry	---	---	---
6	animal	animal	animal	meat/animal	---	animal
7	answer	---	answer	---	---	---
8	ant	---	---	ant	---	---
9	area under house	---	area under house	---	---	---
10	armpit	---	armpit	---	---	---
11	arrow	arrow	arrow	arrow	---	---
12	ashamed	---	---	ashamed	---	---
13	ashes	ashes	ashes	ashes	ashes	ashes
14	at	at	---	---	---	at
15	awaken	---	---	awaken	---	---
16	back	back	back	---	---	back
17	bad	bad	bad	---	---	bad
18	bald	---	bald	---	---	---
19	bamboo	---	bamboo	bamboo	---	---
20	bamboo shoot	---	bamboo shoot	---	---	---
21	banana/plantain	banana	banana	banana	---	---
22	bark	tree bark	tree bark	---	bark	bark
23	bark	---	bark	---	---	---
24	bathe	---	bathe	---	---	---
25	bear	---	bear	bear	---	---
26	beard	---	beard	---	---	---
27	because	because	---	---	---	because
28	bee	---	bee	bee	---	---
29	belly	belly	belly	belly	belly	belly
30	bend	---	bend	---	---	---
31	betel nut	betel nut	betel nut	---	---	---
32	big	big	big	---	big	big
33	bird	bird	bird	bird	bird	bird
34	bird nest	---	bird nest	---	---	---
35	bite	bite	bite	bite	bite	bite
36	bitter	---	bitter	bitter	---	---
37	black	black	black	black	black	black
38	blanket	---	blanket	---	---	---
39	blind	---	blind	---	---	---
40	blood	blood	blood	blood	blood	blood
41	blow	blow	[blow]	blow	---	blow
42	boat	---	boat	boat	---	---
43	boil	---	boil	---	---	---
44	bone	bone	bone	bone	bone	bone
45	born	---	---	born	---	---
46	bow	crossbow	bow, crossbow	bow	---	---
47	brain	---	brain	brain	---	---
48	branch	branch	branch	branch	---	---
49	breast	chest/breast	---	---	breast	---
50	breast/milk	chest/breast	milk	vagina/breast/milk	---	---
51	breath	breathe	breath	breath/life	---	breathe
52	bright	---	bright	---	---	---
53	brother (eldr. of f.)	brother (eldr. of f.)	brother (eldr. of f.)	---	---	---
54	brother (eldr. of m.)	brother (eldr. of m.)	brother (eldr. of m.)	---	---	---
55	brother(yngr. of f.)	---	brother(yngr. of f.)	---	---	---
56	brother(yngr. of m.)	---	brother(yngr. of m.)	---	---	---
57	buffalo	buffalo	buffalo	---	---	---
58	burn	burn	burn	burn	burn	burn
59	bury	---	bury	---	---	---
60	butterfly	---	butterfly	---	---	---
61	buttocks	---	buttocks	---	---	---
62	buy	buy	buy	buy	---	---
63	calf	calf	calf	---	---	---
64	candle	---	candle	---	---	---
65	cane/rattan	---	cane/rattan	---	---	---
66	cat	---	cat	---	---	---
67	cave	---	cave	---	---	---
68	cheek	---	cheek	---	---	---
69	chicken	chicken	chicken	---	---	---
70	child	child	child	child/son	---	child
71	chin	---	chin	---	---	---
72	choose	---	choose	---	---	---
73	claw	finger nail	finger nail	nail/claw	claw	---
74	climb/ascend	---	---	climb/ascend	---	---
75	clothing	clothing	clothing	---	---	---
76	cloud	cloud	cloud	cloud	cloud	cloud
77	cockroach	---	cockroach	---	---	---
78	coconut	coconut	coconut	---	---	---
79	cold	cold	cold	cold	cold	cold
80	comb	---	comb	---	---	---
81	come	come	come	---	come	come
82	cook/boil	cook	cook	cook/boil	---	---
83	cool	---	cool	---	---	---
84	corn	corn	corn	---	---	---
85	correct	correct	correct	---	---	right/correct
86	cough	---	cough	cough	---	---
87	count	count	count	---	---	count
88	cow	cow	cow	---	---	---
89	crawl	---	crawl	---	---	---
90	crested	---	crested	---	---	---
91	crocodile	---	crocodile	---	---	---
92	cut	cut	stab [to cut (hair)]	cut	---	cut
93	dance	dance	dance	---	---	---
94	dark	---	dark	---	---	---
95	day	day	day	---	---	day
96	deaf	---	deaf	---	---	---
97	deep	---	deep	---	---	---
98	deer	deer	deer	---	---	---
99	descend	---	---	descend	---	---
100	die	die	die	die	die	die
101	difficult	---	difficult	---	---	---
102	dig	dig	dig	dig	---	dig
103	dirty	dirty	dirty	---	---	dirty
104	disappear	---	disappear	---	---	---
105	disgusting	---	disgusting	---	---	---
106	do/make	---	do/make	---	---	---
107	dog	dog	dog	dog	dog	dog
108	don't do it	---	don't do it	---	---	---
109	door	---	door	---	---	---
110	dove	---	---	dove	---	---
111	dream	---	dream	dream	---	---
112	drink	drink	drink	drink	drink	drink
113	drum	drum	drum	---	---	---
114	drunk	drunk	drunk	---	---	---
115	dry	dry	dry	---	dry	dry
116	duck	duck	duck	---	---	---
117	dull	blunt	blunt	---	---	dull
118	dust	dust	dust	---	---	dust
119	dye	---	dye	---	---	---
120	ear	ear	ear	ear/hear	ear	ear
121	earth/soil	earth	earth	earth	earth	earth
122	east	---	east	---	---	---
123	easy	---	easy	---	---	---
124	eat	eat	eat	eat	eat	eat
125	egg	egg	egg	egg	egg	egg
126	eggplant	---	eggplant	---	---	---
127	eight	eight	eight	eight	---	---
128	elbow	---	elbow	---	---	---
129	elephant	elephant	elephant	---	---	---
130	emerge	---	---	emerge	---	---
131	enter	enter	enter	---	---	---
132	exchange	---	exchange	---	---	---
133	excrement	---	excrement	shit	---	---
134	extinguish	---	extinguish	extinguish	---	---
135	eye	eye	eye	eye	eye	eye
136	eyebrow	---	eyebrow	---	---	---
137	eyelid	---	eyelid	---	---	---
138	face	---	face	---	---	---
139	fall	fall/ drop (object)	fall	fall	---	fall
140	far	far	far	far	---	far
141	fast	---	fast	---	---	---
142	fat (n.)	fat	fat	fat/grease	---	fat
143	fat (adj.)	---	fat	fat	---	---
144	father	father	father	---	---	father
145	feather	feather	feather	hair (body)	feather	feather
146	few	few	few	---	---	few
147	field	---	---	field	---	---
148	fight	fight	fight	---	---	fight
149	finger	---	finger	finger/toe	---	---
150	fire	fire	fire	fire	fire	fire
151	firewood	firewood	firewood	---	---	---
152	fish	fish	fish	fish	fish	fish
153	five	five	five	five	---	five
154	flesh/meat	flesh	flesh	---	flesh	meat
155	float	float	float	---	---	float
156	flow	flow	flow	---	---	flow
157	flower	flower	flower	flower	---	flower
158	fly	fly	fly	fly	fly	fly
159	fly (n.)	fly	fly	---	---	---
160	fog	mist	mist	---	---	fog
161	foot	foot	foot	foot	foot	foot
162	forehead	---	forehead	---	---	---
163	forget	---	forget	forget	---	---
164	four	four	four	four	---	four
165	fowl	---	---	fowl	---	---
166	freeze	freeze	---	---	---	freeze
167	friend	---	friend	---	---	---
168	frog	---	frog	frog	---	---
169	fruit	fruit	fruit	fruit	---	fruit
170	full	full	full	full	full	---
171	full	full	full	---	---	---
172	garlic	---	garlic	---	---	---
173	ghost	---	ghost	---	---	---
174	gibbon	---	gibbon	---	---	---
175	ginger	---	ginger	---	---	---
176	give	give	give	give	give	give
177	gold	gold	gold	---	---	---
178	gong	gong	gong	---	---	---
179	good	good	good	---	good	good
180	grandchild (nephew)	---	---	grandchild	---	---
181	grass	grass	grass	grass	---	grass
182	grease	---	---	---	grease	---
