NUMBER	RUSSIAN	ENGLISH	GERMAN	LATIN	FRENCH
137	Душа	?	Seele	Anima	Ame
138	Умереть	?	Sterben	Mori	Mourir
139	Смерть	?	Tod	Mors	Mort
140	Старъ	?	Alt	Senex	Vieu
141	Молодъ	?	Jung	Juvenis	Jeune
142	Велико	?	Großs	Magnus	Grand
143	Мало	?	Klein	Parvus	Petit
144	Высоко	?	Hoch	Altus	Haut
145	Ниско	?	Niedrig	Humilis	Bas
146	Хладъ	?	Kaelte	Frigus	Froid
147	Тепло	?	Warm	Calidus	Chaud
148	Жарко	?	Heißs	Fervidus	Ardent
149	Зсравъ	?	Geßund	Sanus	Sain
150	Хорошо	?	Gut	Bene, Bonus	Bien, Bon
151	Благъ	?	Wohl, Seelig	?	Biènheureu
152	Зло	?	Böße	Sceleratus	Méchant
153	Дурно	?	Schlecht	Male	Mal
154	Глупо	?	Dumm	Stultus	Sot
155	Умно	?	Klug	Sapiens	Sage
156	Лѣпо	?	Schoen	Pulcher	Beau
157	Остро	?	Scharf	Acutus	Aigû
158	Кругло	?	Rund	Rotundus	Rond
159	Кругъ	?	Kreißs	Circulus	Cercle
160	Шаръ	?	Ball	Globus	Coule
161	Легокъ	?	Leicht	Levis	Leger
162	Тяжелъ	?	Schwer	Gravis	Peßant
163	Твердъ	?	Feßt, Hart	Solidus, Durus	Solide, Dur
164	Крѣпокъ	?	Stark	Fortis	Fort
165	Слабъ	?	Schwach	Debilis	Faible
166	Тонко	?	Dünn	Tenuis	Mince
167	Толсто	?	Dick	Craßßus	Gros
168	Широко	?	Breit	Latus	Large
169	Скоро	?	Geßchwind	Celer	Vite
170	Тихо	?	Langßam, Still	Lentus, Tranquillus	Lent, Tranquille
171	Бѣло	?	Weißs	Albus	Blanc
172	Черно	?	Schwartz	Niger	Noir
173	Красно	?	Roth	Ruber	Rouge
174	Зелено	?	Grün	Viridis	Verd
175	Желто	?	Gelb	Flavus	Jaune
176	Син!й	?	Blau	Coerulus	Bleu
177	Солнце	?	Sonne	Sol	Soleil
178	Мѣсяцъ	?	Mond	Luna	Lune
179	Звѣзда	?	Stern	Stella	Etoile
180	Небо	?	Himmel	Coelum	Ciel
181	Туманъ	?	Nebel	Nebula	Brouillar
182	Облако	?	Wolke	Nubes	Nue
183	Радуга	?	Regenbogen	Iris	Arc-en-ciel
184	Лучь	?	Strahl	Radius	Rayon
185	Воздухъ	?	Luft	Aër	Air
186	Вѣтрь	?	Wind	Ventus	Vent
187	Вѣть	?	Wehen	Ventilare	Venter
188	Вихрь	?	Wirbelwind	Turbo	Tourbillon
189	Буря	?	Sturm	Procella	Tempête, Ouragan
190	Паръ	?	Dunßt	Vapor	Vapeur
191	Дождь	?	Regen	Plubia	Pluye
192	Роса	?	Thau	Ros	Roßée
193	Градъ	?	Hagel	Grando	Grêle
194	Громъ	?	Donner	Tonitru	Tonnere
195	Молн!я	?	Blitz	Fulgur	Eclair
196	Снѣгъ	?	Schnee	Nix	Neige
197	Стужа	?	Kaelte	Frigus	Froid
198	Морозъ	?	Froßt	Gelu	Gelée
199	Ледъ	?	Eißs	Glacies	Glace
200	Огонь	?	Feuer	Ignis	Feu
201	Свѣтъ	?	Licht	Lux	Lumière
202	Тѣнь	?	Schatten	Umbra	Ombre
203	Темно	?	Finßter	Tenbrißus	Sombre
204	День	?	Tag	Dies	Jour
205	Ночь	?	Nacht	Nox	Nuit
206	Утро	?	Morgen	Mane	Matin
207	Вечерь	?	Abend	Veßpera	Soir
208	Востокъ	?	Oßt, Aufgang	Oriens	Orient
209	Западъ	?	Weßt, Niedergang	Occidens	Occident
210	Севѣръ	?	Nord, Mitternacht	Septentrio	Septentrion
211	Югъ	?	Süd, Mittag	Meridies	Midi
212	Лѣто	?	Somer	Aeßtas	Eté
213	Зима	?	Winter	Hyems	Hyver
214	Осень	?	Herbßt	Autumnus	Automne
215	Весна	?	Früling	Ver	Printemps
216	Часъ	?	Stunde	Hora	Heure
217	Семдица	?	Woche	Hebdomas	Semaine
218	Годъ	?	Jahr	Annus	Année
219	Время	?	Zeit	Tempus	Temps
220	Миръ	?	Welt	Mundus	Monde
221	Земля	?	Erde	Terra	Terre
222	Вода	?	Waßßer	Aqua	Eau
223	Море	?	Meer	Mare	Mer
224	Рѣка	?	Flußs	Fluvius	Rivière
225	Озеро	?	See	Lacus	Lac
226	Волны	?	Wellen	Fluctus	Vagues
227	Островъ	?	Inßel, Eyland	Inßula	Ißle
228	Песокъ	?	Sand	Arena (Sabulum)	Sable
229	Глина	?	Thon	Argilla	Glaiße
230	Пыль	?	Staub	Pulvis	Pußière
231	Грязь	?	Koth	Coenum	Boue
232	Гора	?	Berg	Mons	Montagne
233	Берегъ	?	Ufer	Littus	Rive
234	Холмъ	?	Hügel	Collis	Colline
235	Долъ, долина	?	Thal	Vallis	Vallée
236	Глубина	?	Tiefe	Profunditas	Profondeur
237	Высота	?	Hoehe	Altitido	Hauteur
238	Ширина	?	Breite	Latitudo	Largeur
239	Длина	?	Laenge	Longitudo	Longueur
240	Дира	?	Loch	Foramen	Trou
241	Яма	?	Grube	Foßßa	Foßße
242	Ровъ	?	Graben	Foßßa	Foßßé
243	Пещера	?	Hoehle	Antrum	Antre
244	Камень	?	Stein	Lapis, Saxum	Pierre
245	Золото	gold	Gold	Aurum	Or
246	Сребро	?	Silber	Argentum	Argent
247	Мѣдь	?	Kupfer	Cuprum	Cuivre
248	Железо	?	Eißen	Ferrum	Fer
249	Олово	?	Zinn	Stannum	Etain
250	Свинецъ	?	Bley	Plumbum	Plomb
251	Соль	?	Saltz	Sal	Sel
252	Известь	?	Kalk	Calx	Chaux
253	Ядъ	?	Gift	Venenum	Poißon
254	Чудо	?	Wunder	Miraculum	Merveille
255	Зелень	?	Gras	Gramen	Verdure
256	Трава	?	Kraut	Herba	Herbe
257	Древо	?	Baum	Arbor	Arbre
258	Лѣсъ	?	Holtz, Wald	Lignum, Sylva	Bois, Forêt
259	Колъ	?	Pfahlu	Palum	Poteau, Pie
260	Корень	?	Wurtzel	Radix	Racine
261	Пень	?	Stumpf	Caudex	Tronc
262	Кора	?	Rinde	Cortex	Ecorce
263	Сукъ	?	Ast	Ramus	Branche
264	Листъ	?	Blatt	Folium	Feuille
265	Цвѣтъ	?	Blume	Flos	Fleur
266	Плодъ	?	Frucht	Fructus	Fruit
267	Сѣмя	?	Same	Semen	Graine
268	Ягода	?	Beere	Bacca	Baye
269	Лукъ	?	Zwiebel	Bulbus	Oignon
270	Орѣьъ	?	Nußs	Nux	Noix
271	Яблоко	?	Apfel	Pomum	Pomme
272	Дубъ	?	Eiche	Quercus	Chêne
273	Виноградъ	?	Weinßtok	Vitis	Vigne
274	Поле	?	Feld	Campus	Plaine
275	Пашня	?	Acker	Ager	Champ
276	Сѣять	?	Sæen	Serere	Semer
277	Лугъ	?	Wieße	Pratum	Prairie
278	Жыто	?	Getraide	Frumentum	Bled
279	Рожь	?	Roggen	Secale	Seigle
280	Пшеница	?	Waitzen	Triticum	Froment
281	Овесъ	?	Haber	Avena	Avoine
282	Ячмень	?	Gerßte	Hordeum	Orge
283	Горохъ	?	Erbße	Pißum	Pois
284	Свѣрь	?	Thier	Animal	Animal
285	Рыба	?	Fißch	Pißcis	Poißßon
286	Китъ	?	WallFißch	Cete	Baleine
287	Ракъ	?	Krebs	Cancer	Ecrevißße
288	Змея	?	Schlange	Serpens	Serpent
289	Лягушка	?	Froßch	Rana	Grénouille
290	Червь	?	Wurm	Vermis	Ver
291	Муха	?	Fliege	Mußca	Mouche
292	Комарь	?	Mücke	Culex	Coußin
293	Муравей	?	Ameiße	Formica	Fourmis
294	Паукъ	?	Spinne	Aranea	Araignée
295	Пчела	?	Biene	Apis	Abeille
296	Медъ	?	Honig	Mel	Miel
297	Быкъ	?	Ochße	Bos	Boeuf
298	Корова	?	Kuh	Vacca	Vache
