NUMBER	CATEGORY	GLOSS	URL
1	Numbers	one	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/one/Lgs_Sln
2	Numbers	two	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/two/Lgs_Sln
3	Numbers	three	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/three/Lgs_Sln
4	Numbers	four	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/four/Lgs_Sln
5	Numbers	five	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/five/Lgs_Sln
6	Numbers	six	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/six/Lgs_Sln
7	Numbers	seven	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/seven/Lgs_Sln
8	Numbers	eight	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/eight/Lgs_Sln
9	Numbers	nine	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/nine/Lgs_Sln
10	Numbers	ten	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/ten/Lgs_Sln
11	Numbers	hundred	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/hundred/Lgs_Sln
12	Numbers	all	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/all/Lgs_Sln
13	Colors	white	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/white/Lgs_Sln
14	Colors	red	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/red/Lgs_Sln
15	Colors	green	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/green/Lgs_Sln
16	Adjectives	long	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/long/Lgs_Sln
17	Adjectives	sharp	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/sharp/Lgs_Sln
18	Adjectives	full	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/full/Lgs_Sln
19	Adjectives	young	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/young/Lgs_Sln
20	Adjectives	new	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/new/Lgs_Sln
21	Adjectives	naked	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/naked/Lgs_Sln
22	Adjectives	quick	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/quick/Lgs_Sln
23	Adjectives	fast	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/fast/Lgs_Sln
24	Adjectives	good	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/good/Lgs_Sln
25	Adjectives	warm	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/warm/Lgs_Sln
26	Adjectives	cold	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/cold/Lgs_Sln
27	Adjectives	sore	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/sore/Lgs_Sln
28	Adjectives	holy	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/holy/Lgs_Sln
29	Adjectives	better	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/better/Lgs_Sln
30	Body	right	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/right/Lgs_Sln
31	Body	head	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/head/Lgs_Sln
32	Body	eye	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/eye/Lgs_Sln
33	Body	ear	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/ear/Lgs_Sln
34	Body	tear	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/tear/Lgs_Sln
35	Body	mouth	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/mouth/Lgs_Sln
36	Body	tongue	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/tongue/Lgs_Sln
37	Body	tooth	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/tooth/Lgs_Sln
38	Body	hand	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/hand/Lgs_Sln
39	Body	foot	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/foot/Lgs_Sln
40	Body	knee	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/knee/Lgs_Sln
41	Body	toe	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/toe/Lgs_Sln
42	Body	blood	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/blood/Lgs_Sln
43	Body	bone	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/bone/Lgs_Sln
44	Body	nail	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/nail/Lgs_Sln
45	Body	heart	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/heart/Lgs_Sln
46	Body	liver	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/liver/Lgs_Sln
47	People	mother	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/mother/Lgs_Sln
48	People	father	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/father/Lgs_Sln
49	People	daughter	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/daughter/Lgs_Sln
50	People	brother	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/brother/Lgs_Sln
51	People	name	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/name/Lgs_Sln
52	People	word	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/word/Lgs_Sln
53	Animals	hound	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/hound/Lgs_Sln
54	Animals	mouse	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/mouse/Lgs_Sln
55	Animals	goose	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/goose/Lgs_Sln
56	Animals	cow	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/cow/Lgs_Sln
57	Animals	lamb	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/lamb/Lgs_Sln
58	Animals	calf	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/calf/Lgs_Sln
59	Animals	fish	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/fish/Lgs_Sln
60	Animals	horn	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/horn/Lgs_Sln
61	Animals	wool	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/wool/Lgs_Sln
62	Nature	moon	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/moon/Lgs_Sln
63	Nature	north	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/north/Lgs_Sln
64	Nature	stone	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/stone/Lgs_Sln
65	Nature	ash	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/ash/Lgs_Sln
66	Nature	earth	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/earth/Lgs_Sln
67	Nature	leaf	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/leaf/Lgs_Sln
68	Nature	thorn	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/thorn/Lgs_Sln
69	Nature	oak	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/oak/Lgs_Sln
70	Weather	rain	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/rain/Lgs_Sln
71	Weather	storm	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/storm/Lgs_Sln
72	Weather	thunder	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/thunder/Lgs_Sln
73	Weather	snow	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/snow/Lgs_Sln
74	Weather	ice	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/ice/Lgs_Sln
75	Weather	wind	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/wind/Lgs_Sln
76	Food	hunger	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/hunger/Lgs_Sln
77	Food	milk	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/milk/Lgs_Sln
78	Food	honey	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/honey/Lgs_Sln
79	Food	salt	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/salt/Lgs_Sln
80	Food	corn	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/corn/Lgs_Sln
81	House	house	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/house/Lgs_Sln
82	House	home	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/home/Lgs_Sln
83	House	yard	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/yard/Lgs_Sln
84	House	oven	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/oven/Lgs_Sln
85	House	stool	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/stool/Lgs_Sln
86	House	bath	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/bath/Lgs_Sln
87	House	thing	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/thing/Lgs_Sln
88	House	top	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/top/Lgs_Sln
89	House	needle	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/needle/Lgs_Sln
90	House	ring	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/ring/Lgs_Sln
91	Verbs	is	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/is/Lgs_Sln
92	Verbs	eat!	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/eat!/Lgs_Sln
93	Verbs	bite!	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/bite!/Lgs_Sln
94	Verbs	drink!	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/drink!/Lgs_Sln
95	Verbs	see!	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/see!/Lgs_Sln
96	Verbs	hear!	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/hear!/Lgs_Sln
97	Verbs	open	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/open/Lgs_Sln
