NUMBER	LONGLIST	GLOSS
1		ant
2	20	arm
3	124	ash(es) (ma)
4		ball
5		bamboo
6	80	bark (of tree)
7		basket
8		bean
9	77	bee
10	38	honey
11		begin
12	28	blood
13		book
14	51	son/boy
15		case
16	63	cat
17	99	chair
18	72	chicken
19	161	cold (weather)
20		corn
21	69	cow
22		door
23	37	egg
24	64	elephant
25	1	eye
26	2	eyebrow
27		eyelid
28	90	field
29	23	finger
30		(n) forest
31		fox
32		frog
33	52	daughter/girl
34	68	goat
35		goodness
36		grandmother
37		happiness
38		hate
39	160	hot (weather)
40		help (N)
41		herd
42		here
43	91	house
44		hundred
45		thousand
46	104	hunger
47	43	husband
48		insect
49		journey
50		Bena
51		grain
52	111	knife
53	141	lake
54	81	leaf
55	65	lion
56		locust
57	42	man
58		money
59		mosquito
60	179	near
61	125	night (time)
62		Njombe
63	48	brother (older, same sex)
64		pain
65		pity
66	107	cooking
67		potato
68	145	stone (fistsized)/rock
69	86	seed
70		sheep
71		shoe
72		us
73a	196a	stand up (3rd Sg)
73b	196b	stand up (Imp)
73		song
75	100	stool
76		sunflower
77		sweet potato
78		teacher
79		trick (V)
80		town
81	79	tree
82		truth
83	135	sky
84	44	woman
85		wasp
86		you
87		all the people
88		our cow
89		our fields
90		our chair
91		our chairs
92		our trees
