NUMBER	LONGLIST	SHORTLIST	GLOSS
1	1	25	eye
2	2	26	eyebrow
3	3		ear
4	4		mouth
5	5		jawbone
6	6		nose
7	7		chin
8	8		beard
9	9		tooth
10	10		tongue
11	11		head
12	12		hair (human)
13	13		neck
14	14		belly
15	15		back
16	16		backbone
17	17		knee
18	18		leg
19	19		foot
20	20	2	arm
21	21		hand
22	22		fingernail
23	23	29	finger
24	24		armpit
25	25		skin (human)
26	26		skin (animal)
27	27		bone
28	28	12	blood
29	29		heart
30	30		lung
31	31		liver
32	32		voice
33	33		horn (of animal)
34	34		wing (of bird)
35	35		feathers
36	36		tail (of mammal)
37	37	23	egg
38	38	10	honey
39	39		milk (of cow)
40	40		meat
41	41		person
42	42	57	man
43	43	47	husband
44	44	84	woman
45	45		wife
46	46		father
47	47		mother
48	48	63	brother (older, same sex)
49	49		mother's brother
50	50		child
51	51	14	son/boy
52	52	33	daughter/girl
53	53		twins
54	54		chief
55	55		God
56	56		sickness
57	57		sore
58	58		medicine
59	59		body (human)
60	60		name
61	61		wild animal
62	62		dog
63	63	16	cat
64	64	24	elephant
65	65	55	lion
66	66		bat
67	67		butterfly
68	68	34	goat
69	69	21	cow
70	70		bull
71	71		calf
72	72	18	chicken
73	73		cock/roooster
74	74		bird
75	75		snake
76	76		fish
77	77	9	bee
78	78		head louse
79	79	81	tree
80	80	6	bark (of tree)
81	81	54	leaf
82	82		branch (of tree)
83	83		shade (of tree)
84	84		walking stick
85	85		root (of tree)
86	86	69	seed
87	87		grass
88	88		flowers
89	89		thorn
90	90	28	field
91	91	43	house
92	92		wall
93	93		village
94	94		path
95	95		thing/object
96	96		rope
97	97		thread
98	98		knot
99	99	17	chair
100	100	75	stool
101	101		salt
102	102		finger millet
103	103		gruel
104	104	46	hunger
105	105		thirst
106	106		utensil
107	107	66	cooking
108	108		burden, load (carried on head)
109	109		iron/metal
110	110		hoe
111	111	52	knife
112	112		big
113	113		dull (knife)
114	114		sharp (knife)
115	115		axe
116	116		spear
117	117		arrow
118	118		hole
119	119		enemy
120	120		war
121	121		fire (for cooking)/heat
122	122		firewood
123	123		smoke
124	124	3	ash(es) (ma)
125	125	61	night (time)
126	126		darkness
127	127		moon
128	128		month
129	129		star
130	130		sun
131	131		daytime
132	132		today
133	133		yesterday
134	134		tomorrow
135	135	83	sky
136	136		clouds
137	137		wind (N)
138	138		rain (N)
139	139		water
140	140		river
141	141	53	lake
142	142		dew
143	143		ice
144	144		mountain
145	145	68	stone (fistsized)/rock
146	146		earth (soil)
147	147		sand
148	148		dust
149	149		year
150	150		one (thing)
151	151		two (things)
152	152		three
153	153		four
154	154		five
155	155		six
156	156		seven
157	157		eight
158	158		nine
159	159		ten
160	160	39	hot (weather)
161	161	19	cold (weather)
162	162		long (thing)
163	163		short (thing)
164	164		big (thing)
165	165		small (thing)
166	166		wide (path)
167	167		narrow (path)
168	168		heavy (thing)
169	169		light (weight)
170	170		difficult (test)
171	171		easy (test)
172	172		good (thing)
173	173		bad (thing)
174	174		left (side)
175	175		right (side)
176	176		inside
177	177		outside
178	178		far
179	179	60	near
180	180		new (thing)
181	181		all (things)
182	182		many (things)
183	183		few (things)
184	184		red (thing)
185	185		black (thing)
186	186		white (thing)
187	187		who?
188	188		why?
189	189		what?
190	190		dirty (clothes)
191	191		rotten (fruit)
192	192		dry (cloth)
193	193		wet (cloth)
194	194		full (bottle)
195	195		sit
196	196a	73a	stand up (3rd Sg)
197	196b	73b	stand up (Imp)
198	197		sleep
199	198		awaken
200	199		ask for sthg.
201	200		bring
202	201		get/obtain
203	202		take
204	203		carry (child on back)
205	204		hold
206	205		sell
207	206		buy
208	207		fear (V)
209	208		give (him)
210	209		send (him)
211	210		bite (V)
212	211		eat
213	212		drink (V)
214	213		boil (water)
215	214		pour
216	215		vomit
