NUMBER	BLA	SEMF	IDX	IDY	GLOSS
7	the barley (tibetan or highland)	plant	0411	932	BARLEY
9	the belly	body	0096	1251	BELLY
15	the blood	body	0129	946	BLOOD
18	the bone	body	0133	1394	BONE
20	the breast (female)	body	0094	1402	BREAST
21	to burn [intransitive]	process	1269	1428	BURNING
25	the cloud	nature	0007	1489	CLOUD
27	to come	action	1491	1446	COME
29	to count	action	1640	1420	COUNT
35	to dig	action	1698	1418	DIG
38	the dream	mind	0699	2374	DREAM
48	eight	number	0804	1705	EIGHT
52	the feather	animal, product	0299	1201	FEATHER
57	five	number	0801	493	FIVE
58	the flea	animal	0355	232	FLEA
59	to float	process	1553	1574	FLOAT
60	to flow	process	1502	2003	FLOW
64	the foot	body	0103	1301	FOOT
65	the forest	nature	0050	420	FOREST
67	four	number	0800	1500	FOUR
68	the fox	animal	0325	1312	FOX
74	to give	action	1345	1447	GIVE
78	green	characterization, color	1009	1425	GREEN
86	the heart	body	0144	1223	HEART
98	hundred	number	0824	1634	HUNDRED
99	to hunt	action	1230	1435	HUNT
112	the leaf	body, animal	0376	628	LEAF
118	the lip (the lips)		0085	478	LIP
121	the louse	animal	0356	1392	LOUSE
122	the lung	body part	0143	688	LUNG
124	many	characterization, quantity	0987	1198	MANY
137	the name	human being	0687	1405	NAME
139	near	characterization, quantity	0975	1942	NEAR
142	new	characterization, state	1050	1231	NEW
143	nine	number	0805	1483	NINE
144	the nit	animal	0357	267	NIT
148	one	number	0797	1493	ONE
149	the otter	animal	0317	15	OTTER
158	red	characterization, color	1007	156	RED
159	to reside (live)	action	1452	1099	RESIDE
162	the river	nature, geography	0030	666	RIVER
164	the root	body, animal	0375	670	ROOT
168	the salt	object, food	0061	1274	SALT
170	the sand	nature, substance	0044	671	SAND
174	the seed	object, food	0405	714	SEED
175	seven	number	0803	1704	SEVEN
180	the shoulder	body	0090	1482	SHOULDER
183	to sing	action	1184	1261	SING
184	six	number	0802	1703	SIX
185	the skin	body	0120	763	SKIN
186	the sky	nature, geography	0001	1732	SKY
190	the smoke	nature	0019	778	SMOKE (EXHAUST)
191	smooth	characterization, form	1037	1234	SMOOTH
201	to steal	action	1686	713	STEAL
202	the stick	object, tool	0586	1295	STICK
207	ten	number	0806	1515	TEN
216	three	number	0799	492	THREE
223	the tooth (front)	body	0137	1380	TOOTH
224	the tree	nature, object	0372	906	TREE
225	twenty	number	0816	1710	TWENTY
226	two	number	0798	1498	TWO
227	to vomit	action	1535	1278	VOMIT
235	white	characterisation, color	1006	1335	WHITE
244	the worm	animal	0353	1219	WORM
246	yellow	characterisation, color	1008	1424	YELLOW
