NUMBER	CHINESE	PAGENO	POS	SEMANTIC_FIELD	SF_IN_SOURCE	POS_IN_SOURCE	GLOSS	PINYIN
1	太陽	1	noun	weather, geography	一、天象、地理	名 詞	sun	tài-yáng
2	月亮	1	noun	weather, geography	一、天象、地理	名 詞	moon	yuè-liàng
3	星	2	noun	weather, geography	一、天象、地理	名 詞	star	xīng
4	風	2	noun	weather, geography	一、天象、地理	名 詞	wind	fēng
5	雨	3	noun	weather, geography	一、天象、地理	名 詞	rain	yù
6	霧	3	noun	weather, geography	一、天象、地理	名 詞	fog	wù
7	露水	4	noun	weather, geography	一、天象、地理	名 詞	dew	lù-shuǐ
8	霜	4	noun	weather, geography	一、天象、地理	名 詞	frost	shuāng
9	雪	5	noun	weather, geography	一、天象、地理	名 詞	snow	xuě
10	冰	5	noun	weather, geography	一、天象、地理	名 詞	ice	níng
11	冰雹	6	noun	weather, geography	一、天象、地理	名 詞	hail	níng-báo
12	閃電	6	noun	weather, geography	一、天象、地理	名 詞	lightning	shàn-diàn
13	雷	7	noun	weather, geography	一、天象、地理	名 詞	thunder	léi
14	虹	7	noun	weather, geography	一、天象、地理	名 詞	rainbow	jiàng
15	天氣	8	noun	weather, geography	一、天象、地理	名 詞	weather	tiān-qì
16	晴天	8	noun	weather, geography	一、天象、地理	名 詞	sunny day	qíng-tiān
17	陰天	9	noun	weather, geography	一、天象、地理	名 詞	cloudy day	yīn-tiān
18	海	9	noun	weather, geography	一、天象、地理	名 詞	sea, ocean	hǎi
19	湖	10	noun	weather, geography	一、天象、地理	名 詞	lake	hú
20	池塘	10	noun	weather, geography	一、天象、地理	名 詞	pond	tuó-táng
21	風景	11	noun	weather, geography	一、天象、地理	名 詞	landscape	fēng-jǐng
22	時候	11	noun	time, season	二、時間、節令	名 詞	time, season	shí-hòu
23	今年	12	noun	time, season	二、時間、節令	名 詞	this year	jīn-nián
24	明年	12	noun	time, season	二、時間、節令	名 詞	next year	míng-nián
25	後年	13	noun	time, season	二、時間、節令	名 詞	the year after next	hòu-nián
26	去年	13	noun	time, season	二、時間、節令	名 詞	last year	qù-nián
27	前年	14	noun	time, season	二、時間、節令	名 詞	the year before last	qián-nián
28	日子	14	noun	time, season	二、時間、節令	名 詞	day	rì-zi
29	今天	15	noun	time, season	二、時間、節令	名 詞	today	jīn-tiān
30	明天	15	noun	time, season	二、時間、節令	名 詞	tomorrow	míng-tiān
31	後天	16	noun	time, season	二、時間、節令	名 詞	the day after tomorrow	hòu-tiān
32	大後天	16	noun	time, season	二、時間、節令	名 詞	three days from now	dà-hòu-tiān
33	昨天	17	noun	time, season	二、時間、節令	名 詞	yesterday	zuó-tiān
34	前天	17	noun	time, season	二、時間、節令	名 詞	the day before yesterday	qián-tiān
35	大前天	18	noun	time, season	二、時間、節令	名 詞	three days before	dà-qián-tiān
36	白天	18	noun	time, season	二、時間、節令	名 詞	day (opposed to night)	bái-tiān
37	夜間	19	noun	time, season	二、時間、節令	名 詞	night (opposed to day)	yè-jiàn
38	早晨	19	noun	time, season	二、時間、節令	名 詞	morning	zǎo-chén
39	上午	20	noun	time, season	二、時間、節令	名 詞	forenoon	shàng-wǔ
40	中午	20	noun	time, season	二、時間、節令	名 詞	noon	zhòng-wǔ
41	下午	21	noun	time, season	二、時間、節令	名 詞	afternoon	xià-wǔ
42	傍晚	21	noun	time, season	二、時間、節令	名 詞	at dusk (nightfall)	páng-wǎn
43	晚上	22	noun	time, season	二、時間、節令	名 詞	evening	wǎn-shàng
44	元旦	22	noun	time, season	二、時間、節令	名 詞	new year	yuán-dàn
45	端午節	23	noun	time, season	二、時間、節令	名 詞	the Dragon Boat Festival	duān-wǔ-jié
46	中秋節	23	noun	time, season	二、時間、節令	名 詞	the Mid-autumn Festival (15th day of the 8th lunar month)	zhòng-qiū-jié
