NUMBER	CLASSIFICATION_1	CLASSIFICATION_2	CLASSIFICATION_3	GERMAN	GLOSS
51	III. Substantiva	M. Körperteile	a. Kopf	Kopf	*head
52	III. Substantiva	M. Körperteile	a. Kopf	Auge	*eye
53	III. Substantiva	M. Körperteile	b. Hals, Rumpf	Hals	*neck
54	III. Substantiva	M. Körperteile	c. Extremitäten	Hand	*hand
55	III. Substantiva	M. Körperteile	c. Extremitäten	Fuß	*foot
56	III. Substantiva	M. Körperteile	d. Sonstige Körperteile, Ausscheidungen, usw.	Haut	skin
57	III. Substantiva	M. Körperteile	d. Sonstige Körperteile, Ausscheidungen, usw.	Knochen	bone
58	III. Substantiva	M. Körperteile	d. Sonstige Körperteile, Ausscheidungen, usw.	Ader	vein
59	III. Substantiva	M. Körperteile	d. Sonstige Körperteile, Ausscheidungen, usw.	Blut	blood
60	III. Substantiva	M. Körperteile	Anhang	Geist	ghost
61	III. Substantiva	M. Körperteile	Anhang	Schatten	shadow
62	III. Substantiva	M. Körperteile	Anhang	Name	name
63	III. Substantiva	M. Körperteile	Anhang	Stimme	voice
64	III. Substantiva	M. Körperteile	Anhang	Wort	word
65	III. Substantiva	N. Wohnung	-	Haus	*house
66	III. Substantiva	O. Schiff	-	Boot	*boat
67	III. Substantiva	P. Waffen und Geräte	-	Messer	*knife
68	III. Substantiva	Q. Gefässe	-	Tasse	*cup
69	III. Substantiva	R. Kleidung, Schmuck	-	Hose	trousers
70	III. Substantiva	S. Nahrung	-	Fleisch	*meat
71	III. Substantiva	T. Allgemeines	-	Ding	thing
72	III. Substantiva	T. Allgemeines	-	Stück	piece
73	III. Substantiva	T. Allgemeines	-	Theil	part
74	III. Substantiva	T. Allgemeines	-	Masse	multitude
75	IV. Adjectiva	A. Gross	-	lang	long
76	IV. Adjectiva	A. Gross	-	stark	strong
77	IV. Adjectiva	A. Gross	-	dick	thick, fat
78	IV. Adjectiva	A. Gross	-	hoch	high
79	IV. Adjectiva	A. Gross	-	alt	old
80	IV. Adjectiva	A. Gross	-	schwer	heavy
81	IV. Adjectiva	B. Klein	-	kurz	short
82	IV. Adjectiva	C. Gestalt, Konsistenz	-	rund	*round
83	IV. Adjectiva	C. Gestalt, Konsistenz	-	flüssig	*liquid
84	IV. Adjectiva	D. Farben	-	rot	*red
85	IV. Adjectiva	D. Farben	-	blau	*blue
86	IV. Adjectiva	D. Farben	-	weiß	*white
87	IV. Adjectiva	D. Farben	-	schwarz	*black
88	IV. Adjectiva	D. Farben	-	grün	*green
89	IV. Adjectiva	E. Eigenschaften des Gefühls, Geschmackes, Geruches, Gehöres	-	wohlriechend	*fragrant
90	IV. Adjectiva	E. Eigenschaften des Gefühls, Geschmackes, Geruches, Gehöres	-	salzig	*salty
91	IV. Adjectiva	E. Eigenschaften des Gefühls, Geschmackes, Geruches, Gehöres	-	leise	*silent
92	IV. Adjectiva	F. Körperliches Befinden	-	schwach	*weak
93	IV. Adjectiva	G. Gemüths- und Verstandeseigenschaften	-	wütend	*angry
94	IV. Adjectiva	H. Allgemeines	-	wahr	true
95	IV. Adjectiva	H. Allgemeines	-	gleich	identical
96	IV. Adjectiva	H. Allgemeines	-	ähnlich	similar
97	IV. Adjectiva	H. Allgemeines	-	ganz	whole
98	IV. Adjectiva	H. Allgemeines	-	fertig	ready
99	V. Adverbien	A. Der Zeit	-	lange	*for long
100	V. Adverbien	B. Des Ortes	-	oben	*above
101	V. Adverbien	C. Der Art und Weise	-	vielleicht	*perhaps
102	VI. Conjunctionen	-	-	weil	*because
103	VII. Präpositionen oder Postpositionen, Casusaffixe	-	-	unter	*under
104	VIII. Verba	A. Sagen, sprechen, u.s.w.	-	sprechen	*to speak
105	VIII. Verba	B. Denken u.s.w.	-	wollen	to want
106	VIII. Verba	B. Denken u.s.w.	-	lieben	to love
107	VIII. Verba	B. Denken u.s.w.	-	hassen	to hate
108	VIII. Verba	B. Denken u.s.w.	-	vergessen	to forget
109	VIII. Verba	C. Leben, Körperfunktionen	-	atmen	*to breathe
110	VIII. Verba	D. Gehen, kommen u.s.w.	-	laufen	to run
111	VIII. Verba	D. Gehen, kommen u.s.w.	-	treten	to step
112	VIII. Verba	D. Gehen, kommen u.s.w.	-	folgen	to follow
113	VIII. Verba	D. Gehen, kommen u.s.w.	-	steigen	to climb
114	VIII. Verba	D. Gehen, kommen u.s.w.	-	fliessen	to float
115	VIII. Verba	D. Gehen, kommen u.s.w.	-	fallen	to fall
116	VIII. Verba	D. Gehen, kommen u.s.w.	-	tröpfeln	to drip
117	VIII. Verba	E. Da sein, verweilen	-	stehen	to stand
118	VIII. Verba	E. Da sein, verweilen	-	sitzen	to sit
119	VIII. Verba	E. Da sein, verweilen	-	liegen	to lie
120	VIII. Verba	F. Andere Verba (Schwer zu classificirende, für die die alphabetische Ordnung als Nothbehelf dienen muss)	-	wissen	*to know
