NUMBER	GLOSS	SUBLIST	CATEGORY
1	sky	◇	-
2	sun	•	-
3	moon	•	-
4	star	•	-
5	cloud	•	-
6	mist	◇	-
7	rain	•	-
8	rainbow	◇	-
9	lightning		-
10	thunder		-
11	wind		-
12	night	•	-
13	day	◇	-
14	morning		-
15	noon		-
16	yesterday		-
17	tomorrow		-
18	year	•	-
19	east		-
20	west		-
21	north		-
22	south		-
23	water	•	-
24	river	◇	-
25	sea	◇	-
26	earth, soil	•	-
27	mud	◇	-
28	dust	◇	-
29	stone	•	-
30	sand	•	-
31	lime (for betel chew)		-
32	gold	◇	-
33	silver	◇	-
34	iron		-
35	mountain	•	-
36	cave	-	-
37	forest	◇	Plants, Food
38	tree	•	Plants, Food
39	branch	◇	Plants, Food
40	tree bark	◇	Plants, Food
41	thorn		Plants, Food
42	root	◇	Plants, Food
43	leaf	◇	Plants, Food
44	flower	•	Plants, Food
45	fruit	◇	Plants, Food
46	seed	•	Plants, Food
47	grass	◇	Plants, Food
48	bamboo		Plants, Food
49	bamboo shoot		Plants, Food
50	mushroom		Plants, Food
51	cane/rattan	-	Plants, Food
52	kapok		Plants, Food
53	sugarcane		Plants, Food
54	betelnut	◇	Plants, Food
55	opium		Plants, Food
56	liquor		Plants, Food
57	banana (fruit)	◇	Plants, Food
58	papaya (fruit)	◇	Plants, Food
59	mango (fruit)		Plants, Food
60	jackfruit (fruit)		Plants, Food
61	coconot (fruit)	◇	Plants, Food
62	eggplant (fruit)		Plants, Food
63	peanut		Plants, Food
64	ginger		Plants, Food
65	garlic		Plants, Food
66	corn	◇	Plants, Food
67	red pepper, chili	◇	Plants, Food
68	paddy rice	◇	Plants, Food
69	cooked rice	◇	Plants, Food
70	*rice husk	◇	Plants, Food
71	salt	◇	Plants, Food
72	animal	◇	Animals
73	tiger	◇	Animals
74	bear		Animals
75	deer	◇	Animals
76	monkey	◇	Animals
77	gibbon	-	Animals
78	rabbit	◇	Animals
79	porcupine		Animals
80	rat	◇	Animals
81	dog	•	Animals
82	to bark		Animals
83	to bite	•	Animals
84	cat		Animals
85	pig	◇	Animals
