NUMBER	LATIN	RUSSIAN	PALLAS_1786_441	GLOSS
1	deus	Богъ	1	god (noun)
2	coelum	Небо	180	sky (noun)
3	pater	Отецъ	2	father (noun)
4	mater	Мать	3	mother (noun)
5	filius	Сынъ	4	son (noun)
6	filia	Дочь	5	daughter (noun)
7	frater	Братъ	6	brother (noun)
8	soror	Сестра	7	sister (noun)
9	vir	Мужъ	8	husband (noun)
10	uxor	Жена	9	wife (noun)
11	virgo	Дѣва	10	girl (noun)
12	puer	Мальчикъ	11	boy (noun)
13	infans	Дитя	12	child (descendant, noun)
14	homo	Человѣкъ	13	person (noun)
15	homines	Люди	14	people (noun)
16	caput	Глава	15	head (noun)
17	facies	Лицо	16	face (noun)
18	nasus	Носъ	17	nose (noun)
19	nares	Ноздри	18	nostrils (noun)
20	oculus	Око	19	eye (noun)
21	supercilia	Брови	20	eyebrow (noun)
22	cilia	Ресницы	21	eyelash (noun)
23	auris	Ухо	22	ear (noun)
24	frons	Лобъ	23	front, forehead (noun)
25	crinis	Волосъ	24	hair (noun)
26	genae	Щеки	25	cheeks (noun)
27	os	Кость	49	bone (noun)
28	guttur	Горло	27	throat (noun)
29	dens	Зубъ	29	tooth (noun)
30	lingua	ѣзыкъ	30	tongue (noun)
31	barba	Брада	31	beard (noun)
32	collum	Шея	32	neck (noun)
33	humerus	Плечо	33	shoulder (noun)
34	cubitus	Локоть	34	ellbow (noun)
35	manus	Рука	*35	hand (noun)
36	digiti	Палцы	36	finger (noun)
37	ungues	Ногти	37	nail (noun)
38	venter	Брюхо	39	belly (noun)
39	dorsum	Спина	40	back, spine (noun)
40	pes	Нога	41	foot (noun)
41	genu	Колено	42	knee (noun)
42	cutis	Кожа	47	skin (noun)
43	caro	Мясо	48	meat (noun)
44	os	Кость	49	bone (noun)
45	sanguis	Кровь	45	blood (noun)
46	cor	Сердце	43	heart (noun)
47	lac	Молоко	46	milk (noun)
48	auditus	Слухъ	50	hearing (noun)
49	visus	Зрѣнïе	51	sight, seeing (noun)
50	gustus	Вкусъ	53	taste (noun)
51	odoratus	Обонянïе	54	smell, olfaction (noun)
52	tactus	Осязанïе	56	feeling, sense (noun)
53	vox	Голосъ	57	voice (noun)
54	nomen	Имя	61	name (noun)
55	clamor	Крикъ	63	shout, cry (noun)
56	strepitus	Шумъ	64	noise (noun)
57	ululatus	Вопль	65	howl (noun)
58	verbum	Слово	60	word (noun)
59	somnus	Сонъ	81	sleep (noun)
60	amor	Любовь	87	love (noun)
61	dolor	Боль	91	pain (noun)
62	labor	Труд	93	labor, work (noun)
63	opera	Работа	93	labor, work (noun)
64	vis	Сила	124	strength (noun)
65	potentia	Мочь	126	power (noun)
66	potestas	Власть	126	power (noun)
67	matrimonium	Бракъ	129	marriage (noun)
68	vita	Жизнь	133	life (noun)
69	statura	Рость	135	height (noun)
70	spiritus	Духъ	136	spirit (noun)
71	mors	Смерть	139	death (noun)
72	frigus	Стужа	197	cold (noun)
73	orbis	Круг	159	circle (noun)
74	globus	Шаръ	160	ball (noun)
75	sol	Солнце	177	sun (noun)
76	luna	Мѣсяцъ	178	moon (noun)
77	stella	Звѣзда	179	star (noun)
78	radius	Лучь	184	beam (noun)
79	ventus	Вѣтрь	186	wind (noun)
80	turbo	Вихрь	188	twister, tornado (noun)
81	procella	Буря	189	storm (noun)
82	pluvia	Дождь	191	rain (noun)
83	grando	Градъ	193	hail (noun)
84	fulgur	Молнiя	195	flash (noun)
85	nix	Снѣгъ	196	snow (noun)
86	glacïes	Лед	199	ice (noun)
87	dies	День	204	day (noun)
88	nox	Ночь	205	night (noun)
89	mane	Утро	206	morning (noun)
90	vesper	Вечеръ	207	evening (noun)
91	aestas	Лѣто	212	summer (noun)
92	ver	Весна	215	spring (noun)
93	autumnus	Осень	214	autumn (noun)
94	hiems	Зима	213	winter (noun)
95	annus	Гоъ	218	year (noun)
96	tempus	Время	219	time (noun)
97	terra	Земля	221	earth, soil (noun)
98	aqua	Вода	222	water (noun)
99	mare	Море	223	ocean (noun)
100	fluvius	Рѣка	224	river (noun)
101	unda	Волна	226	wave (noun)
102	arena	Песокъ	228	sand (noun)
103	argilla	Глина	229	clay (noun)
104	pulvis	Пыль	230	dust (noun)
