143	谷子	noun	millet (unhusked rice) (noun)	lù-zǐ	931	MILLET (noun)	2
144	小米	noun	millet (noun)	xiǎo-mǐ	931	MILLET (noun)	2
147	高粱	noun	sorghum (noun)	gāo-liáng	347	SORGHUM (noun)	2
148	玉米	noun	maize (noun)	yù-mǐ	506	MAIZE (noun)	2
150	向日葵	noun	sunflower (noun)	xiàng-rì-kuí	1956	SUNFLOWER (noun)	2
151	甘薯	noun	sweet potato (noun)	gān-shǔ	159	SWEET POTATO (noun)	2
152	馬鈴薯	noun	potato (noun)	mǎ-líng-shǔ	593	POTATO (noun)	2
154	卷心菜	noun	cabbage (noun)	juàn-xīn-cài	774	CABBAGE (noun)	2
155	南瓜	noun	pumpkin (noun)	nán-guā	864	PUMPKIN (noun)	2
157	黃瓜	noun	cucumber (noun)	huáng-guā	496	CUCUMBER (noun)	2
160	番茄	noun	tomato (noun)	bō-qié	986	TOMATO (noun)	2
165	水果	noun	fruit (noun)	shuǐ-guǒ	1507	FRUIT (noun)	2
166	桃兒	noun	peach (noun)	táo-ní	2043	PEACH (noun)	2
167	梨	noun	pear (noun)	lí	922	PEAR (noun)	2
171	葡萄	noun	grape (noun)	pú-táo	920	GRAPE (noun)	2
173	橄欖	noun	olive (noun)	gǎn-lǎn	1154	OLIVE (noun)	2
177	核桃	noun	walnut (noun)	hé-táo	2042	WALNUT (noun)	2
178	香蕉	noun	banana (noun)	xiāng-jiāo	868	BANANA (noun)	2
184	早飯	noun	breakfast (noun)	zǎo-fàn	1322	BREAKFAST (noun)	2
185	午飯	noun	lunch (noun)	wǔ-fàn	768	LUNCH (noun)	2
187	米飯	noun	cooked rice (noun)	mǐ-fàn	1191	COOKED RICE (noun)	2
200	湯	noun	soup (noun)	tāng	1547	SOUP (noun)	2
204	雞蛋	noun	egg (noun)	jī-dàn	744	EGG (noun)	2
210	醋	noun	vinegar (noun)	cù	985	VINEGAR (noun)	2
212	蜂蜜	noun	honey (noun)	péng-mì	942	HONEY (noun)	2
214	茶	noun	tea (noun)	chá	1373	TEA (noun)	2
218	紙煙	noun	cigarette (noun)	zhǐ-yān	969	CIGARETTE (noun)	2
219	衣服	noun	clothes (noun)	yī-fú	1895	CLOTHES (noun)	2
221	襯衫	noun	shirt (noun)	chèn-shān	1622	SHIRT (noun)	2
225	大衣	noun	coat (noun)	dà-yī	603	COAT (noun)	2
226	褲子	noun	trousers (noun)	kù-zǐ	809	TROUSERS (noun)	2
227	群子	noun	skirt (noun)	qún-zǐ	1600	SKIRT (noun)	2
229	帽子	noun	hat (noun)	mào-zǐ	771	HAT (noun)	2
235	手套	noun	glove (noun)	shǒu-tào	867	GLOVE (noun)	2
238	手帕	noun	handkerchief (noun)	shǒu-mò	1020	HANDKERCHIEF (noun)	2
240	領子	noun	collar (noun)	lǐng-zǐ	2012	COLLAR (noun)	2
243	房子	noun	!!! building, house (noun)	páng-zǐ	1252	HOUSE (noun)	2
244	屋子	noun	room (noun)	wū-zǐ	1450	ROOM (noun)	2
247	廚房	noun	kitchen (noun)	chú-páng	1365	KITCHEN (noun)	2
248	厠所	noun	toilet (noun)	cè-suǒ	219	TOILET (noun)	2
249	柱子	noun	column (noun)	zhǔ-zǐ	2045	COLUMN (noun)	2
250	房梁	noun	beam (in a house) (noun)	páng-liáng	1132	BEAM (noun)	2
251	墻	noun	wall (noun)	qiáng	933	WALL (noun)	2
252	窗子	noun	window (noun)	chuāng-zǐ	1375	WINDOW (noun)	2
257	樓梯	noun	stairs (noun)	lóu-tī	34	STAIRS (noun)	2
258	院子	noun	courtyard (noun)	huán-zǐ	4	COURTYARD (noun)	2
259	天井	noun	courtyard (noun)	tiān-jǐng	4	COURTYARD (noun)	2
260	井	noun	well (noun)	jǐng	954	WELL (noun)	2
262	桌子	noun	table (noun)	zhuō-zǐ	1775	TABLE (noun)	2
263	椅子	noun	chair (noun)	yī-zǐ	1476	CHAIR (noun)	2
264	凳子	noun	stool (noun)	dèng-zǐ	2058	STOOL (noun)	2
268	盒子	noun	box (noun)	hé-zǐ	1465	BOX (noun)	2
269	箱子	noun	case, box (noun)	xiāng-zǐ	!!! 1465	BOX (noun)	2
271	床	noun	bed (noun)	chuáng	1663	BED (noun)	2
272	被子	noun	quilt (noun)	bì-zǐ	2048	QUILT (noun)	2
275	枕頭	noun	pillow (noun)	chén-tóu	1044	PILLOW (noun)	2
276	席子	noun	mat (noun)	xí-zǐ	195	MAT (noun)	2
281	筷子	noun	chopsticks (noun)	kuài-zǐ	1987	CHOPSTICKS (noun)	2
282	調羹	noun	spoon (noun)	zhōu-gēng	1378	SPOON (noun)	2
287	瓶子	noun	bottle (noun)	píng-zǐ	1321	BOTTLE (noun)	2
288	木柴	noun	firewood (noun)	mù-chái	10	FIREWOOD (noun)	2
290	火爐	noun	stove (noun)	huǒ-lú	859	STOVE (noun)	2
292	漿糊	noun	glue (noun)	jiāng-hú	1069	GLUE (noun)	2
293	針	noun	needle (noun)	zhēn	1382	NEEDLE (FOR SEWING) (noun)	2
296	繩子	noun	rope (noun)	shéng-zǐ	1218	ROPE (noun)	2
297	鎖	noun	lock (noun)	suǒ	1596	LOCK (noun)	2
298	鑰匙	noun	key (noun)	yuè-chí	1472	KEY (noun)	2
299	扇子	noun	fan (noun)	shàn-zǐ	1971	FAN (OBJECT) (noun)	2
303	蠟燭	noun	candle (noun)	là-zhú	1273	CANDLE (noun)	2
304	火柴	noun	match (noun)	huǒ-chái	1133	MATCH (noun)	2
305	肥皂	noun	soap (noun)	féi-zào	788	SOAP (noun)	2
308	掃帚	noun	broom (noun)	sào-zhǒu	245	BROOM (noun)	2
310	簸箕	noun	dustpan (noun)	bò-jī	2051	DUSTPAN (noun)	2
313	秤	noun	scale (noun)	chèng	266	SCALE (noun)	2
315	尺	noun	foot (measure) (noun)	chǐ	1301	FOOT (noun)	2
316	剪子	noun	scissors (noun)	jiǎn-zǐ	1328	SCISSORS (noun)	2
317	錘子	noun	hammer (noun)	zhuì-zǐ	1481	HAMMER (noun)	2
318	斧頭	noun	axe (noun)	fǔ-tóu	677	AXE (noun)	2
321	鑿子	noun	chisel (noun)	záo-zǐ	1979	CHISEL (noun)	2
322	鋸子	noun	saw (tool) (noun)	jù-zǐ	1948	SAW (noun)	2
325	錐子	noun	awl (noun)	zhuī-zǐ	278	AWL (noun)	2
328	鉤子	noun	hook (noun)	gōu-zǐ	1071	HOOK (noun)	2
329	釘子	noun	nail (tool) (noun)	dìng-zǐ	502	NAIL (TOOL) (noun)	2
330	梯子	noun	stairs, ladder (noun)	tī-zǐ	1464	LADDER (noun)	2
331	鋤頭	noun	hoe (tool) (noun)	chú-tóu	284	HOE (noun)	2
332	鐮刀	noun	sickle (tool) (noun)	lián-dāo	341	SICKLE (noun)	2
335	輪子	noun	wheel (noun)	lún-zǐ	710	WHEEL (noun)	2
336	木頭	noun	wood (noun)	mù-tóu	1803	WOOD (noun)	2
337	竹子	noun	bamboo (noun)	zhú-zǐ	1927	BAMBOO (noun)	2
341	漆	noun	varnish, paint (noun)	qī	647	PAINT (PIGMENTS) (noun)	2
342	玻璃	noun	glass (noun)	bō-li	604	GLASS (noun)	2
343	錢	noun	money (noun)	jiǎn	1559	MONEY (noun)	2
344	商店	noun	store (noun)	shāng-diàn	752	STORE (noun)	2
347	郵票	noun	postage stamp (noun)	yóu-piāo	596	POSTAGE STAMP (noun)	2
351	自行車	noun	bicycle (noun)	zì-hàng-chē	747	BICYCLE (noun)	2
355	小船兒	noun	boat (small ship) (noun)	xiǎo-chuán-ní	1844	BOAT (noun)	2
356	街道	noun	street (noun)	jiā-dào	1362	STREET (noun)	2
359	橋	noun	bridge (noun)	qiáo	1011	BRIDGE (noun)	2
361	書	noun	book (noun)	shū	963	BOOK (noun)	2
363	紙	noun	paper (noun)	zhǐ	648	PAPER (noun)	2
367	信	noun	letter (noun)	xìn	1612	LETTER (noun)	2
375	故事	noun	history, story (noun)	gù-zì	2060	STORY (noun)	2
376	球	noun	ball (noun)	qiú	1845	BALL (noun)	2
381	頭	noun	head (noun)	tóu	1256	HEAD (noun)	2
382	頭髮	noun	hair (of head) (noun)	tóu-fà	1040	HAIR (noun)	2
383	前額	noun	forehead (noun)	qián-é	123	FOREHEAD (noun)	2
384	眼睛	noun	eye (noun)	yǎn-qǐng	1248	EYE (noun)	2
385	鼻子	noun	nose (noun)	bí-zǐ	1221	NOSE (noun)	2
386	耳朵	noun	ear (noun)	ěr-duǒ	1247	EAR (noun)	2
387	嘴	noun	mouth (noun)	zuǐ	674	MOUTH (noun)	2
388	舌頭	noun	tongue (noun)	huá-tóu	1205	TONGUE (noun)	2
389	脖子	noun	neck (noun)	bó-zǐ	1333	NECK (noun)	2
390	夾肢窩	noun	armpit (noun)	gā-zhi-wō	1886	ARMPIT (noun)	2
391	胳膊	noun	arm (noun)	gē-bó	1673	ARM (noun)	2
395	大姆指	noun	thumb (noun)	dà-mào-zhǐ	1781	THUMB (noun)	2
397	指甲	noun	fingernail (noun)	zhǐ-jia	1258	FINGERNAIL (noun)	2
398	屁股	noun	buttocks (noun)	pì-gǔ	834	BUTTOCKS (noun)	2
399	大腿	noun	thigh (upper leg) (noun)	dà-tuǐ	800	THIGH (noun)	2
400	膝蓋	noun	knee (noun)	xī-gě	1371	KNEE (noun)	2
401	男人	noun	man (noun)	nán-rén	1554	MAN (noun)	2
402	女人	noun	woman (noun)	nǜ-rén	962	WOMAN (noun)	2
403	老頭兒	noun	old man (noun)	lǎo-tóu-ní	406	OLD MAN (noun)	2
404	老太婆	noun	old woman (noun)	lǎo-tài-pó	907	OLD WOMAN (noun)	2
406	小孩兒	noun	child (noun)	xiǎo-hái-ní	1304	CHILD (YOUNG HUMAN) (noun)	2
407	男孩兒	noun	boy (noun)	nán-hái-ní	1366	BOY (noun)	2
408	女孩兒	noun	girl (noun)	nǜ-hái-ní	1646	GIRL (noun)	2
409	聾子	noun	deaf person (noun)	lóng-zǐ	458	DEAF PERSON (noun)	2
410	瞎子	noun	blind person (noun)	xiā-zǐ	457	BLIND PERSON (noun)	2
419	寡婦	noun	widow (noun)	guǎ-fù	1756	WIDOW (noun)	2
420	雙胞胎	noun	twins (noun)	shuāng-bāo-tāi	1005	TWINS (noun)	2
421	小偷	noun	thief (noun)	xiǎo-tōu	1160	THIEF (noun)	2
423	爺爺	noun	grandfather (noun)	yé-yé	1383	GRANDFATHER (noun)	2
424	奶奶	noun	grandmother (noun)	nǎi-nai	1496	GRANDMOTHER (noun)	2
425	爸爸	noun	father (daddy) (noun)	bà-bà	1217	FATHER (noun)	2
426	媽媽	noun	mother (mommy) (noun)	mǔ-mǔ	1216	MOTHER (noun)	2
427	後母	noun	stepmother (noun)	hòu-mǔ	236	STEPMOTHER (noun)	2
428	伯父	noun	uncle (father's elder brother) (noun)	bó-fù	1327	UNCLE (noun)	2
429	伯母	noun	aunt (wife of fatherss elder brother) (noun)	bó-mǔ	1272	AUNT (noun)	2
430	叔父	noun	uncle (noun)	shū-fǔ	1327	UNCLE (noun)	2
431	嬸母	noun	aunt (wife of father's younger brother) (noun)	shěn-mǔ	1272	AUNT (noun)	2
432	姑父	noun	uncle (husband of father's sister) (noun)	gū-fǔ	1327	UNCLE (noun)	2
433	姑母	noun	aunt (father's sister) (noun)	gū-mǔ	1272	AUNT (noun)	2
434	外公	noun	maternal grandfather (noun)	wài-gōng	2178	MATERNAL GRANDFATHER (noun)	2
435	外婆	noun	maternal grandmother (noun)	wài-pó	2177	MATERNAL GRANDMOTHER (noun)	2
436	舅父	noun	uncle (mother's brother) (noun)	jiù-fǔ	1327	UNCLE (noun)	2
437	舅母	noun	aunt (mother's sister) (noun)	jiù-mǔ	1272	AUNT (noun)	2
438	姨父	noun	uncle (husband of one's maternal aunt) (noun)	yí-fǔ	1327	UNCLE (noun)	2
439	姨母	noun	maternal aunt (noun)	yí-mǔ	2172	MATERNAL AUNT (WIFE OF MOTHER'S BROTHER) (noun)	2
440	丈人	noun	father-in-law (wife's father) (noun)	zhàng-rén	1055	FATHER-IN-LAW (noun)	2
441	丈母	noun	mother-in-law (wife's mother) (noun)	zhàng-mǔ	2257	MOTHER-IN-LAW (OF MAN) (noun)	2
442	公公	noun	father-in-law (husband's father) (noun)	gōng-gōng	1055	FATHER-IN-LAW (noun)	2
443	婆婆	noun	mother-in-law (husband's mother) (noun)	pó-pó	2257	MOTHER-IN-LAW (OF MAN) (noun)	2
444	丈夫	noun	husband (noun)	zhàng-fu	1200	HUSBAND (noun)	2
445	妻子	noun	wife (noun)	qì-zǐ	1199	WIFE (noun)	2
448	弟弟	noun	younger brother (noun)	dì-dì	1760	YOUNGER BROTHER (noun)	2
451	妹妹	noun	younger sister (noun)	mèi-mèi	1761	YOUNGER SISTER (noun)	2
457	兒子	noun	son (noun)	ní-zǐ	1620	SON (noun)	2
458	媳婦	noun	daughter-in-law (son's wife_ (noun)	xí-fù	2265	DAUGHTER-IN-LAW (OF MAN) (noun)	2
459	女兒	noun	daughter (noun)	nǜ-ní	1357	DAUGHTER (noun)	2
460	女婿	noun	son-in-law (noun)	nǜ-xù	1056	SON-IN-LAW (noun)	2
461	侄兒	noun	nephew (noun)	zhì-ní	1063	NEPHEW (noun)	2
462	侄女	noun	niece (noun)	zhì-nǜ	1642	NIECE (noun)	2
464	孫子	noun	grandson (noun)	sūn-zǐ	1618	GRANDSON (noun)	2
465	孫女	noun	granddaughter (noun)	sūn-nǜ	1619	GRANDDAUGHTER (noun)	2
469	裏面	noun	in, inside (noun)	lǐ-miàn	1460	IN	2
471	上面	noun	top, top side // top (noun)	shàng-miàn	1753	TOP (noun)	2
474	旁邊	noun	side (noun)	páng-biān	682	SIDE (noun)	2
478	東西	noun	thing (noun)	dōng-xī	738	THING (noun)	2
480	末子	noun	dust (noun)	mò-zǐ	2	DUST (noun)	2
481	泡沫	noun	foam (noun)	pào-mò	1768	FOAM (noun)	2
484	角落	noun	corner (noun)	lù-luò	192	CORNER (noun)	2
488	墳	noun	grave (noun)	fèn	1773	GRAVE (noun)	2
489	棺材	noun	coffin (noun)	guān-cái	2011	COFFIN (noun)	2
490	事情	noun	affair, matter (noun)	zì-qíng	2150	MATTER (noun)	2
491	刮風	verb	blow (of wind) (verb)	guā-fēng	175	BLOW (OF WIND) (verb)	2
492	下雨	verb	rain (verb)	xià-yù	1253	RAIN (RAINING) (verb)	2
495	結冰	verb	freeze (verb)	jié-níng	1431	FREEZE (verb)	2
499	掉(掉下來)	verb	fall (down) (verb)	diào (-diào-xià-lái-)	1280	FALL (verb)	2
500	看	verb	look, see (verb)	kàn	1409	SEE (verb)	2
501	眨眼	verb	blink (with the eyes) (verb)	zhǎ-yǎn	1655	BLINK (verb)	2
503	聽	verb	hear (verb)	tīng	1408	HEAR (verb)	2
504	聞	verb	smell (something) (verb)	wén	2124	SMELL (verb)	2
505	吃	verb	eat (verb)	chī/jì	1336	EAT (verb)	2
506	喝	verb	drink (verb)	hē	1401	DRINK (verb)	2
508	咬	verb	bite (verb)	yǎo	1403	BITE (verb)	2
510	嚼	verb	chew (verb)	jiáo	321	CHEW (verb)	2
511	舔	verb	lick (with tongue) (verb)	tiǎn	319	LICK (verb)	2
512	呑	verb	swallow (verb)	tūn	897	SWALLOW (verb)	2
514	噴	verb	splash (verb)	pèn	365	SPLASH (verb)	2
515	吹	verb	blow (verb)	chuì	175	BLOW (OF WIND) (verb)	2
516	嚐	verb	taste (verb)	cháng	21	TASTE (SOMETHING) (verb)	2
517	拿	verb	take, hold (verb)	ná	1448	HOLD (verb)	2
518	捏	verb	knead (verb)	niē	274	KNEAD (verb)	2
521	撈	verb	catch (fish) (verb)	láo	702	CATCH (verb)	2
523	摘	verb	pluck, pick (verb)	zhāi	2148	PICK (verb)	2
524	擦	verb	wipe, rub (verb)	cā	1449	RUB (verb)	2
526	提	verb	hold (in hand), lift (in hand) (verb)	tí	501	LIFT (verb)	2
527	舉	verb	raise (something with hand) (verb)	yú	2134	RAISE (A CHILD) (verb)	2
531	擡	verb	lift, carry (verb)	tái	700	CARRY (verb)	2
532	搬	verb	transfer, move (verb)	bān	765	MOVE (verb)	2
533	按	verb	press (verb)	àn	1913	PRESS (verb)	2
534	推	verb	push (verb)	chuī	1452	PUSH (verb)	2
536	撐	verb	stretch (verb)	chēng	214	STRETCH (verb)	2
537	拖	verb	pull (verb)	tuō/duò	1455	PULL (verb)	2
538	拉	verb	pull (verb)	lā	1455	PULL (verb)	2
542	抱	verb	embrace (verb)	bào	928	EMBRACE (verb)	2
543	開	verb	open (verb)	kāi	1156	OPEN (verb)	2
544	關	verb	close (verb)	guān	2063	CLOSE (EYES) (verb)	2
547	蓋	verb	hide, cover (verb)	gě	602	HIDE, CONCEAL (verb)	2
547	蓋	verb	hide, cover (verb)	gě	761	COVER (verb)	2
548	罩	verb	cover (verb)	zhào	761	COVER (verb)	2
549	套	verb	wrap, cover (verb)	tào	761	COVER (verb)	2
550	卷	verb	wrap, spin (verb)	juàn	121	SPIN (verb)	2
553	解	verb	loosen, untie (verb)	xiè	352	UNTIE (verb)	2
554	剝	verb	peel (verb)	bō	275	PEEL (verb)	2
555	折(折疊)	verb	fold (verb)	shé (-shé-dié-)	1470	FOLD (verb)	2
558	裝	verb	fill (verb)	zhuàng	2006	FILL (verb)	2
559	打	verb	beat (verb)	dǐng	1665	BEAT (verb)	2
566	埋	verb	bury (verb)	mái	1719	BURY (verb)	2
567	走	verb	walk, go (on foot), leave (verb)	zòu	1752	LEAVE (verb)	2
568	跑	verb	run (verb)	bó	1519	RUN (verb)	2
569	跳	verb	jump (verb)	tiáo	1829	JUMP (verb)	2
570	踩	verb	step (on something with the foot) (verb)	cǎi	2065	STEP (VERB) (verb)	2
572	站	verb	stand, stand up (verb)	zhàn	570	STAND UP (verb)	2
575	躺	verb	lie down, lie (sleep) (verb)	tǎng	601	LIE (MISLEAD) (verb)	2
581	跟	verb	follow (verb)	gēn	1085	FOLLOW (verb)	2
582	逃跑	verb	flee, run away (verb)	táo-bó	2142	RUN AWAY (verb)	2
584	戴	verb	wear (on head) (verb)	dài	976	WEAR (verb)	2
585	洗	verb	wash (verb)	xǐ	1453	WASH (verb)	2
