NUMBER	CHINESE	POS	GLOSS	PINYIN
128	尾巴	noun	tail (noun)	wěi-bā
129	鱗	noun	fish scales (noun)	lín
130	梅花	noun	plum blossom (noun)	méi-huā
131	杏花	noun	apricot blossom (noun)	xìng-huā
132	桃花	noun	peach blossom (noun)	táo-huā
133	荷花	noun	lotus (noun)	hé-huā
134	桂花	noun	cassia (noun)	guì-huā
135	艾	noun	mugwort (noun)	ài
136	棉花	noun	cotton (raw) (noun)	mián-huā
137	稻子	noun	rice plant (noun)	dào-zǐ
138	稻谷	noun	rice crops (noun)	dào-lù
139	大米	noun	rice (noun)	dà-mǐ
140	糯米	noun	polished glutinous rice (noun)	nuò-mǐ
141	麥子	noun	wheat (noun)	mài-zǐ
142	面粉	noun	flour (noun)	miàn-fěn
143	谷子	noun	millet (unhusked rice) (noun)	lù-zǐ
144	小米	noun	millet (noun)	xiǎo-mǐ
145	麩子	noun	bran (noun)	fū-zǐ
146	糠	noun	chaff (husks) (noun)	kāng
147	高粱	noun	sorghum (noun)	gāo-liáng
148	玉米	noun	maize (noun)	yù-mǐ
149	花生	noun	peanut (noun)	huā-shēng
150	向日葵	noun	sunflower (noun)	xiàng-rì-kuí
151	甘薯	noun	sweet potato (noun)	gān-shǔ
152	馬鈴薯	noun	potato (noun)	mǎ-líng-shǔ
153	蔬菜	noun	vegetable (noun)	shū-cài
154	卷心菜	noun	cabbage (noun)	juàn-xīn-cài
155	南瓜	noun	pumpkin (noun)	nán-guā
156	冬瓜	noun	wax gourd (white gourd) (noun)	dōng-guā
157	黃瓜	noun	cucumber (noun)	huáng-guā
158	蘿蔔	noun	radish (noun)	luó-bó
159	茄子	noun	eggplant (noun)	qié-zǐ
160	番茄	noun	tomato (noun)	bō-qié
161	韭菜	noun	tuber onion (noun)	jiǔ-cài
162	蔥	noun	scallions (green onions) (noun)	cōng
163	蒜	noun	garlic (noun)	suàn
164	辣椒	noun	chilli, red pepper (noun)	là-jiāo
165	水果	noun	fruit (noun)	shuǐ-guǒ
166	桃兒	noun	peach (noun)	táo-ní
167	梨	noun	pear (noun)	lí
168	桔子	noun	mandarine (noun)	jié-zǐ
169	柚子	noun	pomelo (noun)	yòu-zǐ
170	梅子	noun	mume (noun)	méi-zǐ
171	葡萄	noun	grape (noun)	pú-táo
172	櫻桃	noun	cherry (noun)	yīng-táo
173	橄欖	noun	olive (noun)	gǎn-lǎn
174	荸薺	noun	water chestnut (noun)	bí-qí
175	棗兒	noun	jujube (noun)	zǎo-ní
176	栗子	noun	chestnut (noun)	lì-zǐ
177	核桃	noun	walnut (noun)	hé-táo
178	香蕉	noun	banana (noun)	xiāng-jiāo
179	荔枝	noun	litchi (lychee) (noun)	lì-zhī
180	桂圓	noun	longan (noun)	guì-yuán
181	西瓜	noun	watermelon (noun)	xī-guā
182	核兒	noun	pit, stone (of fruit) (noun)	hé-ní
183	果皮	noun	peel, skin of fruit (noun)	guǒ-pí
184	早飯	noun	breakfast (noun)	zǎo-fàn
185	午飯	noun	lunch (noun)	wǔ-fàn
186	晚飯	noun	supper (noun)	wǎn-fàn
187	米飯	noun	cooked rice (noun)	mǐ-fàn
188	粥	noun	rice gruel (congee) (noun)	yù
189	米湯	noun	thin rice or millet gruel (noun)	mǐ-tāng
190	饅頭	noun	steamed bun (noun)	mán-tóu
191	包子	noun	steamed stuffed bun (noun)	bāo-zǐ
192	餃子	noun	dumpling (Jiaozi) (noun)	jiǎo-zi
193	餛飩	noun	dumpling (Wonton) (noun)	hún-tún
194	面條兒	noun	noodles (noun)	miàn-tiáo-ní
195	糕	noun	cakes, pastry (noun)	gāo
196	餡兒	noun	stuffing (in food) (noun)	xiàn-er
197	菜(菜肴)	noun	dish (food) (noun)	cài (-cài-yáo/xiáo-)
198	葷菜	noun	meat dishes (noun)	hūn/xūn-cài
199	素菜	noun	vegetable dishes (noun)	sù-cài
200	湯	noun	soup (noun)	tāng
201	豬肉	noun	pork (noun)	zhū-ròu
202	豬肝	noun	pork liver (noun)	zhū-gān
203	豬舌頭	noun	pork tongue (noun)	zhū-huá-tóu
204	雞蛋	noun	egg (noun)	jī-dàn
205	腐乳	noun	fermented bean curd (noun)	fǔ-rǔ
206	粉條兒	noun	thin noodles (Fentiao) (noun)	fěn-tiáo-ní
207	作料	noun	condiments, seasoning (noun)	zuò-liáo
208	豬油	noun	pork fat (noun)	zhū-yóu
209	醬油	noun	soy sauce (noun)	jiàng-yóu
210	醋	noun	vinegar (noun)	cù
211	糖	noun	sugar, sweets (noun)	táng
212	蜂蜜	noun	honey (noun)	péng-mì
213	酒	noun	alcoholic beverage (noun)	jiǔ
214	茶	noun	tea (noun)	chá
215	冰淇淋	noun	ice cream (noun)	níng-qí-lín
216	冰棍兒	noun	popsicle (noun)	níng-hùn-ní
217	開水	noun	boiled water (noun)	kāi-shuǐ
218	紙煙	noun	cigarette (noun)	zhǐ-yān
219	衣服	noun	clothes (noun)	yī-fú
220	上衣	noun	jacket (noun)	shàng-yī
221	襯衫	noun	shirt (noun)	chèn-shān
222	汗衫	noun	undershirt (noun)	hàn-shān
223	夾祅	noun	Jia'ao (costume) (noun)	jiā-yāo
224	毛衣	noun	woolen sweater (noun)	máo-yī
225	大衣	noun	coat (noun)	dà-yī
226	褲子	noun	trousers (noun)	kù-zǐ
227	群子	noun	skirt (noun)	qún-zǐ
228	短褲	noun	shorts (noun)	duǎn-kù
229	帽子	noun	hat (noun)	mào-zǐ
230	鞋	noun	shoes (noun)	xié
231	拖鞋	noun	slippers (noun)	tuō/duò-xié
232	木拖鞋	noun	wooden slippers (noun)	mù-tuō/duò-xié
233	靴子	noun	boots (noun)	xuē-zǐ
234	圍巾	noun	shawl (noun)	wéi-jīn
235	手套	noun	glove (noun)	shǒu-tào
236	襪子	noun	socks (noun)	wà-zǐ
237	毛巾	noun	towel, washcloth (noun)	máo-jīn
238	手帕	noun	handkerchief (noun)	shǒu-mò
239	圍嘴兒	noun	bib (noun)	wéi-zuǐ-ní
240	領子	noun	collar (noun)	lǐng-zǐ
241	袖子	noun	sleeve (noun)	xiù-zǐ
242	裏子	noun	lining (of clothes) (noun)	lǐ-zǐ
243	房子	noun	building // house (noun)	páng-zǐ
244	屋子	noun	room (noun)	wū-zǐ
245	正房	noun	middle room in the whole house (noun)	zhèng-páng
246	廂房	noun	wing-room (noun)	xiāng-páng
247	廚房	noun	kitchen (noun)	chú-páng
248	厠所	noun	toilet (noun)	cè-suǒ
249	柱子	noun	column (noun)	zhǔ-zǐ
250	房梁	noun	beam (in a house) (noun)	páng-liáng
251	墻	noun	wall (noun)	qiáng
252	窗子	noun	window (noun)	chuāng-zǐ
253	鬥檻兒	noun	bucket trap (noun)	dòu-xiàn-ní
254	曬臺	noun	flat roof (noun)	xì-tái
255	欄桿	noun	balustrade (noun)	lán-gǎn
256	臺階	noun	steps (of stairs) (noun)	tái-jiē
257	樓梯	noun	stairs (noun)	lóu-tī
258	院子	noun	courtyard (noun)	huán-zǐ
259	天井	noun	courtyard (noun)	tiān-jǐng
260	井	noun	well (noun)	jǐng
261	家俱	noun	furniture (noun)	jiā-jù
262	桌子	noun	table (noun)	zhuō-zǐ
263	椅子	noun	chair (noun)	yī-zǐ
264	凳子	noun	stool (noun)	dèng-zǐ
265	書桌	noun	desk (noun)	shū-zhuō
266	櫃子	noun	cupboard (noun)	guì-zǐ
267	抽屜	noun	drawer (noun)	chōu-tì
268	盒子	noun	box (noun)	hé-zǐ
269	箱子	noun	case, box (noun)	xiāng-zǐ
270	皮箱	noun	leather case (noun)	pí-xiāng
271	床	noun	bed (noun)	chuáng
272	被子	noun	quilt (noun)	bì-zǐ
273	褥子	noun	puff (noun)	nù-zǐ
274	毯子	noun	carpet (noun)	tǎn-zǐ
275	枕頭	noun	pillow (noun)	chén-tóu
276	席子	noun	mat (noun)	xí-zǐ
277	帳子	noun	bed-curtain (noun)	zhàng-zǐ
278	鍋	noun	cooking-pot (noun)	guō
279	鍋鏟	noun	pancake turner (noun)	guō-chàn
280	菜刀	noun	kitchen knife (noun)	cài-dāo
281	筷子	noun	chopsticks (noun)	kuài-zǐ
282	調羹	noun	spoon (noun)	zhōu-gēng
283	缸	noun	earthen jug (noun)	gāng
284	水瓢	noun	baler (noun)	shuǐ-piáo
285	壇子	noun	earthern jug (noun)	tán-zǐ
286	罐子	noun	pot, jug (noun)	guàn-zǐ
287	瓶子	noun	bottle (noun)	píng-zǐ
288	木柴	noun	firewood (noun)	mù-chái
289	木炭	noun	wood charcoal (noun)	mù-tàn
290	火爐	noun	stove (noun)	huǒ-lú
291	熱水瓶	noun	thermos bottle (noun)	rè-shuǐ-píng
292	漿糊	noun	glue (noun)	jiāng-hú
293	針	noun	needle (noun)	zhēn
294	頂針兒	noun	thimble (noun)	dǐng-zhēn-ní
295	綫	noun	thread, wire (noun)	xiàn
296	繩子	noun	rope (noun)	shéng-zǐ
297	鎖	noun	lock (noun)	suǒ
298	鑰匙	noun	key (noun)	yuè-chí
299	扇子	noun	fan (noun)	shàn-zǐ
300	傘	noun	umbrella (noun)	sǎn
301	拐杖	noun	walking staff (noun)	guǎi-zhàng
302	電筒	noun	flashlight (noun)	diàn-tǒng/tóng
303	蠟燭	noun	candle (noun)	là-zhú
304	火柴	noun	match (noun)	huǒ-chái
305	肥皂	noun	soap (noun)	féi-zào
306	牙刷	noun	toothbrush (noun)	yá-shuā
307	抹布	noun	dish towel (noun)	mò-bù
308	掃帚	noun	broom (noun)	sào-zhǒu
309	撣子	noun	duster (noun)	tán-zǐ
310	簸箕	noun	dustpan (noun)	bò-jī
311	痰盂	noun	spittoon (noun)	tán-yú
312	算盤	noun	abacus (noun)	suàn-pán
313	秤	noun	scale (noun)	chèng
314	戥子	noun	steelyard (for weighing gold, medicine) (noun)	děng-zǐ
315	尺	noun	foot (measure) (noun)	chǐ
316	剪子	noun	scissors (noun)	jiǎn-zǐ
317	錘子	noun	hammer (noun)	zhuì-zǐ
318	斧頭	noun	axe (noun)	fǔ-tóu
319	鉗子	noun	pincers (noun)	qián-zǐ
320	鑷子	noun	tweezers (noun)	niè-zǐ
321	鑿子	noun	chisel (noun)	záo-zǐ
322	鋸子	noun	saw (tool) (noun)	jù-zǐ
323	銼刀	noun	file (tool) (noun)	zú-dāo
324	鉆子	noun	drill (tool) (noun)	tiē-zǐ
325	錐子	noun	awl (noun)	zhuī-zǐ
326	鉋子	noun	plane (tool) (noun)	bào-zǐ
327	小刀兒	noun	small knife (noun)	xiǎo-dāo-ní
328	鉤子	noun	hook (noun)	gōu-zǐ
329	釘子	noun	nail (tool) (noun)	dìng-zǐ
330	梯子	noun	stairs, ladder (noun)	tī-zǐ
331	鋤頭	noun	hoe (tool) (noun)	chú-tóu
332	鐮刀	noun	sickle (tool) (noun)	lián-dāo
333	扁擔	noun	shoulder-pole (noun)	biàn-dān
334	篩子	noun	sieve (tool) (noun)	shī-zǐ
335	輪子	noun	wheel (noun)	lún-zǐ
336	木頭	noun	wood (noun)	mù-tóu
337	竹子	noun	bamboo (noun)	zhú-zǐ
338	石灰	noun	limestone (noun)	shí-huī
339	水泥	noun	cement (noun)	shuǐ-nì
340	橡膠	noun	rubber (noun)	xiàng-xiáo
341	漆	noun	varnish, paint (noun)	qī
342	玻璃	noun	glass (noun)	bō-li
343	錢	noun	money (noun)	jiǎn
344	商店	noun	store (noun)	shāng-diàn
345	飯館	noun	restaurant (noun)	fàn-guàn
346	郵局	noun	post office (noun)	yóu-jú
347	郵票	noun	postage stamp (noun)	yóu-piāo
348	車站	noun	stop, station (noun)	chē-zhàn
349	碼頭	noun	pier, quay (noun)	mǎ-tóu
350	汽車	noun	automobile (noun)	qì-chē
351	自行車	noun	bicycle (noun)	zì-hàng-chē
352	人力車	noun	rickshaw (noun)	rén-lì-chē
353	輪船	noun	steamship (noun)	lún-chuán
354	汽船	noun	steamship (noun)	qì-chuán
355	小船兒	noun	boat (small ship) (noun)	xiǎo-chuán-ní
356	街道	noun	street (noun)	jiā-dào
357	人行道	noun	sidewalk (pavement) (noun)	rén-hàng-dào
358	巷	noun	alley, lane (noun)	xiàng
359	橋	noun	bridge (noun)	qiáo
360	學校	noun	school (educational institution) (noun)	xué-jiào
361	書	noun	book (noun)	shū
362	本子	noun	notebook, booklet (noun)	tāo-zǐ
363	紙	noun	paper (noun)	zhǐ
364	硯臺	noun	inkstone (noun)	yàn-tái
365	毛筆	noun	writing brush (noun)	máo-bǐ
366	鋼筆	noun	fountain pen (noun)	gāng-bǐ
367	信	noun	letter (noun)	xìn
368	信封兒	noun	envelope (noun)	xìn-fēng-ní
369	信紙	noun	letter paper (noun)	xìn-zhǐ
370	橡皮圈兒	noun	rubber seal (noun)	xiàng-pí-juàn-ní
371	圖章	noun	seal, stamp (noun)	tú-zhāng
372	徽章	noun	badge, emblem (noun)	huī-zhāng
373	相片	noun	foto (picture) (noun)	xiāng-piàn
374	電影	noun	film (movie) (noun)	diàn-yǐng
375	故事	noun	history, story (noun)	gù-zì
376	球	noun	ball (noun)	qiú
377	秋千	noun	swing (noun)	qiū-qiān
378	風箏	noun	kite (noun)	fēng-zhēng
379	炮仗	noun	firecracker (noun)	bāo-zhàng
380	哨子	noun	whistle (noun)	qiào-zǐ
381	頭	noun	head (noun)	tóu
382	頭髮	noun	hair (of head) (noun)	tóu-fà
383	前額	noun	forehead (noun)	qián-é
384	眼睛	noun	eye (noun)	yǎn-qǐng
385	鼻子	noun	nose (noun)	bí-zǐ
386	耳朵	noun	ear (noun)	ěr-duǒ
387	嘴	noun	mouth (noun)	zuǐ
388	舌頭	noun	tongue (noun)	huá-tóu
389	脖子	noun	neck (noun)	bó-zǐ
390	夾肢窩	noun	armpit (noun)	gā-zhi-wō
391	胳膊	noun	arm (noun)	gē-bó
392	左手	noun	left hand, left side (noun)	zuò-shǒu
393	右手	noun	right hand, right side (noun)	yòu-shǒu
394	手指頭	noun	fingertip (noun)	shǒu-zhǐ-tóu
395	大姆指	noun	thumb (noun)	dà-mào-zhǐ
396	小姆指	noun	little finger (noun)	xiǎo-mào-zhǐ
397	指甲	noun	fingernail (noun)	zhǐ-jia
398	屁股	noun	buttocks (noun)	pì-gǔ
399	大腿	noun	thigh (upper leg) (noun)	dà-tuǐ
400	膝蓋	noun	knee (noun)	xī-gě
401	男人	noun	man (noun)	nán-rén
402	女人	noun	woman (noun)	nǜ-rén
403	老頭兒	noun	old man (noun)	lǎo-tóu-ní
404	老太婆	noun	old woman (noun)	lǎo-tài-pó
405	小夥子	noun	young fellow (noun)	xiǎo-huǒ/huò-zǐ
406	小孩兒	noun	child (noun)	xiǎo-hái-ní
407	男孩兒	noun	boy (noun)	nán-hái-ní
408	女孩兒	noun	girl (noun)	nǜ-hái-ní
409	聾子	noun	deaf person (noun)	lóng-zǐ
410	瞎子	noun	blind person (noun)	xiā-zǐ
411	啞吧	noun	mute person (noun)	yà-bā
412	結巴	noun	stammerer (noun)	jié-bā
413	麻子	noun	person with a pockmarked face (noun)	má-zǐ
414	禿子	noun	baldhead (noun)	tū-zǐ
415	駝子	noun	person with a humpback (noun)	tuó-zǐ
416	跛子	noun	lame person (noun)	bǒ-zǐ
417	瘋子	noun	mad person (noun)	fēng-zǐ
418	單身漢	noun	bachelor (noun)	chán-shēn-hàn
419	寡婦	noun	widow (noun)	guǎ-fù
420	雙胞胎	noun	twins (noun)	shuāng-bāo-tāi
421	小偷	noun	thief (noun)	xiǎo-tōu
422	強盜	noun	robber (noun)	qiáng-dào
423	爺爺	noun	grandfather (noun)	yé-yé
424	奶奶	noun	grandmother (noun)	nǎi-nai
425	爸爸	noun	father (daddy) (noun)	bà-bà
426	媽媽	noun	mother (mommy) (noun)	mǔ-mǔ
427	後母	noun	stepmother (noun)	hòu-mǔ
428	伯父	noun	uncle (father's elder brother) (noun)	bó-fù
429	伯母	noun	aunt (wife of fatherss elder brother) (noun)	bó-mǔ
430	叔父	noun	uncle (noun)	shū-fǔ
431	嬸母	noun	aunt (wife of father's younger brother) (noun)	shěn-mǔ
432	姑父	noun	uncle (husband of father's sister) (noun)	gū-fǔ
433	姑母	noun	aunt (father's sister) (noun)	gū-mǔ
434	外公	noun	maternal grandfather (noun)	wài-gōng
435	外婆	noun	maternal grandmother (noun)	wài-pó
436	舅父	noun	uncle (mother's brother) (noun)	jiù-fǔ
437	舅母	noun	aunt (mother's sister) (noun)	jiù-mǔ
438	姨父	noun	uncle (husband of one's maternal aunt) (noun)	yí-fǔ
439	姨母	noun	maternal aunt (noun)	yí-mǔ
440	丈人	noun	father-in-law (wife's father) (noun)	zhàng-rén
441	丈母	noun	mother-in-law (wife's mother) (noun)	zhàng-mǔ
442	公公	noun	father-in-law (husband's father) (noun)	gōng-gōng
443	婆婆	noun	mother-in-law (husband's mother) (noun)	pó-pó
444	丈夫	noun	husband (noun)	zhàng-fu
445	妻子	noun	wife (noun)	qì-zǐ
446	哥哥	noun	elder brother (noun)	gē-gē
447	嫂子	noun	sister-in-law (elder brother's wife) (noun)	sǎo-zǐ
448	弟弟	noun	younger brother (noun)	dì-dì
449	姐姐	noun	elder sister (noun)	jiě-jiě
450	姐夫	noun	brother-in-law (elder sister's husband) (noun)	jiě-fū
451	妹妹	noun	younger sister (noun)	mèi-mèi
452	妹夫	noun	brother-in-law (younger sister's husband) (noun)	mèi-fū
453	大伯子	noun	brother-in-law (husband's elder brother) (noun)	dà-bǎi-zi
454	小叔子	noun	brother-in-law (husband's younger brother) (noun)	xiǎo-shū-zǐ
455	大姑子	noun	brother-in-law (husband's elder brother) (noun)	dà-gū-zǐ
456	小姑子	noun	sister-in-law (noun)	xiǎo-gū-zǐ
457	兒子	noun	son (noun)	ní-zǐ
458	媳婦	noun	daughter-in-law (son's wife_ (noun)	xí-fù
459	女兒	noun	daughter (noun)	nǜ-ní
460	女婿	noun	son-in-law (noun)	nǜ-xù
461	侄兒	noun	nephew (noun)	zhì-ní
462	侄女	noun	niece (noun)	zhì-nǜ
463	外甥	noun	nephew (sister's son) (noun)	wài-shēng
464	孫子	noun	grandson (noun)	sūn-zǐ
465	孫女	noun	granddaughter (noun)	sūn-nǜ
466	外孫	noun	grandson (daughter's son) (noun)	wài-sūn
467	前面	noun	front, front side (noun)	qián-miàn
468	後面	noun	back, back side (noun)	hòu-miàn
469	裏面	noun	in, inside (noun)	lǐ-miàn
470	外面	noun	out, outside (noun)	wài-miàn
471	上面	noun	top, top side // top (noun)	shàng-miàn
472	下面	noun	under, below (noun)	xià-miàn
473	中間	noun	centre, in the middle of (noun)	zhòng-jiàn
474	旁邊	noun	side (noun)	páng-biān
475	隔壁	noun	next to (noun)	gé-bì
476	城裏	noun	downtown (inside the city) (noun)	chéng-lǐ
477	鄉下	noun	countryside (noun)	xiāng-xià
478	東西	noun	thing (noun)	dōng-xī
479	粉	noun	powder (noun)	fěn
480	末子	noun	dust (noun)	mò-zǐ
481	泡沫	noun	foam (noun)	pào-mò
482	口水	noun	saliva, spit (noun)	kǒu-shuǐ
483	垃圾	noun	garbage, trash (noun)	lā-jī
484	角落	noun	corner (noun)	lù-luò
485	窟窿	noun	hole, cavity (noun)	kū-lóng
486	豬圈	noun	pigsty (noun)	zhū-juàn
487	雞窩	noun	chicken nest (noun)	jī-wō
488	墳	noun	grave (noun)	fèn
489	棺材	noun	coffin (noun)	guān-cái
490	事情	noun	affair, matter (noun)	zì-qíng
491	刮風	verb	blow (of wind) (verb)	guā-fēng
492	下雨	verb	rain (verb)	xià-yù
493	打閃	verb	flash (lightning) (verb)	dǐng-shàn
494	打雷	verb	thunder (verb)	dǐng-léi
495	結冰	verb	freeze (verb)	jié-níng
