NUMBER	CHINESE	POS	GLOSS	PINYIN
536	撐	verb	stretch (verb)	chēng
537	拖	verb	pull (verb)	tuō/duò
538	拉	verb	pull (verb)	lā
539	拔	verb	pull out (verb)	bá
540	扶	verb	support (verb)	fú
541	摟	verb	hug (verb)	lóu
542	抱	verb	embrace (verb)	bào
543	開	verb	open (verb)	kāi
544	關	verb	close (verb)	guān
545	封	verb	close, lock (verb)	fēng
546	塞	verb	clog (verb)	sāi
547	蓋	verb	hide, cover (verb)	gě
548	罩	verb	cover (verb)	zhào
549	套	verb	wrap, cover (verb)	tào
550	卷	verb	wrap, spin (verb)	juàn
551	包	verb	wrap, bundle (verb)	bāo
552	系	verb	tie, bind (verb)	xì
553	解	verb	loosen, untie (verb)	xiè
554	剝	verb	peel (verb)	bō
555	折(折疊)	verb	fold (verb)	shé (-shé-dié-)
556	疊(堆疊)	verb	accumulate (verb)	dié (-duī-dié-)
557	鋪	verb	spread (verb)	fū
558	裝	verb	fill (verb)	zhuàng
559	打	verb	beat (verb)	dǐng
560	捅	verb	jab (verb)	tǒng
561	碰	verb	collide, bump into (verb)	pèng
562	撕	verb	rip, tear (verb)	xī
563	彈	verb	strengh (verb)	tán
564	扔	verb	throw, throw away (verb)	rèng
565	塡	verb	fill in, fill up (verb)	tián
566	埋	verb	bury (verb)	mái
567	走	verb	walk, go (on foot), leave (verb)	zòu
568	跑	verb	run (verb)	bó
569	跳	verb	jump (verb)	tiáo
570	踩	verb	step (on something with the foot) (verb)	cǎi
571	跨	verb	stride (verb)	kuā
572	站	verb	stand, stand up (verb)	zhàn
573	蹲	verb	bend down (verb)	dūn/cún
574	靠	verb	lean on, depend on (verb)	kào
575	躺	verb	lie down, lie (sleep) (verb)	tǎng
576	摔	verb	fall to the ground (verb)	shuāi
577	擠	verb	squeeze, push against (verb)	jǐ
578	躱	verb	hide (verb)	duǒ
579	挑	verb	carry (on shoulder or back) (verb)	tāo
580	措	verb	collect (verb)	cuò/cù
581	跟	verb	follow (verb)	gēn
582	逃跑	verb	flee, run away (verb)	táo-bó
583	脫	verb	take off (clothes) (verb)	duó
584	戴	verb	wear (on head) (verb)	dài
585	洗	verb	wash (verb)	xǐ
586	刷	verb	brush (verb)	shuā
587	涮	verb	boil out (verb)	shuàn
588	漱口	verb	gargle (verb)	shù-kǒu
589	冼澡	verb	wash (onself) (verb)	xiǎn-zǎo
590	曬	verb	take a sunbath (verb)	xì
591	晾	verb	dry in the sun (verb)	liàng
592	熨	verb	iron (verb)	yù
593	染	verb	dye (hair) (verb)	ràn
594	剪	verb	cut (verb)	jiǎn
595	裁	verb	cut (verb)	cái
596	切	verb	cut (in two parts) (verb)	qiē,
597	割	verb	cut off (verb)	gē
598	刴	verb	hack (to pieces) (verb)	duò
599	殺	verb	kill (verb)	shài
600	宰	verb	to slaughter (verb)	zǎi
601	潑	verb	pour, splash (verb)	pō
602	澆	verb	water, sprinkle (verb)	ào
603	掃	verb	sweep (verb)	sào
604	點	verb	point to, nod (verb)	diǎn
605	收拾	verb	gather, collect (verb)	shōu-shí
606	撹和	verb	mix, blend (verb)	jiǎo-hé
607	拌	verb	mix (verb)	bàn
608	選擇	verb	select (verb)	suǎn-zé
609	藏(收存)	verb	safe (money), collect (money) (verb)	zàng (-shōu-cún-)
610	說	verb	speak (verb)	yuè
611	閑淡	verb	talk, make smalltalk (verb)	xián-yǎn
612	問	verb	ask (verb)	wèn
613	理	verb	manage (verb)	lǐ
614	叫	verb	call (verb)	jiào
615	喊	verb	shout, cry (verb)	hǎn
616	笑	verb	smile (verb)	xiào
617	哭	verb	weep, cry (verb)	kū
618	駡	verb	shout, scold (verb)	mà
619	開玩笑	verb	make a joke (verb)	kāi-wán/wàn-xiào
620	發脾氣	verb	get angry (verb)	fā-pí-qì
621	吵架	verb	argue, quarell (verb)	chǎo-jià
622	打架	verb	fight (verb)	dǐng-jià
623	勸	verb	recommend (verb)	quàn
624	吹牛	verb	boast (verb)	chuì-niú
625	拍馬	verb	flatter (verb)	pāi-mǎ
626	發誓	verb	swear, vow (verb)	fā-shì
627	陪	verb	accompany (verb)	péi
628	做事兒	verb	do something (verb)	zuò-zì-ní
629	幹活兒	verb	work (verb)	gàn-guō-ní
630	種地	verb	cultivate (verb)	zhòng-dì
631	開車	verb	drive a car (verb)	kāi-chē
632	買布	verb	buy cloth (verb)	mǎi-bù
633	買油	verb	buy oil (verb)	mǎi-yóu
634	買藥(買中藥)	verb	buy Chinese medicine (verb)	mǎi-yào (-mǎi-zhòng-yào-)
635	活	verb	live (verb)	guō
636	死	verb	die (verb)	sǐ
637	結婚(指男方)	verb	marry (of a man) (verb)	jié-hūn (-zhǐ-nán-fāng-)
638	結婚(指女方)	verb	marry (of a woman) (verb)	jié-hūn (-zhǐ-nǜ-fāng-)
639	生(生育)	verb	give birth (verb)	shēng (-shēng-yù-)
640	上課	verb	start class, go to class (verb)	shàng-kē
641	下課	verb	finish class (verb)	xià-kē
642	敎	verb	teach (verb)	jiào
643	學	verb	learn (verb)	xué
644	玩兒	verb	play (verb)	wán/wàn-ní
645	遊泳	verb	swim (verb)	yóu-yǒng
646	照相	verb	take a picture (verb)	zhào-xiāng
647	贏	verb	win (verb)	yíng
648	輸	verb	transport, carry (verb)	shū
649	休息	verb	rest (verb)	xiū-xī
650	睡覺	verb	sleep (verb)	shuì-jiào
651	打呵欠	verb	yawn (verb)	dǐng-hē-qiàn
652	打瞌睡	verb	doze off (verb)	dǎ-kē-shuì
653	打冷噤	verb	shiver (verb)	dǐng-líng-jìn
654	哆嗦	verb	tremble (verb)	duō-suo
655	噴嚏	verb	sneeze (verb)	pèn-tì
656	抓癢	verb	scratch (to relieve itch) (verb)	zhāo-yǎng
657	撒(撒尿)	verb	pee, piss (verb)	sā (sā-niào)
658	拉(拉屎)	verb	defecate, shit (verb)	lā (-lā-shǐ-)
659	生病	verb	fall ill (verb)	shēng-bìng
660	著涼	verb	catch a cold (verb)	zhuó-liáng
661	咳嗽	verb	cough (verb)	hái-sù
662	頭暈	verb	get dizzy (verb)	tóu-yùn
663	發燒	verb	have a fever (verb)	fā-shāo
664	瀉肚	verb	have diarrhoea (verb)	xiè-dǔ
665	生瘧疾	verb	get malaria (verb)	shēng-nǜe-jí
666	喜歡	verb	like (verb)	xì-huān
667	討厭	verb	dislike (verb)	tǎo-yā
668	怪	verb	make responsible for (verb)	guài
669	恨	verb	hate (verb)	hèn
670	後悔	verb	regret (verb)	hòu-huì
671	怕	verb	fear (verb)	bó
672	知道	verb	know (verb)	zhī-dào
673	想	verb	think (verb)	xiǎng
674	打算	verb	plan, intend (verb)	dǐng-suàn
675	相信	verb	believe, trust (verb)	xiāng-xìn
676	懷疑	verb	doubt (verb)	huái-yí
677	小心	verb	take care (verb)	xiǎo-xīn
678	想念	verb	miss, long for (verb)	xiǎng-niàn
679	忘記	verb	forget (verb)	wáng-jì
680	要	verb	want (verb)	yāo
681	不要	verb	refrain from, do not want (verb)	fǒu-yāo
682	應該	verb	must (verb)	yīng-gāi
683	値得	verb	be necessary (verb)	zhí-děi
684	是	verb	be (verb)	shì
685	不是	verb	be not (verb)	fǒu-shì
686	沒有(無)	verb	lack, have not (verb)	mò-yǒu (-mó-)
687	接吻	verb	kiss (verb)	jiē--
688	上墳	verb	visit a grave (verb)	shàng-fèn
689	遺失	verb	loose (verb)	wèi-shī
690	浪費	verb	waste (verb)	láng-fèi
691	大	adjective	big (adjective)	dà
692	小	adjective	small (adjective)	xiǎo
693	高	adjective	high (adjective)	gāo
694	低	adjective	low (adjective)	dī
695	矮	adjective	short (adjective)	ǎi
696	長	adjective	long (adjective)	cháng
697	短	adjective	short (adjective)	duǎn
698	粗	adjective	rough (adjective)	cū
699	細	adjective	fine (adjective)	xì
700	寬	adjective	broad (adjective)	kuān
701	窄	adjective	narrow (adjective)	zhǎi
702	厚	adjective	thick (adjective)	hòu
703	薄	adjective	thin (adjective)	báo
704	深	adjective	deep (adjective)	shēn
705	淺	adjective	shallow (adjective)	jiān
706	空	adjective	empty (adjective)	kòng
707	滿	adjective	full (adjective)	mǎn
708	方	adjective	angular, having the form of a square (adjective)	fāng
709	圓	adjective	circular, round (adjective)	yuán
710	平	adjective	flat (adjective)	píng
711	正	adjective	right (adjective)	zhèng
712	反	adjective	reverse, opposite (adjective)	fǎn
713	歪	adjective	slanted (adjective)	wāi/huā
714	橫	adjective	horizontal (adjective)	héng
715	竪	adjective	vertical (adjective)	shù
716	直	adjective	straight, erect (adjective)	zhí
717	斜	adjective	slanting, inclined (adjective)	xié
718	陡	adjective	steep (adjective)	dǒu
719	彎	adjective	bend (adjective)	wān
720	亮	adjective	bright (adjective)	liàng
721	暗	adjective	dark (adjective)	àn
722	黑	adjective	black (adjective)	hēi
723	輕	adjective	light (of weight) (adjective)	qīng
724	重	adjective	heavy (adjective)	zhòng
725	幹	adjective	dry (adjective)	gàn
726	濕	adjective	wet (adjective)	shī
727	稠	adjective	stiff (of eggs) (adjective)	chóu
728	釅	adjective	thick or strong (of tea) (adjective)	yàn
729	稀	adjective	rare, scarce (adjective)	xī
730	硬	adjective	hard, firm (adjective)	yìng
731	軟	adjective	soft, flexible (adjective)	ruǎn
732	老(不嫩)	adjective	old (adjective)	lǎo (-fǒu-nèn-)
733	嫩	adjective	young (adjective)	nèn
734	脆	adjective	fragile (adjective)	cuì
735	結實	adjective	robust (adjective)	jié-shí
736	生(不熟)	adjective	unripe (adjective)	shēng (-fǒu-shóu-)
737	整齊	adjective	tidy, neat (adjective)	zhěng-jì
738	亂	adjective	untidy, chaotic (adjective)	luàn
739	破	adjective	broken (adjective)	pò
740	幹淨	adjective	clean (adjective)	gàn-jìng
741	骯髒	adjective	dirty (adjective)	hàng-zǎng
742	熱鬧	adjective	crowdy (adjective)	rè-nào
743	淸楚	adjective	transparent, clear (adjective)	qīng-chǔ
744	模糊	adjective	blurred, intransparent (adjective)	mú-hú
745	渾	adjective	muddy (adjective)	hùn
746	快(鋒利)	adjective	sharp (knife) (adjective)	kuài (-fēng-lì-)
747	快(迅速)	adjective	quick, fast (adjective)	kuài (-xìn-sù-)
748	早	adjective	early (adjective)	zǎo
749	晚	adjective	late (adjective)	wǎn
750	好	adjective	good (adjective)	hào
751	壞	adjective	bad (adjective)	guài
752	差	adjective	different, wrong (adjective)	cī
753	難	adjective	difficult (adjective)	nán
754	容易	adjective	easy (adjective)	róng/yóng-yì
755	貴	adjective	expensive (adjective)	guì
756	便宜	adjective	cheap (adjective)	biàn-yí
757	熱	adjective	hot (adjective)	rè
758	冷	adjective	cold (adjective)	líng
759	燙	adjective	hot (food), sharp (food) (adjective)	tàng
760	曖和	adjective	warm (adjective)	ài-hè
761	溫	adjective	lukewarm (adjective)	wēn
762	涼	adjective	cold, cool (adjective)	liáng
763	香	adjective	fragrant (adjective)	xiāng
764	臭	adjective	stinking (adjective)	chòu
765	餿	adjective	rotten, sour (adjective)	sōu
766	鹹	adjective	salty (adjective)	xián
767	淡	adjective	tasteless (adjective)	yǎn
768	餓	adjective	hungry (adjective)	è
769	渴	adjective	thirsty (adjective)	kě
770	累	adjective	tired (adjective)	lèi
771	癢	adjective	itchy (adjective)	yǎng
772	舒服	adjective	comfortable (adjective)	shū-fú
773	忙	adjective	busy (adjective)	máng
774	閑	adjective	idle (adjective)	xián
775	胖	adjective	fat, obese (adjective)	pàn
776	肥	adjective	fat, oily (adjective)	féi
777	瘦	adjective	thin (adjective)	shòu
778	老(不年輕)	adjective	old, aged (adjective)	lǎo (-fǒu-nián-qīng-)
779	年輕	adjective	young (adjective)	nián-qīng
780	好看、漂亮	adjective	goodlooking, beautiful (adjective)	hào-kàn-、-piāo-liàng
781	難看、醜	adjective	ugly (adjective)	nán-kàn-、-chǒu
782	強壯	adjective	strong (adjective)	qiáng-zhuàng
783	傻	adjective	stupid (adjective)	shuà
784	老實	adjective	honest (adjective)	lǎo-shí
785	狡猾	adjective	cunning (adjective)	jiǎo-huá
786	直爽	adjective	honest, frank (adjective)	zhí-shuǎng
787	大方	adjective	generous (adjective)	dà-fāng
788	小氣	adjective	cheap, stingy (adjective)	xiǎo-qì
789	驕傲	adjective	proud (adjective)	jiāo-ào
790	謙虛	adjective	modest (adjective)	qiān-xū
791	乖	adjective	well-behaved (adjective)	guāi
792	頑皮	adjective	naughty (adjective)	wán-pí
793	勤快	adjective	diligent (adjective)	qín-kuài
794	懶	adjective	lazy (adjective)	lǎn
795	能幹	adjective	capable (adjective)	nái-gàn
796	內行	adjective	competent (adjective)	nèi-hàng
797	外行	adjective	incompetent (adjective)	wài-hàng
798	髙興	adjective	happy (adjective)	gāo-xīng
799	合意	adjective	suitable, pleasing (adjective)	hé-yì
800	煩惱	adjective	annoying (adjective)	fán-nǎo
801	可憐	adjective	pityful (adjective)	kě-lián
802	倒黴	adjective	having bad luck (adjective)	dào-méi
803	奇怪	adjective	strange (adjective)	jī-guài
804	害怕	adjective	scary (adjective)	hài-bó
805	害羞	adjective	shy (adjective)	hài-xiū
806	我	pronoun	I (first person singular) (pronoun)	wǒ
807	你	pronoun	you (second person singular) (pronoun)	nǐ
808	他	pronoun	he, she, it (third person singular) (pronoun)	tā/tuō
809	我們	pronoun	we (first person plural) (pronoun)	wǒ-men
810	咱們	pronoun	we (first person plural inclusive) (pronoun)	zá-men
811	你們	pronoun	you (second person plural) (pronoun)	nǐ-men
812	他們	pronoun	they (third person plural) (pronoun)	tā-men
813	大家	pronoun	all, everybody (pronoun)	dà-jiā
814	自己	pronoun	self, oneself (pronoun)	zì-jǐ
815	人家	pronoun	they, the others (third person plural) (pronoun)	rén-jiā
816	我的	pronoun	my (first person singular) (pronoun)	wǒ-dì
817	你的	pronoun	your (second person singular) (pronoun)	nǐ-dì
818	他的	pronoun	his, her, its (third person singular) (pronoun)	tā/tuō-dì
819	別的	pronoun	others, of the others (pronoun)	bié-dì
820	這個	pronoun	this (pronoun)	yàn-gè
821	那個	pronoun	that (pronoun)	nuó-gè
822	這些	pronoun	these (pronoun)	yàn-suò
823	那些	pronoun	those (pronoun)	nuó-suò
824	這兒	pronoun	here (pronoun)	yàn-ní
825	那兒	pronoun	there (pronoun)	nuó-ní
826	這邊	pronoun	this side, here (pronoun)	yàn-biān
827	那邊	pronoun	that side, there (pronoun)	nuó-biān
828	這麽	pronoun	this way (pronoun)	yàn-mǒ
829	那麽	pronoun	that way (pronoun)	nuó-mǒ
830	誰	pronoun	who (pronoun)	shuí
831	什麽	pronoun	what (pronoun)	shí-mǒ
832	哪個	pronoun	which (pronoun)	nǎ-ge
833	哪兒	pronoun	where (pronoun)	nǎ-er
834	哪邊	pronoun	which place, where (pronoun)	nǎ-biān
835	怎麽	pronoun	how (pronoun)	zěn-me
836	多麽	pronoun	how much, to which degree (pronoun)	duō-mǒ
837	多少	pronoun	how much (pronoun)	duō-shào
838	多久	pronoun	how long (pronoun)	duō-jiǔ
839	一個人	classifier	piece (classifier for persons) (classifier)	yī-gè-rén
840	一頭牛	classifier	head (classifier for cows) (classifier)	yī-tóu-niú
841	一只雞	classifier	piece (classifier for chickens) (classifier)	yī-zhī-jī
842	一條魚	classifier	piece (classifier for fishes) (classifier)	yī-tiáo-yú
843	一棵樹	classifier	piece (classifier for trees) (classifier)	yī-huàn-shù
844	一叢草	classifier	bush (classifier for grass) (classifier)	yī-cóng-cǎo
845	一朵花兒	classifier	bud (classifier for flower) (classifier)	yī-duǒ-huā-ní
846	一串葡萄	classifier	chain (classifier for grapes) (classifier)	yī-chuàn-pú-táo
847	一頓飯	classifier	portion (classifier for food) (classifier)	yī-dùn-fàn
848	一支煙	classifier	piece (classifier for cigarettes) (classifier)	yī-zhī-yān
849	一瓶酒	classifier	bottle (classifier for alcohol) (classifier)	yī-píng-jiǔ
850	一口水	classifier	mouth (classifier for water) (classifier)	yī-kǒu-shuǐ
851	一套衣服	classifier	piece (classifier for clothes) (classifier)	yī-tào-yī-fú
852	一雙鞋	classifier	pair (classifier for shoes) (classifier)	yī-shuāng-xié
853	一條被子	classifier	piece (classifier for blankets) (classifier)	yī-tiáo-bì-zǐ
854	一頂帳子	classifier	piece (classifier for heats) (classifier)	yī-dǐng-zhàng-zǐ
855	一把刀	classifier	handle (classifier for knives) (classifier)	yī-bǎ-dāo
856	一根針	classifier	piece (classifier for needles) (classifier)	yī-gēn-zhēn
857	一座房子	classifier	piece (classifier for houses) (classifier)	yī-zuò-páng-zǐ
858	一座橋	classifier	piece (classifier for bridges) (classifier)	yī-zuò-qiáo
859	一扇門	classifier	fan (classifier for doors) (classifier)	yī-shàn-mén
860	一輛車	classifier	piece (classifier for cars) (classifier)	yī-liàng-chē
861	一只船	classifier	piece (classifier for ship) (classifier)	yī-zhī-chuán
862	一件事情	classifier	piece (classifier for thing) (classifier)	yī-jiàn-zì-qíng
863	一筆生意	classifier	pencil (classifier for business deals) (classifier)	yī-bǐ-shēng-yì
864	逼(看一遍)	classifier	time (look one time) (classifier)	bī (-kàn-yī-biàn-)
865	次(這一次)	classifier	time (this time) (classifier)	cì (-yàn-yī-cì-)
866	趟(走一趟)	classifier	walk (walk a walk) (classifier)	zhèng (-zòu-yī-zhèng-)
867	頓(打一頓)	classifier	time (beat one time) (classifier)	dùn (-dǐng-yī-dùn-)
868	下(打一下)	classifier	a little bit (beat a little) (classifier)	xià (-dǐng-yī-xià-)
869	從前	adverb	formerly	cōng-qián
870	剛才	adverb	just a short while ago	gāng-cái
871	現在	adverb	now	xiàn-zài
872	一向	adverb	all along	yī-shàng
873	預先	adverb	in advance	yù-xiān
874	巳經	adverb	already	sì-jīng
875	常常	adverb	often	cháng-cháng
876	趕快	adverb	fast, quick	gǎn-kuài
877	馬上	adverb	immediately	mǎ-shàng
878	很	adverb	very	hěn
879	更	adverb	more	gèng
880	最	adverb	most	zuì
881	太	adverb	too	tài
882	稍微	adverb	a little	shāo/shào-wēi/wéi
883	恰巧	adverb	by chance	qià-qiào
884	都	adverb	all	dū
885	統統	adverb	completely	tǒng-tǒng
886	一起	adverb	together	yī-qǐ
887	又	adverb	again	yòu
888	再	adverb	again	zài
889	仍舊	adverb	still	réng-jiù
890	反正	adverb	anyhow	fǎn-zhèng
891	大約	adverb	probably	dà-yuē
892	一定	adverb	certainly	yī-dìng
893	不	adverb	not	fǒu
894	沒〔有〕(未)	adverb	not	mò-〔-yǒu-〕 (-wèi-)
895	別	adverb	other	bié
896	不用	adverb	need not	fǒu-yòng
897	把	preposition	regard as, with	bǎ
898	被	preposition	by	bì
899	替	preposition	instead of	tì
900	在	preposition	in	zài
901	從	preposition	from	cōng
902	到	preposition	until	dào
903	向	preposition	towards	shàng
904	和	preposition	and	hè
905	如果	preposition	if	rú-guǒ
