44	元旦	noun	*new year (noun)	yuán-dàn	2188	YEAR (noun)	4
73	雁	noun	*wild goose (noun)	yàn	1187	GOOSE (noun)	4
96	小雞兒	noun	*small bird (noun)	xiǎo-jī-ní	937	SMALL BOWL (noun)	4
156	冬瓜	noun	*wax gourd (white gourd) (noun)	dōng-guā	411	GOURD (noun)	4
174	荸薺	noun	*water chestnut (noun)	bí-qí	2318	CHESTNUT TREE (noun)	4
176	栗子	noun	*chestnut (noun)	lì-zǐ	!!! 2318	CHESTNUT TREE (noun)	4
188	粥	noun	*rice gruel (congee) (noun)	yù	1167	GRUEL (noun)	4
202	豬肝	noun	*pork liver (noun)	zhū-gān	1224	LIVER (noun)	4
203	豬舌頭	noun	*pork tongue (noun)	zhū-huá-tóu	1205	TONGUE (noun)	4
209	醬油	noun	soy sauce (noun)	jiàng-yóu	1968	SAUCE (noun)	4
245	正房	noun	*middle room in the whole house (noun)	zhèng-páng	1450	MIDDLE (noun)	4
253	鬥檻兒	noun	*bucket trap (noun)	dòu-xiàn-ní	2319	BUCKET (noun)	4
254	曬臺	noun	*flat roof (noun)	xì-tái	769	ROOF (noun)	4
270	皮箱	noun	*leather case (noun)	pí-xiāng	1465	LEATHER (noun)	4
280	菜刀	noun	*kitchen knife (noun)	cài-dāo	!!! 1352	KITCHEN (noun)	4
289	木炭	noun	wood charcoal (noun)	mù-tàn	1188	CHARCOAL (noun)	4
301	拐杖	noun	walking staff (noun)	guǎi-zhàng	1296	WALKING STICK (noun)	4
307	抹布	noun	*dish towel (noun)	mò-bù	1021	TOWEL (noun)	4
327	小刀兒	noun	*small knife (noun)	xiǎo-dāo-ní	1352	KNIFE (noun)	4
369	信紙	noun	*letter paper (noun)	xìn-zhǐ	648	LETTER (noun)	4
392	左手	noun	left hand, left side (noun)	zuò-shǒu	2182	SIDE (noun)	4
393	右手	noun	right hand, right side (noun)	yòu-shǒu	2183	RIGHT HAND (noun)	4
396	小姆指	noun	*little finger (noun)	xiǎo-mào-zhǐ	2120	FINGER OR TOE (noun)	4
411	啞吧	noun	mute person (noun)	yà-bā	2320	FEMALE PERSON (noun)	4
416	跛子	noun	lame person (noun)	bǒ-zǐ	2322	FEMALE PERSON (noun)	4
417	瘋子	noun	mad person (noun)	fēng-zǐ	2321	FEMALE PERSON (noun)	4
446	哥哥	noun	elder brother (noun)	gē-gē	1759	BROTHER (noun)	4
449	姐姐	noun	elder sister (noun)	jiě-jiě	1758	SISTER (OF WOMAN) (noun)	4
467	前面	noun	front, front side (noun)	qián-miàn	2194	FRONT (PART) (noun)	4
468	後面	noun	back, back side (noun)	hòu-miàn	2323	SIDE (noun)	4
473	中間	noun	centre, in the middle of (noun)	zhòng-jiàn	1093	MIDDLE (noun)	4
487	雞窩	noun	*chicken nest (noun)	jī-wō	539	CHICKEN (noun)	4
497	淋雨	verb	*get wet in the rain (verb)	lín-yù	2324	RAIN (RAINING) (verb)	4
539	拔	verb	pull out (verb)	bá	2325	PULL UP (RICE SEEDLINGS) (verb)	4
557	鋪	verb	spread (verb)	fū	38	SPREAD OUT (verb)	4
564	扔	verb	*throw, throw away (verb)	rèng	1456	THROW (verb)	4
565	塡	verb	fill in, fill up (verb)	tián	2006	FILL (verb)	4
573	蹲	verb	*bend down (verb)	dūn/cún	2004	CUT DOWN (verb)	4
574	靠	verb	*lean on, depend on (verb)	kào	756	DEPEND (verb)	4
583	脫	verb	take off (clothes) (verb)	duó	2326	HOLD OR TAKE (verb)	4
587	涮	verb	*boil out (verb)	shuàn	792	BOIL (OF LIQUID) (verb)	4
620	發脾氣	verb	get angry (verb)	fā-pí-qì	2215	ANGRY (adjective)	4
631	開車	verb	*drive a car (verb)	kāi-chē	741	DRIVE (verb)	4
641	下課	verb	*finish class (verb)	xià-kē	1766	FINISH (verb)	4
659	生病	verb	fall ill (verb)	shēng-bìng	2327	FALL (verb)	4
677	小心	verb	*take care (verb)	xiǎo-xīn	253	CARE FOR (verb)	4
678	想念	verb	miss, long for (verb)	xiǎng-niàn	2328	LONG (adjective)	4
681	不要	verb	*refrain from, do not want (verb)	bú-yào	1784	WANT (verb)	4
686	沒有(無)	verb	lack, have not (verb)	mò-yǒu (-mó-)	83	HAVE (verb)	4
