!277	帳子	noun	bed-curtain (noun)	zhàng-zǐ	0	???	8
!279	鍋鏟	noun	pancake turner (noun)	guō-chàn	0	???	8
!284	水瓢	noun	baler (noun)	shuǐ-piáo	0	???	8
!309	撣子	noun	duster (noun)	tán-zǐ	0	???	8
!311	痰盂	noun	spittoon (noun)	tán-yú	0	???	8
!312	算盤	noun	abacus (noun)	suàn-pán	0	???	8
!314	戥子	noun	steelyard (for weighing gold, medicine) (noun)	děng-zǐ	0	???	8
!319	鉗子	noun	pincers (noun)	qián-zǐ	0	???	8
!320	鑷子	noun	tweezers (noun)	niè-zǐ	0	???	8
!326	鉋子	noun	plane (tool) (noun)	bào-zǐ	0	???	8
!333	扁擔	noun	shoulder-pole (noun)	biàn-dān	0	???	8
!341	漆	noun	varnish, paint (noun)	qī	0	???	8
!346	郵局	noun	post office (noun)	yóu-jú	???	???	8
!348	車站	noun	stop, station (noun)	chē-zhàn	0	???	8
!349	碼頭	noun	pier, quay (noun)	mǎ-tóu	0	???	8
!357	人行道	noun	sidewalk (pavement) (noun)	rén-xíng-dào	0	???	8
!368	信封兒	noun	envelope (noun)	xìn-fēng-ní	0	???	8
!370	橡皮圈兒	noun	rubber seal (noun)	xiàng-pí-juàn-ní	???	???	8
!371	圖章	noun	seal, stamp (noun)	tú-zhāng	???	???	8
!372	徽章	noun	badge, emblem (noun)	huī-zhāng	0	???	8
!373	相片	noun	foto (picture) (noun)	xiāng-piàn	0	???	8
!374	電影	noun	film (movie) (noun)	diàn-yǐng	0	???	8
!377	秋千	noun	swing (noun)	qiū-qiān	0	???	8
!378	風箏	noun	kite (noun)	fēng-zhēng	0	???	8
!379	炮仗	noun	firecracker (noun)	bāo-zhàng	0	???	8
!405	小夥子	noun	young fellow (noun)	xiǎo-huǒ-zǐ	???	???	8
!412	結巴	noun	stammerer (noun)	jié-bā	0	???	8
!476	城裏	noun	downtown (inside the city) (noun)	chéng-lǐ	0	???	8
!477	鄉下	noun	countryside (noun)	xiāng-xià	0	???	8
!486	豬圈	noun	pigsty (noun)	zhū-juàn	0	???	8
278	鍋	noun	*cooking-pot (noun)	guō	1462	???	8
283	缸	noun	*earthen jug (noun)	gāng	270	???	8
285	壇子	noun	*earthern jug (noun)	tán-zǐ	270	???	8
365	毛筆	noun	writing brush (noun)	máo-bǐ	1821	???	8
366	鋼筆	noun	fountain pen (noun)	gāng-bǐ	???	???	8
375	故事	noun	history, story (noun)	gù-shì	2060	???	8
394	手指頭	noun	*fingertip (noun)	shǒu-zhǐ-tóu	1303	???	8
413	麻子	noun	person with a pockmarked face (noun)	má-zǐ	???	???	8
414	禿子	noun	baldhead (noun)	tū-zǐ	0	???	8
415	駝子	noun	person with a humpback (noun)	tuó-zǐ	???	???	8
418	單身漢	noun	bachelor (noun)	chán-shēn-hàn	0	???	8
422	強盜	noun	robber (noun)	qiáng-dào	0	???	8
447	嫂子	noun	sister-in-law (elder brother's wife) (noun)	sǎo-zǐ	0	???	8
450	姐夫	noun	*brother-in-law (elder sister's husband) (noun)	jiě-fū	0	2314	8
452	妹夫	noun	*brother-in-law (younger sister's husband) (noun)	mèi-fū	2314	???	8
453	大伯子	noun	*brother-in-law (husband's elder brother) (noun)	dà-bǎi-zi	2314	???	8
454	小叔子	noun	*brother-in-law (husband's younger brother) (noun)	xiǎo-shū-zǐ	2314	???	8
455	大姑子	noun	*brother-in-law (husband's elder brother) (noun)	dà-gū-zǐ	2314	???	8
456	小姑子	noun	sister-in-law (noun)	xiǎo-gū-zǐ	2317	???	8
473	中間	noun	centre, in the middle of (noun)	zhòng-jiàn	1093	???	8
485	窟窿	noun	hole, cavity (noun)	kū-lóng	1667	???	8
507	吸	verb	*inhale (verb)	xī	1407	???	8
532	搬	verb	transfer, move (verb)	bān	765	???	8
540	扶	verb	*support (verb)	fú	1897	???	8
541	摟	verb	hug (verb)	lóu	928	???	8
552	系	verb	tie, bind (verb)	xì	1917	???	8
562	撕	verb	rip, tear (verb)	xī	1735	???	8
563	彈	verb	strengh (verb)	tán	2004	???	8
577	擠	verb	squeeze, push against (verb)	jǐ	1414	???	8
