NUMBER	CHEN1996200	CHINESE	GLOSS	OMEGAWIKI
1	1	我	I	5450
2	2	你	you	5459
3	3	我们	we	5455
4	4	这	this	5458
5	5	那	that	1149393
6	6	谁	who	5490
7	7	设么	what	5491
8	8	不	not	5495
9	9	全部	all	1173416
10	10	多	many	5423
11	11	一	one	6244
12	12	二	two	6248
13	13	大	big	5437
14	14	长	long	5438
15	15	小	small	5509
16	16	女人	woman	4165
17	17	男人	man	6397
18	18	人	person	333730
19	19	鱼	fish	1460
20	20	鸟	bird	400
21	21	狗	dog	966
22	22	虱子	louse	5980
23	23	树	tree	3854
24	24	种子	seed	3361
25	25	叶子	leaf	2124
26	26	根	root	3269
27	27	树皮	bark	5439
28	28	皮肤	skin	3430
29	29	肉	flesh	2300
30	30	血	blood	411
31	31	骨头	bone	5983
32	32	脂肪	grease	5624
33	33	鸡蛋	egg	340828
34	34	角	horn	5981
35	35	尾巴	tail	5468
36	36	羽毛	feather	5436
37	37	头发	hair	446278
38	38	头	head	5527
39	39	耳朵	ear	5510
40	40	眼睛	eye	5511
41	41	鼻子	nose	5471
42	42	嘴	mouth	332000
43	43	牙齿	tooth	5946
44	44	舌头	tongue	5440
45	45	爪子	claw	828575
46	46	脚	foot	5672
47	47	膝	knee	5918
48	48	手	hand	5616
49	49	肚子	belly	5516
50	50	脖子	neck	5823
51	51	乳房	breasts	5992
52	52	心脏	heart	5475
53	53	肝	liver	5476
54	54	喝	drink	5991
55	55	吃	eat	5827
56	56	咬	bite	5993
57	57	看见	see	6003
58	58	听见	hear	5999
59	59	知道	know	6004
60	60	睡	sleep	6519
61	61	死	die	6245
62	62	杀	kill	6023
63	63	游泳	swim	6050
64	64	飞	fly	6052
65	65	走	walk	6054
66	66	来	come	6056
67	67	趟	lie	6005
68	68	坐	sit	6022
69	69	站	stand	6053
70	70	给	give	6059
71	71	说	say	6075
72	72	太阳	sun	5850
73	73	月亮	moon	5729
74	74	星星	star	6041
75	75	水	water	4118
76	76	雨	rain	3100
77	77	石头	stone	3633
78	78	沙子	sand	3305
79	79	土地	earth	5481
80	80	云	cloud	623
81	81	烟	smoke	3451
82	82	火	fire	1446
83	83	灰	ash	264
84	84	烧	burn	1299599
84	84	烧	burn	6039
85	85	路	path	3258
86	86	山	mountain	2421
87	87	红	red	1333710
88	88	绿	green	6032
89	89	黄	yellow	6031
90	90	白	white	5825
91	91	黑	black	1341728
92	92	晚上	night	5486
93	93	热	hot	5637
94	94	冷	cold	5639
95	95	满	full	6040
96	96	新	new	5484
97	97	好	good	443659
98	98	圆	round	5984
99	99	干	dry	5989
100	100	名字	name	5995
