NUMBER	RUSSIAN	GLOSS	OMEGAWIKI
9	кровь	blood	411
10	кость	bone	5983
17	умереть	die	6245
18	собака	dog	966
21	ухо	ear	5510
24	яйцо	egg	340828
25	глаз	eye	5511
28	огонь	fire	1446
29	рыба	fish	1460
32	полный	full	6040
33	дать	give	6059
37	рука	hand	5616
41	рог	horn	5981
42	я	I	5450
45	знать	know	6004
50	вошь	louse	5980
54	луна	moon	5729
57	имя	name	5995
59	новый	new	5484
61	нос	nose	5471
63	один	one	6244
81	камень	stone	3633
82	солнце	sun	5850
84	хвост	tail	5468
86	этот	this	5458
87	ты	thou	5459
88	язык	tongue	5440
89	зуб	tooth	5946
91	два	two	6248
94	вода	water	4118
96	что	what	5491
98	кто	who	5490
104	соль	salt	5599
108	ветер	wind	4160
110	год	year	5478
