NUMBER	GLOSS	OMEGAWIKI
1	grass	1675
2	mouth	332000
3	stone	3633
4	heavy	5451
5	year	5478
6	bird	400
7	near	869106
8	smooth	5487
9	wing	5528
10	man	6397
11	neck	5823
12	tail	5468
13	to walk	6054
14	back	5648
15	to flow	961244
16	left (hand)	1499731
17	to pull	6071
18	to push	6068
19	river	3253
20	rope	5465
21	straight	5994
22	to think	6021
23	to throw	6072
