NUMBER	GLOSS	OMEGAWIKI
1	man	6397
2	woman	4165
3	sun	5850
4	moon	5729
5	fire	1446
6	water	4118
7	head	5527
8	eye	5511
9	ear	5510
10	mouth	332000
11	nose	5471
12	tongue	5440
13	teeth	5946
14	hand	5616
15	foot	5672
16	one	6244
17	two	6248
18	three	156096
19	four	6253
20	five	156104
21	house	5517
