NUMBER	BENNET1976100	GLOSS	OMEGAWIKI
1	51	be able	419859
2	52	arrive	5965
3	53	ask	5717
4	54	bear	7552
5	55	beat	6855
6	56	bring	334503
7	57	build	7714
8	58	buy	8061
9	59	close	448880
10	60	come	6056
11	61	cough	373675
12	62	die	6245
13	63	do	351006
14	64	drink	5991
15	65	escape	661590
16	66	extinguish	1255943
17	67	fall	5622
18	68	fly	6052
19	69	go	334831
20	70	hate	6573
21	71	hear	5999
22	72	help	830463
23	73	hide	3430
24	74	hunt	6046
25	75	kill	6023
26	76	kneel	1120420
27	77	know	6004
28	78	laugh	5876
29	79	leave	7092
30	80	love	395193
31	81	meet	7643
32	82	milk	2358
33	83	pay	336535
34	84	pray	1056622
35	85	read	337421
36	86	refuse	1103325
37	87	remember	335793
38	88	resemble	720983
39	89	return	1300468
40	90	see	6003
41	91	seek	6142
42	92	be silent	1103280
43	93	sing	5540
44	94	sit	6022
45	95	stand	6053
46	96	steal	336072
47	97	tell	701342
48	98	throw	6072
49	99	tie	844574
50	100	walk	6054
