NUMBER	GLOSS	OMEGAWIKI
1	one	6244
2	two	6248
3	three	156096
4	four	6253
5	five	156104
6	I	5450
7	thou (you sg.)	5459
8	not	5495
9	ear	5510
10	tongue	5440
11	tooth	5946
12	foot	5672
13	fingernail (claw)	828575
14	heart	5475
15	name	5995
16	day	5477
17	night	5486
18	sun	5850
19	star	6041
20	shadow	5966
21	wind	4160
22	salt	5599
23	green	6032
24	new	5484
25	come	6056
26	eat	5827
27	sleep	6519
28	live (be alive)	6028
29	give	6059
30	sew	6073
