NUMBER	GLOSS	SPANISH	FRENCH	GERMAN	OMEGAWIKI
1	I	yo	je	ich	5450
2	thou	tú	tu	du	5459
3	we	nosotros	nous	wir	5455
4	this	este	celui-ci	dieser	5458
5	that	aquel	celui-là	jener	1149393
6	who?	quién?	qui?	wer?	5490
7	what?	qué?	quoi?	was?	5491
8	not	no	ne…pas	nicht	5495
9	all	todos	tous	alle	1173416
10	many	muchos	beaucoup	viele	5423
11	one	uno	un	eins	6244
12	two	dos	deux	zwei	6248
13	big	grande	grand	gross	5437
14	long	largo	long	lang	5438
15	small	chico	petit	klein	5509
16	woman	mujer	femme	Weib/Frau	4165
17	man	hombre	homme	Mann	6397
18	person	gente	personne	Mensch	333730
19	fish	pez	poisson	Fisch	1460
20	bird	pájaro	oiseau	Vogel	400
21	dog	perro	chien	Hund	966
22	louse	piojo	pou	Laus	5980
23	tree	árbol	arbre	Baum	3854
24	seed	semilla	semence	Samen	3361
25	leaf	hoja	feuille	Blatt	2124
26	root	raíz	racine	Wurzel	3269
27	bark	corteza	écorce	Rinde	5439
28	skin	piel	peau	Haut	3430
29	flesh	carne	viande	Fleisch	2300	-
30	blood	sangre	sang	Blut	411
31	bone	hueso	os	Knochen	5983
32	grease	grasa	graisse	Fett	5624
33	egg	huevo	oeuf	Ei	340828
34	horn	cuerno	corne	Horn	5981
35	tail	cola/rabo	queue	Schwanz	5468
36	feather	pluma	plume	Feder	5436
37	hair	cabello	cheveu	(Kopf-)Haare	446278
38	head	cabeza	tête	Kopf	5527
39	ear	oreja	oreille	Ohr	5510
40	eye	ojo	oeil	Auge	5511
41	nose	nariz	nez	Nase	5471
42	mouth	boca	bouche	Mund	332000
43	tooth	diente	dent	Zahn	5946
44	tongue	lengua	langue	Zunge	5440
45	fingernail	garra/uña	griffe	Nagel	828575
46	foot	pie	pied	Fuss	5672
47	knee	rodilla	genou	Knie	5918
48	hand	mano	main	Hand	5616
49	belly	barriga	ventre	Bauch	5516
50	neck	cuello	cou	Nacken	5823
51	breasts	senos	sein	weibliche Brust	5992
52	heart	corazón	coeur	Herz	5475
53	liver	hígado	foie	Leber	5476
54	drink	beber	boire	trinken	5991
55	eat	comer	manger	essen	5827
56	bite	morder	mordre	beissen	5993
57	see	ver	voir	sehen	6003
58	hear	oír	entendre	hören	5999
59	know	saber	savoir	wissen	6004
60	sleep	dormir	dormir	schlafen	6519
61	die	morir	mourir	sterben	6245
62	kill	matar	tuer	töten	6023
63	swim	nadar	nager	schwimmen	6050
64	fly	volar	voler	fliegen	6052
65	walk	andar	marcher	gehen	6054
66	come	venir	venir	kommen	6056
67	lie	acostado	être couché	liegen	6005
68	sit	sentado	être assis	sitzen	6022
69	stand	parado	être debout	stehen	6053
70	give	dar	donner	geben	6059
71	say	decir	dire	sagen	6075
72	sun	sol	soleil	Sonne	5850
73	moon	luna	lune	Mond	5729
74	star	estrella	étoile	Stern	6041
75	water	agua	eau	Wasser	4118
76	rain	lluvia	pluie	Regen	3100
77	stone	piedra	pierre	Stein	3633
78	sand	arena	sable	Sand	3305
79	earth	tierra	terre	Erde	5481
80	cloud	nube	nuage	Wolken	623
81	smoke	humo	fumée	Rauch	3451
82	fire	fuego	feu	Feuer	1446
83	ash	ceniza	cendres	Asche	264
84	burn	arder	brûler	brennen	6039
85	path	camino	chemin	Weg	3258
86	mountain	cerro	montagne	Berg	2421
87	red	rojo	rouge	rot	1333710
88	green	verde	vert	grün	6032
89	yellow	amarillo	jaune	gelb	6031
90	white	blanco	blanc	weiss	5825
91	black	negro	noir	schwarz	1341728
92	night	noche	nuit	Nacht	5486
93	hot	caliente	chaud	heiss	5637
94	cold	frío	froid	kalt	5639
95	full	lleno	plein	voll	6040
96	new	nuevo	nouveau	neu	5484
97	good	bueno	bon	gut	443659
98	round	redondo	rond	rund	5984
99	dry	seco	sec	trocken	5989
100	name	nombre	nom	Name	5995
