NUMBER	RUSSIAN	GLOSS	OMEGAWIKI
1	1-е лицо	first person marker	5450
2	два	two	6248
3	2-е лицо	second person marker	5456
4	кто, что	who/what	5490
4	кто, что	who/what	5491
5	язык	tongue	5440
6	имя	name	5995
7	глаз	eye	5511
8	сердце	heart	5475
9	зуб	tooth	5946
10	не при глаголе	verbal negation	5568
11	ноготь	finger-nail/toe-nail	828575
12	вошь	louse	5980
13	слеза	tear (noun)	6805
14	вода	water	4118
15	мертвый	dead	6660
