NUMBER	PAGENUMBER	GLOSS	CHINESE	NUMBERINSOURCE	OMEGAWIKI
1	167	animal	动物	14	194
2	167	ant	蚂蚁	25	160271
3	167	arm	胳膊 [B = 胳毙]	102,6	6894
4	167	arrow	箭	166	420887
5	167	ashamed	惭愧	258	823950
6	168	ashes	烟灰 [B = 灰]	152	264
7	168	awaken	醒	300	353802
8	168	back	背	114	5648
9	168	bad	坏	320	5650
10	168	bamboo	竹子	60	848903
11	169	banana	香蕉；芭蕉 [B = 香蕉]	138	369665
12	169	bark	树皮	55	5439
13	169	barley	大麦	349	398106
14	169	bat>>	蝙蝠	44	7344
15	169	be born, to	出生	251	474983
16	170	beam	横梁 [B = 梁]	157	498099
17	170	bean	豆	145	355931
18	170	bear	熊	39	7552
19	170	beautiful	漂亮 [B = meili]	358	6037
20	170	bed	床	159	6851
21	171	bee	蜜蜂	29	325
22	171	beetle	甲虫	386	NAN
23	171	belch	打嗝	278	NAN
24	171	bell	铃	169	NAN
25	171	belly*	肚子	110	5516
26	172	big	大	404	5437
27	172	big brother	哥哥	401	7130
28	172	big sister	姐姐	407	7129
29	172	bird *	鸟	15	400
30	172	bite	咬	325	5993
31	173	bitter	苦	266	375671
32	173	black	黑	65	1341728
33	173	blood*	血	127	411
34	173	blow (out)%	?	?	NAN
35	173	blow [of person]	吹	335	1375415
36	174	blow [of wind]	刮	351	1375415
37	174	blue	蓝	71	357132
38	174	boat	船	169,1	7774
39	174	boil	煮（＝开水）	340	347033
40	174	bone*	骨头	126	5983
41	175	bow	弓	165	427040
42	175	bowl	碗	147	6341
43	175	boy	男孩 [B = 男青年]	253	5905
44	175	brain>>	脑子 [B= 脑髓]	119	6504
45	175	branch	树枝	53	6343
46	176	break	弄坏 [B = pohuai]	317	333586
47	176	break （branch）	断（小枝）	361	333586
48	176	breast	奶 [B = 乳房]	116	5992
49	176	breathe	呼吸	242	5998
50	176	bright	明亮 [B = liang]	248	333539
51	177	build	建筑	375	7714
52	177	burn	燃烧	247	1299599
53	177	butt>>	屁股	115	356264
54	177	buy	买	295	8061
55	177	candle	蜡烛	336	5592
56	177	cat	猫	289	5446
57	177	catch	捉	?	335306
58	178	caterpillar	毛虫	380	NAN
59	178	cattle>>	牛	47	511
60	178	cave	山洞	294,1	513
61	178	chicken>>	鸡	19	5778
62	178	claw	爪子	109,5	828398
63	179	clay>>	黏土	91	599
64	179	close	关闭	225	160351
65	179	clothes	衣服	302,5	8254
66	179	cloud*	云	74	623
67	179	coarse	粗糙	274	NAN
68	180	cockroach>>	蟑螂	30	646
69	180	cold	冷	232	5639
70	180	color	颜色	64,5	661
71	180	come	来	328	6056
72	180	cooked	熟 （肉 ＝ 不生）	382	1505768
73	180	cough	咳嗽	243	373675
74	181	crow>>	乌鸦	17	388727
75	181	cry	哭	282	7709
76	181	cucumber	黄瓜	395	156381
77	181	cup	杯子 [B = 茶杯] 	237	154685
78	181	cut	切	345	6043
79	181	dance	跳舞	285	8136
80	182	dark	暗	378	335607
81	182	daughter	女儿	901	5881
82	182	day*	白天	78	5477
83	182	deep	深	410	6535
84	182	descend	下（去）[B = xia (shan)]	311	980418
85	182	die	死	267	6245
86	182	difficult	难	218	159359
87	182	dig	挖	292	6024
88	183	dog *	狗	51	966
89	183	door	门	155	6430
90	183	dream (n)	梦	352	8448
91	183	dress, to	穿	302	351289
92	183	drink	喝	402	5991
93	183	drum	鼓	168	386380
94	183	drunk	醉	259	6098
95	184	dry	干	246	5989
96	184	duck>>	鸭子	18	5886
97	184	dull	钝	220	5988
98	184	ear*	耳朵	101	5510
99	184	early	早	299	331892
100	185	192	八	8	7005
101	185	earth	地；土地 [B = 地（天地）]	73	5481
102	185	earth%	土地	73,1	5481
103	185	easy	容易	214	333916
104	185	eat	吃	178	5827
105	185	egg*	（鸡）蛋	20	340828
106	185	emerge	出	271	465364
107	186	enter	进（去）[B = jinlai]	392	341348
108	186	evening	晚上	309	6671
109	186	extinguish	灭	255	1255943
110	186	eye*	眼睛	96	5511
111	186	fall	落	308	5622
112	187	far	远	172	5997
113	187	fart, to	放屁 ［B = 屁]	280	515390
114	187	fast	快	191	6672
115	187	fat [of person]	胖	182	5619
116	187	fat* [of meat]	肥肉	137	NAN
117	187	father	爸爸	412	5464
118	187	fear, to	害怕 [B = pa]	270	6025
119	188	feather*	羽毛	22	5436
120	188	few	少	12	5500
121	188	field	田	288	1425
122	188	finger	手指	107	5675
123	188	fire	火	150	1446
124	188	fish*	鱼	38	1460
125	188	five	五	5	156104
126	189	fix	修理	319	NAN
127	189	flat	扁平 [B = ping]	287	6680
128	189	flavor	味道	265	NAN
129	189	flee	逃跑 [B = tao]	324	414377
130	189	float	漂流 [B = 浮]	353	6457
131	189	flow	流 [B = liu (shui)]	419	961244
132	190	flower	花	62	1487
133	190	fly (n)>>	苍蝇	26	6261
134	190	fly, to	飞	190	6052
135	190	fog>>	雾	85	1502
136	190	foot*	脚	113	5672
137	190	forget	忘记	202	6328
138	191	four	四	4	6253
139	191	fragrant	香	264	1511050
140	191	friend	朋友	304	5793
141	191	frog	青蛙	35	1570
142	191	fruit	水果 [B = 果子]	57	6280
143	191	full	满	236	6040
144	191	fur	（动物的）毛	238	1590
145	192	get up	起床	301	6557
146	192	girl	女孩 [B = 女青年]	254	6752
147	192	give	给	296,5	6059
148	192	give birth, to	生 [B = sheng (haizi)]	252	541498
149	192	go	去	305,6	334831
150	193	good	好	405	443659
151	193	gourd	瓜	263	1526657
152	193	grandfather (pat)	爷爷	384	5953
153	193	grandson	孙子	200	6627
154	193	grass	草	63	1675
155	194	green	绿	69	6032
156	194	grind	磨	348	441895
157	194	guts* (intestine)	肠	123	5824
158	194	hair (human head)	头发	95	446278
159	194	hair (on body)%	（人身体上的）毛	129	1399403
160	194	hand*	手	105	5616
161	195	hard 	硬	413	8173
162	195	hate	恨	?	6573
163	195	hate	讨厌（人）	390	6573
164	195	he	他	181	5454
165	195	head*	头	94	5527
166	195	hear 	听见	369	5999
167	196	heart*	心脏 [B = 心]	120	5475
168	196	heavy	重	219	5451
169	196	here	这里	329	1287831
170	196	hide	躲藏 [B = duo]	272	161806
171	196	high (of place)	高	418	5562
172	196	hit	打	321	6044
173	196	hole [in cloth]	洞	162	6857
174	197	honey>>	蜂蜜	30,1	404630
175	197	hook	钩子	164	461013
176	197	horn*	角	48	5981
177	197	horse	马	49	1780
178	197	hot	热	230	5637
179	197	house	房子 [B = 房屋]	153	5517
180	197	hundred	百	11	6685
181	198	I	我	173	5450
182	198	hungry	饿	176	6345
183	198	hunt	狩猎 [B = da lie]	224	6046
184	198	hurt	疼 [B = tengtong]	211	NAN
185	198	husband	丈夫	362	5432
186	199	insect	虫子	24	1959
187	199	inside	里面	415	6571
188	199	itchy	痒	208	1312191
189	199	joint	关节	108	430011
190	199	jump	跳	337	7622
191	199	kick	踢	326	500899
192	199	kidney>>	肾	124	155634
193	200	kill	杀	268	6023
194	200	knife	刀子 [B = 刀]	167	5873
195	200	know [info]	知道	341	6004
196	200	know [sb]	认识	343	6004
197	200	lake	湖	381	2061
198	200	late	晚	310	154705
199	201	laugh	笑（有声的）	388	5876
200	201	leaf	叶子	54	2124
201	201	leaf (of tree, cf. 402)%	树叶 [B only]	?	2124
202	201	leech	水蛭	33	412005
203	201	left	左	197	1499731
204	201	leg	大腿 [B = 腿]	112	5665
205	202	lick	添	290	1510483
206	202	lie down	躺	315	1425860
207	202	lie, to tell	说谎	260	161769
208	202	light	轻	215	452743
209	202	lightning>>	闪电	82	6811
210	202	like	喜欢	283	486031
211	203	lip>>	唇	98,5	154710
212	203	liquor	酒	142	358484
213	203	listen	听（音乐）	368	6576
214	203	little brother	弟弟	409	7131
215	205	little sister	妹妹	406	7132
216	205	liver*	肝	121	5476
217	205	long	长	196	5438
218	205	look at	看	307	7550
219	205	louse*	虱子	27	5980
220	205	lung>>	肺	125	334158
221	205	man	男人	387	6397
222	205	many	多	13	5423
223	205	marrow	骨髓	128	7679
224	205	marry, to	结婚	249	1411401
225	205	meat	肉	203	2300
226	206	meat*	肉	136	2300
227	206	medicine	药	900	5919
228	206	mend (clothes)	补	414	NAN
229	206	metal	金属	296	NAN
230	206	milk	牛奶	141	2358
231	206	monkey	猴子	42	5870
232	207	moon*	月亮	76	5729
233	207	morning	早上 ［早晨］	298	5840
234	207	mortar	研钵	148	NAN
235	207	mosquito>>	蚊子	28	630453
236	207	mother	妈妈	379	5463
237	207	mountain*	山	86	2421
238	208	mouth*	嘴巴	98	332000
239	208	mud>>	泥巴 ［B = 泥土]	102,5	2428
240	208	mushroom	蘑菇	63,5	2444
241	208	music	音乐	394	2445
242	209	nail*	指甲	109	5529
243	209	name	名子	201	5995
244	209	navel	肚脐	111	7690
245	209	near	近	175	869106
246	209	neck*	脖子	102	5823
247	210	needle	针	160	5951
248	210	nest>>	巢	23	1581551
249	210	net	（鱼）网	399	1511110
250	210	new	新	212	5484
251	210	night*	夜里 [夜晚]	79	5486
252	211	nine	九	9	6193
253	211	no%	不 [B = bu (shi)]	?	5568
254	211	nose*	鼻子	97	5471
255	211	not 	不	400	5495
256	211	now	现在	177	5936
257	212	oar	划桨（名词）	169,2	NAN
258	212	old [person]	老 （人老）	188	5482
259	212	old [thing]	旧	217	5482
260	212	one	一	1	6244
261	212	open	打开	227	513017
262	212	otter	水獭	43	1031630
263	212	outside	外面	403	342558
264	213	palm	手掌 [B = 手心]	106	529277
265	213	penis	阴茎 [B = 男生殖器]	117	5473
266	213	person	人	186	333730
267	213	pestle	杵 [B = 杵棒]	149	1454217
268	213	phlegm>>	痰	132,5	NAN
269	214	pick	摘	262	1511027
270	214	pig	猪	50	5836
271	214	pigeon	鸽子	16	NAN
272	214	pine	松树	56	706003
273	214	piss	尿	134	160433
274	214	plantain	大蕉	NAN	1511168
275	214	plough (n)	犁	318	845139
276	215	poison	毒药	291	2847
277	215	pull	拉	331	6071
278	215	pumpkin	南瓜	367	366683
279	215	push	推	330	6068
280	215	put	放 [B = fangzhi]	334	429615
281	215	rain, to%	下雨 [B = xia (yu)]	363	5523
282	216	rain>>	雨	81	3100
283	216	rainbow>>	彩虹 [B = 虹]	80	7041
284	216	rat	老鼠	45	6233
285	216	raw	生（肉）	383	899678
286	216	red	红	67	1333710
287	216	release	释放	350	476248
288	217	remember	记得	199	335793
289	217	return	回	312	1300468
290	217	rice (cooked)	饭	146	538459
291	217	rice plant	稻	61	395506
292	217	ride	骑	323	1511006
293	217	right	右	194	436024
294	218	ripe	熟	206	1378364
295	218	river*	江 [B = 河］	88	3253
296	218	road	路	169,4	3258
297	218	roof	屋顶	154	344031
298	218	root	根	59	3269
299	218	rope	绳	163	5465
300	219	rotten	腐烂 [B = lan (gua = of gourd)]	205	7031
301	219	round	圆	293	5984
302	219	run	跑	192	6323
303	219	salt	盐	143	5599
304	219	salty	咸	370	475116
305	219	scratch	抓	209	6047
306	220	see	看见 [B = 见]	332	6003
307	220	seed	种子	58	3361
308	220	seed/pit% [B = 核]	核	58,1	3361
309	220	sell	卖	297	6439
310	220	seven	七	7	7004
311	220	sew	缝纫 [B = feng]	355	6073
312	221	shadow	影子	93	5966
313	221	shallow	浅	397	1404411
314	221	sharp	快（刀）	?	5987
315	221	sharp	锋利	216	5987
316	221	she	她	372	7667
317	221	sheep>>	羊	46	5819
318	222	shell>>	（蛋）壳	37	161542
319	222	shit	屎	135	332137
320	222	shoot	射	222	522875
321	222	short (of length)	短	198	6746
322	222	short (of stature)	矮	421	6746
323	222	shoulder>>	肩膀	103	6186
324	222	sick	病	187	7800
325	223	silver	银 [B = 银子]	92	3424
326	223	sing	唱 [B = chang ge]	284	5540
327	223	sit	坐	306	6022
327	223	sit	坐	306	6785
328	223	six	六	6	7003
329	223	skin	皮肤	346	3430
330	224	sky*	天空	72	7039
331	224	sleep	睡觉	316	6519
332	224	slow	慢	193	335287
333	224	small	小	408	5509
334	224	smell, to (vt.)	闻	261	6520
335	224	smile	微笑	281	6067
336	224	smoke	烟	151	3451
337	225	smooth (of surface)	光滑	276	5487
338	225	snake *	蛇	34	3388
339	225	sneeze	打喷嚏	244	665334
340	225	snot	鼻涕	132	1417428
341	225	soft	软	239	7907
342	225	son	儿子	183	6634
343	226	son-in-law	女婿	269	NAN
344	226	song	歌	?	476597
345	226	sour	酸	207	838324
346	226	speak	说话 [B = 说]	391	6656
347	226	spicy	辣	398	1581678
348	226	spider>>	蜘蛛	31	3588
349	226	spit, to	呕吐	279	6051
350	227	saliva*	口水	133	6259
351	227	squeeze	压榨	347	6017
352	227	stand up	站	327	1581992
353	227	star*	星星	77	6041
354	227	steal	偷	322	336072
355	228	stink	臭	204	6521
356	228	stomach>>	胃	122	352530
357	228	stone*	石头	89	3633
358	228	straight	直	396	5994
359	228	strong	强壮	286	345510
360	229	summer	夏天 ［夏］	229	5848
361	229	sun*	太阳	75	5850
362	229	swallow	吞	420	380335
363	229	swap	交换	359	NAN
364	229	sweat	汗水 [B = 汗]	130	1250835
365	229	sweet	甜	235	336426
366	230	swell	肿	210	6454
367	230	swim	游泳	338	6050
368	230	tail*	尾巴	41	5468
369	230	tall (of stature)	高	417	335942
370	230	taste	尝	374	1051228
371	230	ten	十	10	6312
372	230	that	那	185	1149393
373	231	there	那里	393	858309
374	231	thick	厚	273	5503
375	231	thin [object]	薄	275	5990
376	231	thin [person]	瘦	184	5990
377	231	thirsty	渴	179	359725
378	231	this	这	189	5458
379	232	thorn	刺	64	1243793
380	232	thread	线	161	515580
381	232	three	三	3	156096
382	232	throw	抛	344	6072
383	232	thunder>>	雷电	83	509787
384	232	tie	结	356	844574
385	233	tiger>>	老虎	40	8437
386	233	tongue*	舌头	100	5440
387	233	tooth*	牙齿	99	5946
388	233	tree*	树	52	3854
389	233	turtle>>	乌龟	36	1200609
390	233	two	二	2	6248
391	234	uncle (mat)	舅（母亲的哥）	389	5806
392	234	undress	脱	313	710500
393	234	vagina	阴道 [B = 女生殖器]	118	7685
394	234	valley	山谷	87	3938
395	234	village	村子	171	3968
396	235	voice	（人的）声音	360	5899
397	235	vomit	呕吐物	131	5617
398	235	wait	等 [B = denghou]	339	6530
399	235	walk	走	303	6054
400	235	wall	墙壁	158	3989
401	235	warm	暖和	233	5485
402	236	wash	洗	314	6069
403	236	water	水	140	4118
404	236	wax gourd	冬瓜	366	1526657
405	236	wax>>	蜡	30,2	NAN
406	236	weave	编织 [B = zhi (bu)]	342	1280854
407	237	web>>	蜘蛛网	31,5	456539
408	237	wet	湿	333	7027
409	237	what	什么	364	5491
410	237	white	白	66	5825
411	237	wife 	妻子	373	5429
412	238	wind*	风	84	4160
413	238	window	窗户	156	5932
414	238	wing*	翅膀	21	5528
415	238	winter	冬天［冬］	231	6147
416	238	woman	女人	371	4165
417	239	wood	木头 [B = 木材]	245	741520
418	239	worm>>	蚯蚓	32	5466
419	239	yawn	打哈欠	277	441371
420	239	year	年	250	5478
421	239	yellow	黄	68	6031
422	239	you	你	169,5	5456
423	239	young	年轻	903	5445
