NUMBER	GLOSS	OMEGAWIKI
1	person	333730
2	man (1)	6397
3	man (2)	6397
4	boy, youth (1)	5905
5	boy, youth (2)	5905
6	woman, †girl (1)	4165
7	woman, girl (2)	4165
7	woman, girl (2)	6752
8	girl	6752
9	baby	5642
10	old man	1526622
11	head (1)	5527
12	11a.   head (2)	5527
13	head (3)	5527
14	hair, forehead	446278
14	hair, forehead	1241509
15	ear (1)	5510
16	ear (2)	5510
17	eye (1)	5511
18	eye (2)	5511
19	nose (1)	5471
20	nose (2)	5471
21	mouth	332000
22	teeth	5946
23	tongue (1)	5440
24	tongue (2)	5440
25	beard	333455
26	chin	6306
27	neck	5823
28	shoulder	6186
29	hand (1)	5616
30	hand (2)	5616
31	arm	6894
32	nails	828575
33	breasts	5992
34	belly	5516
35	knee (1)	5918
36	knee (2)	5918
37	knee (3)	5918
38	foot, †leg (1)	5672
39	foot	5672
40	heart (1)	5475
41	heart (2)	5475
42	bone	5983
43	blood (1)	411
44	blood (2)	411
45	liver	5476
46	fat	5624
47	skin	3430
48	faeces (1)	332125
49	faeces (2)	332125
50	urine	504787
51	sinew	502614
52	horn	5981
53	tail (1)	5468
54	tail (2)	5468
55	navel	7690
56	chief	1508307
57	shaman, ceremonial initiate	1511147
58	house (1)	5517
59	house (2)	5517
60	bow	427040
61	arrow (1)	420887
62	arrow (2)	420887
63	knife	5873
64	boat (1)	7774
65	63a. boat (2)	7774
66	boat (3)	7774
67	pipe (1)	489864
68	pipe (2)	489864
69	pestle (1)	1454217
70	pestle (2)	1454217
71	sun (1)	5850
72	sun (2)	5850
73	moon	5729
74	star	6041
75	night (1)	5486
76	night (2)	5486
77	cloud	623
78	lightning	6811
79	rain	3100
80	snow	3455
81	fire	1446
82	smoke	3451
83	ash	264
84	coal	535
85	water (1)	4118
86	water (2)	4118
87	earth	5481
88	mountain (1)	2421
89	mountain (2)	2421
90	stone	3633
91	salt	5599
92	wood	741520
93	grass, brush	1675
94	sugar pine	706003
95	yellow pine	706003
96	digger pine	706003
97	buckeye	4323
98	manzanita (1)	1579894
99	manzanita (2)	1579894
100	tule (1)	1579898
101	tule (2)	1579898
102	tule (3)	1579898
103	dog	966
104	coyote	388687
105	fox	5726
106	bear	7552
107	grizzly bear	7552
108	puma	8219
109	deer	858
110	elk	718134
111	jackrabbit	535092
112	bird	400
113	buzzard	8038
114	crane (1)	7634
115	crane (2)	7634
116	turtle	1200609
117	rattlesnake (1)	370629
118	rattlesnake (2)	370629
119	frog	1570
120	fish (1)	1460
121	fish (2)	1460
122	salmon	408626
123	trout	347439
124	fly	6261
125	spider (1)	3588
126	spider (2)	3588
127	louse	5980
128	flea	1476
129	grasshopper	1677
130	worm	5466
131	name	5995
132	white	5825
133	black (1)	1341728
134	black (2)	1341728
135	red	1333710
136	large	5437
137	small	5509
138	I	5450
139	thou	5459
140	we	5455
141	this (1)	5458
142	this (1)	5458
143	that (1)	1149393
144	that (2)	1149393
145	that (3)	1149393
146	who	5490
147	what	5491
148	up (1)	6531
149	up (2)	6531
150	down	5797
151	tomorrow (1)	5808
152	tomorrow (2)	5808
153	one	6244
154	two (1)	6248
155	two (2)	6248
156	three	156096
157	five (1)	156104
158	five (2)	156104
159	eat (1)	5827
160	eat (2)	5827
161	drink	5991
162	dance (1)	8136
163	run	6323
164	dance (1)	8136
165	dance (2)	8136
166	sing	5540
167	sleep (1)	6519
168	sleep (2)	6519
169	see	6003
170	kill	6023
171	give	6059
172	laugh	5876
173	cry, mourn	7709
