NUMBER	GLOSS	OMEGAWIKI
1	head	5527
2	forehead	1241509
3	nape	5862
4	eye	5511
5	nose	5471
6	ear	5510
7	mouth	332000
8	tooth	5946
9	bone	5983
10	tongue	5440
11	shoulder	6186
12	armpit	818235
13	liver	5476
14	belly	5516
15	upper arm	1541167
16	elbow	422180
17	hand	5616
18	thigh	348189
19	knee	5918
20	shin	1398936
21	foot	5672
22	blood	411
23	fat, grease	5624
24	skin	3430
25	head hair	446278
26	hungry	6345
27	to eat	5827
28	to die	6245
29	to see	6003
30	hear	5999
31	black	1341728
32	to speak	6656
33	to be standing	6053
34	to sit	6022
35	to go	334831
36	to run	6323
37	to fall	5622
38	to climb	479387
39	to take	7077
40	to leave it	7092
41	to throw	6072
42	to give	6059
43	to hit (with hand)	6044
44	bite	5993
45	to cut	6043
46	to spear	1544459
47	to cry	7709
48	to laugh	5876
49	good	443659
50	bad	5650
51	person, Aborigine	333730
52	woman	4165
53	to dig	6024
54	stone	3633
55	ground	5481
56	sun	5850
57	moon	5729
58	star	6041
59	wind	4160
60	water	4118
61	creek	4259
62	fire	1446
63	smoke	3451
64	ashes	264
65	to burn (intr.)	6039
66	meat, animal	2300
66	meat, animal	194
67	tail	5468
68	egg	340828
69	dog	966
70	tree	3854
71	leaf	2124
72	vegetable food	1505
73	east	8131
74	west	7537
75	north	6550
76	south	6542
77	up	6531
78	down, below	5797
79	tomorrow	5808
80	by-and-by	1167115
81	one	6244
82	two	6248
83	three	156096
84	many	5423
85	big	5437
86	small	5509
87	far	5997
88	near	869106
89	long	5438
90	short	6746
91	hard	8173
92	this	5458
93	what?	5491
94	who?	5490
95	where?	5492
96	I	5450
97	you (sg.)	5456
98	he	5454
99	we two inclusive	496905
100	you two	5456
100	you two	6248
