NUMBER	BENNET1976100	GLOSS	OMEGAWIKI
1	1	animal	194
2	2	ant	160271
3	3	arrow	420887
4	4	axe	333200
5	5	bean	355931
6	6	beard	333455
7	7	blood	411
8	8	bone	5983
9	9	broom	1501242
10	10	bush	6933
11	11	cave	513
12	12	chair	6162
13	13	cow	432006
14	14	darkness	1025381
15	15	egg	340828
16	16	finger	5675
17	17	fire	1446
18	18	fish	1460
19	19	flour	6539
20	20	flower	1487
21	21	food	1505
22	22	frog	1570
23	23	grass	1675
24	24	hair	446278
25	25	herdsman	1505722
26	26	knee	5918
27	27	lake	2061
28	28	lion	5961
29	29	meat	2300
30	30	mouth	332000
31	31	name	5995
32	32	neck	5823
33	33	nose	5471
34	34	person	333730
35	35	rabbit	501465
36	36	rain	3100
37	37	rat	6233
38	38	rib	348225
39	39	river	3253
40	40	sand	3305
41	41	sheep	5819
42	42	shield	456348
43	43	smoke	3451
44	44	spear	408915
45	45	stone	3633
46	46	string	5465
47	47	sun	5850
48	48	tooth	5946
49	49	town	5974
50	50	year	5478
