NUMBER	FRENCH	GLOSS	OMEGAWIKI
1	aller	go	334831
2	venir	come	6056
3	boire	drink	5991
4	manger	eat	5827
5	vivre	live	478515
6	mourir	die	6245
7	entendre	hear	5999
8	voir	see	6003
9	dire	say	6075
10	se taire	be silent	1103280
11	vieux	old	5482
12	neuf	new	5484
13	grand	big	5437
14	petit	small	5509
15	long	long	5438
16	large	wide	5502
