NUMBER	GLOSS	CHINESE	OMEGAWIKI
1	sky	天	7039
2	sun	太阳	5850
3	moon	月亮	5729
4	star	星星	6041
5	cloud	云	623
6	wind	风	4160
7	rain	雨	3100
8	lightning (vb)	闪电	6811
9	thunder (vb)	打雷	509787
10	hail	冰雹	1707
11	snow	雪	3455
12	frost	霜	NAN
13	fog	雾	1502
14	water	水	4118
15	river	河	3253
16	lake	湖	2061
17	pond	水塘	NAN
18	wet	水田	7027
19	field meadow	旱地	1425
20	earth	地	5481
21	soil	土	5481
22	mountain	山	2421
23	stone	石头	3633
24	fire	火	1446
25	in front	前面	8160
26	behind	后面	6945
27	left (side)	左边	1499731
28	right (side)	右边	436024
29	inside	里边	6571
30	outside	外边	342558
31	year	年、岁	5478
32	this year	今年	1577366
33	last year	去年	1577370
34	month	月(月份）	5914
35	first month (lunar)	正月	NAN
36	second month	二月	NAN
37	day	天（日子）	5477
37	day	天（日子）	5533
38	today	今天	5630
39	yesterday	昨天	525186
40	day before yesterday	前天	528467
41	tomorrow	明天	5808
42	day after tomorrow	后天	528451
43	morning	早晨	5840
44	noon	中午	NAN
45	now	现在	5936
46	cow	牛	432006
47	horse	马	1780
48	pig	猪	5836
49	sheep	绵羊	5819
50	dog	狗	966
51	cat	猫	5446
52	hare,rabbit	兔	535092
52	hare,rabbit	兔	501465
53	dragon	龙	NAN
54	tiger	虎	8437
55	bear	熊	7552
56	monkey	猴子	5870
57	wolf	狼	158033
58	mouse	老鼠	6237
59	chicken	鸡	5778
60	turtledove	斑鸠	7890
61	bird	鸟	400
62	eagle	老鹰	838154
63	crow	乌鸦	388727
64	magpie	喜鹊	NAN
65	swallow	燕子	380335
66	sparrow	麻雀	7891
67	bat	蝙蝠	7344
68	frog	青蛙	1570
69	fish	鱼	1460
70	snake	蛇	3388
71	bee	蜜蜂	325
72	butterfly	蝴蝶	7316
73	locust	蚂蚱	349672
74	ant	蚂蚁	160271
75	spider	蜘蛛	3588
76	bedbug	臭虫	880112
77	flea	跳蚤	1476
78	louse	虱子	5980
79	fly (insect)	苍蝇	6261
80	mosquito	蚊子	630453
81	earthworm	蚯蚓	5466
82	leech	水蛭	412005
83	insect,bug	虫	1959
83	insect,bug	虫	6261
83	insect,bug	虫	441
84	egg	蛋	340828
85	wing (bird)	翅膀	5528
86	feather,hair	毛	446278
86	feather,hair	毛	5436
87	horn	角	5981
88	tail	尾巴	5468
89	tree	树	3854
90	pine tree	松树	706003
91	willow	柳树	352435
92	bamboo	竹子	848903
93	paddy field	水稻	1541112
94	corn,maize	玉米	157264
95	barley	大麦	398106
96	buckwheat	荞	NAN
97	taro	芋头	1510923
98	cotton	棉花	781
99	hemp	麻	NAN
100	bean	豆子	355931
101	pea	豌豆	NAN
102	soybean	黄豆	NAN
103	pumpkin	南瓜	366683
104	cucumber	黄瓜	156381
105	vegetable	菜	NAN
106	chilli pepper	辣子	392603
107	pepper	花椒	5960
108	walnut	核桃	NAN
109	peach	桃子	NAN
110	pear	梨子	393831
111	persimmon	柿子	NAN
112	grass	草	1675
113	mushroom	菌子	2444
114	seed	种子	3361
