NUMBER	COMMON_CHINESE	GLOSS	CHINESE	OMEGAWIKI
1	*thian¹	sky	天	7039
2	*sam¹	three	三	156096
3	*kiai¹	chicken	鸡	5778
4	*kon¹	liver	肝	5476
5	*shim¹	deep	深	6535
6	*bi²	skin	皮	3430
7	*loi²	come	来	6056
8	*liou²	flow	留	961244
9	*ŋiou²	cow	牛	432006
10	*jioŋ²	long	长	5438
11	*shyi³	water	水	4118
12	*huo³	fire	火	1446
13	*shiou³	hand	手	5616
14	*tsou³	early	早	331892
15	*teŋ³	wait	等	6530
16	*zhioŋ⁴	rise	上	630856
17	*hha⁴	go down	下	980418
18	*jiuŋ⁴	heavy	重	5451
19	*dzuo⁴	sit	坐	6022
20	*gin⁴	near	近	869106
21	*khie⁵	go	去	334831
22	*pho⁵	broken	破	160300
23	*si⁵	four	四	6253
24	*pon⁵	half	半	352085
25	*siau⁵	laugh	笑	5876
26	*biaŋ⁶	sick	病	7800
27	*dzi⁶	graph	字	439341
28	*giou⁶	old	老	5482
29	*zhy⁶	tree	树	3854
30	*nhi⁶	two	二	6248
31	*hiot⁷	blood	血	411
32	*tshit⁷	seven	七	7004
33	*ciuk⁷	bamboo	竹	848903
34	*chiut⁷	go out	出	480460
35	*kap⁷	nail (finger- and toenail)	甲	156863
35	*kap⁷	nail (finger- and toenail)	甲	828575
36	*ŋiot⁸	month	月	5914
37	*bak⁸	white	白	5825
38	*zhip⁸	ten	十	6312
39	*zhiak⁸	stone	石	3633
40	*ziak⁸	mat	席	1405241
