NUMBER	GLOSS	OMEGAWIKI
1	—alive	6028
2	*all	1173416
3	and	6464
4	animal	194
5	—arm	6894
6	ashes	264
7	at	6078
8	back	5648
9	bad	5650
10	*bark	5439
11	because	514093
12	*belly	5516
13	*big	5437
14	*bird	400
15	*bite	5993
16	*black	1341728
17	*blood	411
18	blow	1375415
19	*bone	5983
20	**breasts	5992
21	breathe	5998
22	*burn	6039
22	burn	1299599
23	child	7413
23	child	568
24	claw	828575
25	cloud	623
26	*cold	5639
27	*come	6056
28	count	6026
29	cut	6043
30	**dark	335607
31	day	5477
32	*die	6245
33	dig	6024
34	dirty	5483
35	*dog	966
36	—down	5797
37	*drink	5991
38	*dry	5989
39	dull	5988
40	dust	1009
41	*ear	5510
42	*earth	5481
43	*eat	5827
44	*egg	340828
45	*eye	5511
46	fall	5622
47	far	5997
48	*fat-grease	5624
49	father	5464
50	fear	6025
50	fear	345325
51	*feather	5436
52	few	5500
53	fight	6030
54	*fire	1446
55	*fish	1460
56	five	156104
57	float	6457
58	flow	961244
59	flower	1487
60	*fly vb	6052
61	fog	1502
62	*foot	5672
63	four	6253
64	freeze	6042
65	fruit	6280
66	**full	6040
67	—fur	1590
68	*give	6059
69	*good	443659
70	grass	1675
71	*green	6032
72	guts	5824
73	*hair	446278
74	*hand	5616
75	he	5454
76	*head	5527
77	*hear	5999
78	*heart	5475
79	heavy	5451
80	here	1287831
81	hit	6044
82	hold-take	6060
82	hold-take	7077
83	**horn	5981
84	how	5494
85	hunt	6046
86	husband	5432
87	*I	5450
88	ice	1837
89	if	6076
90	in	6077
91	*kill	6023
92	**knee	5918
93	*know	6004
94	lake	2061
95	laugh	5876
96	*leaf	2124
97	leftside	1499731
98	leg	5665
99	*lie (down)	1425860
99	*lie (down)	6005
100	—lip	154710
101	live	6028
102	*liver	5476
103	*long	5438
104	*louse	5980
105	*man-male	6397
105	*man-male	6396
106	*many	5423
107	*meat-flesh	2300
108	—milk	2358
109	**moon	5729
110	mother	5463
111	*mountain	2421
112	*mouth	332000
113	*name	5995
114	narrow	5566
115	—navel	7690
116	near	869106
117	*neck	5823
118	*new	5484
119	*night	5486
120	*nose	5471
121	*not	5495
122	old	5482
123	*one	6244
124	other	1406403
125	*person	333730
126	play	6010
127	pull	6071
128	push	6068
129	*rain	3100
129	*rain	5523
130	red	1333710
131	right-correct	7026
132	rightside	436024
133	—ripe	1378364
134	river	3253
135	*road-path	3258
136	*root	3269
137	rope	5465
138	rotten	7031
139	**round	5984
140	rub	6062
141	salt	5599
142	*sand	3305
143	*say	6075
144	scratch	6047
145	sea	6154
146	*see	6003
147	*seed	3361
148	sew	6073
149	sharp	5987
150	short	6746
151	sing	5540
152	*sit	6022
153	*skin	3430
154	sky	7039
155	*sleep vb	6519
156	*small	5509
157	smell	6521
158	*smoke	3451
159	smooth	5487
160	snake	3388
161	snow	3455
162	some	5499
163	spit-saliva	6259
164	split	6048
165	squeeze	6017
166	stab-pierce	6045
166	stab-pierce	1511162
167	*stand	6053
168	*star	6041
169	stick	5662
170	*stone	3633
171	straight	5994
172	suck	6027
173	*sun	5850
174	swell vb	6454
175	*swim	6050
176	*tail	5468
177	that	1149393
178	there	858309
179	they	352331
180	thick	5503
181	thin	5990
182	think	6021
183	*this	5458
184	*thou	5459
185	three	156096
186	throw	6072
187	tie	844574
188	*tongue	5440
189	*tooth	5946
190	*tree	3854
191	turn	6526
192	*two	6248
193	—up	6531
194	vomit	5617
195	*walk	6054
196	*warm-hot	5485
196	*warm-hot	5637
197	wash	6069
198	*water	4118
199	*we	5455
200	wet	7027
201	*what?	5491
202	when?	5493
203	where?	5492
204	*white	5825
205	*who?	5490
206	wide	5502
207	wife	5429
208	wind n	4160
209	wing	5528
210	wipe	6070
211	with	5844
212	*woman	4165
213	woods	1533
214	worm	5466
215	ye	5456
216	year	5478
217	*yellow	6031
