NUMBER	LATIN	CATEGORY	GLOSS	OMEGAWIKI
1	unum	Nomina numeralia	one	6244
2	duo	Nomina numeralia	two	6248
3	3	Nomina numeralia	three	156096
4	4	Nomina numeralia	four	6253
5	5	Nomina numeralia	five	156104
6	6	Nomina numeralia	six	7003
7	7	Nomina numeralia	seven	7004
8	8	Nomina numeralia	eight	7005
9	9	Nomina numeralia	nine	6193
10	10	Nomina numeralia	ten	6312
11	20	Nomina numeralia	twenty	7013
12	30	Nomina numeralia	thirty	7017
13	40	Nomina numeralia	fourty	7018
14	50	Nomina numeralia	fifty	7019
15	100	Nomina numeralia	hundred	6685
16	1000	Nomina numeralia	thousand	7755
17	pater	Propinquitates & aetates	father	5464
18	mater	Propinquitates & aetates	mother	5463
19	avus	Propinquitates & aetates	uncle	5806
20	filius	Propinquitates & aetates	son	6634
21	filia	Propinquitates & aetates	daughter	5881
22	frater	Propinquitates & aetates	brother	5541
23	soror	Propinquitates & aetates	sister	5544
24	patruus	Propinquitates & aetates	uncle	5806
25	maritus	Propinquitates & aetates	husband	5432
26	uxor	Propinquitates & aetates	wife	5429
27	socer	Propinquitates & aetates	father-in-law	454081
28	gener	Propinquitates & aetates	son-in-law	454149
29	vir	Propinquitates & aetates	man	6397
30	mulier	Propinquitates & aetates	woman	4165
31	infans	Propinquitates & aetates	child	568
32	juvenis	Propinquitates & aetates	young	5445
33	senex	Propinquitates & aetates	old	5482
34	corpus	Partes corporis	body	6179
35	caro	Partes corporis	flesh	2300
36	cutis	Partes corporis	skin	3430
37	sanguis	Partes corporis	blood	411
38	ossa	Partes corporis	bones	5983
39	caput	Partes corporis	head	5527
40	frons	Partes corporis	forehead	1241509
41	nasus	Partes corporis	nose	5471
42	oculus	Partes corporis	eye	5511
43	pupilla	Partes corporis	pupil of the eye	683023
44	auris	Partes corporis	ear	5510
45	barba	Partes corporis	beard	333455
46	os	Partes corporis	mouth	332000
47	lingua	Partes corporis	tongue	5440
48	dens	Partes corporis	tooth	5946
49	pectus	Partes corporis	chest	6532
50	cor	Partes corporis	heart	5475
51	brachium	Partes corporis	arm	6894
52	manus	Partes corporis	hand	5616
53	pes	Partes corporis	foot	5672
54	digitus	Partes corporis	finger	5675
55	crines	Partes corporis	hair	446278
56	venter	Partes corporis	belly	5516
57	mamillae	Partes corporis	breasts, nipples	5992
57	mamillae	Partes corporis	breasts, nipples	348030
58	cibus	Necessitates	food	1505
59	potus	Necessitates	drink	339
60	panis	Necessitates	bread	5910
61	aqua	Necessitates	water	4118
62	lac	Necessitates	milk	2358
63	vinum	Necessitates	wine	6329
64	medo	Necessitates	mead	403676
65	herba	Necessitates	plant	2836
66	frumentum	Necessitates	grain	1674
67	pomum	Necessitates	apple	5781
68	sal	Necessitates	salt	5599
69	piscis	Necessitates	fish	1460
70	bos	Necessitates	ox	518788
71	ovis	Necessitates	eggs	340828
72	equus	Necessitates	horse	1780
73	vestis	Necessitates	clothing	8254
74	pellis	Necessitates	pelt	1590
75	domus	Necessitates	house	5517
76	currus	Necessitates	cart, chariot	1240424
77	gladius	Necessitates	sword	6350
78	arcus	Necessitates	bow	427040
79	sagitta	Necessitates	arrow	420887
80	lancea	Necessitates	lance, spear	408915
81	bombarda	Necessitates	cannon, gun	6428
82	deus	Naturalia	god	871639
83	homo	Naturalia	man, human being	333730
84	coelum	Naturalia	heaven	6426
85	sol	Naturalia	sun	5850
86	luna	Naturalia	moon	5729
87	stella	Naturalia	star	6041
88	aër	Naturalia	air	106
89	pluvia	Naturalia	rain	3100
90	tonitru	Naturalia	thunder	509787
91	fulgur	Naturalia	lightning	6811
92	nubes	Naturalia	cloud	623
93	gelu	Naturalia	frost	1837
94	grando	Naturalia	hail	1707
95	nix	Naturalia	snow	3455
96	glacies	Naturalia	ice	1837
97	ignis	Naturalia	fire	1446
98	calor	Naturalia	heat	1746
99	lux	Naturalia	light	2158
100	fumus	Naturalia	smoke	3451
101	terra	Naturalia	land	5481
101	terra	Naturalia	land, soil	5481
102	ager	Naturalia	field	1425
103	mons	Naturalia	mountain	2421
104	vallis	Naturalia	valley	3938
105	mare	Naturalia	sea	6154
106	fluvius	Naturalia	river	3253
107	lapis	Naturalia	stone	3633
108	arena	Naturalia	sand	3305
109	canis	Naturalia	dog	966
110	lupus	Naturalia	wolf	158033
111	cervus	Naturalia	deer	858
112	ursus	Naturalia	bear	7552
113	vulpes	Naturalia	fox	5726
114	avis	Naturalia	bird	400
115	serpens	Naturalia	snake	3388
116	mus	Naturalia	mouse	6237
117	edere	Actiones	eat	5827
118	bibere	Actiones	drink	5991
119	loqui	Actiones	talk	6656
120	videre	Actiones	see	6003
121	esse	Actiones	be	6480
122	stare	Actiones	stand	6053
123	ire	Actiones	go	334831
124	occidere	Actiones	kill	6023
125	ridere	Actiones	smile	6067
126	dormire	Actiones	sleep	6519
127	scire	Actiones	know	6004
128	velle	Actiones	want	7258
