NUMBER	GLOSS	OMEGAWIKI
1	I	5450
2	thou	5459
3	he	5454
4	we	5455
5	ye	5456
6	one	6244
7	two	6248
8	three	156096
9	four	6253
10	five	156104
11	six	7003
12	seven	7004
13	eight	7005
14	nine	6193
15	ten	6312
16	hundred	6685
17	all	1173416
18	animal	194
19	ashes	264
20	back	5648
21	bad	5650
22	bark	5439
23	belly	5516
24	big	5437
25	black	1341728
26	blood	411
27	bone	5983
28	brother (elder)	7130
29	child (son or daughter)	7413
30	cloud	623
31	cold	5639
32	come	6056
33	cry (weep)	7709
34	dance	8136
35	day	5477
36	dog	966
37	dust	1009
38	ear	5510
39	earth	5481
40	eat	5827
41	egg	340828
42	eye	5511
43	far	5997
44	father	5464
45	fire	1446
46	flower	1487
47	fog	1502
48	foot	5672
49	good	443659
50	grass	1675
51	green	6032
52	hair	446278
53	hand	5616
54	head	5527
55	heart	5475
56	here	1287831
57	hit (with fist)	6044
58	hunt	6046
59	husband	5432
60	ice	1837
61	lake	2061
62	laugh	5876
63	leaf	2124
64	left hand	1499731
65	leg	5665
66	liver	5476
67	long	5438
68	louse	5980
69	man	6397
70	meat	2300
71	mother	5463
72	mountain	2421
73	mouth	332000
74	name	5995
75	near	869106
76	neck	5823
77	night	5486
78	nose	5471
79	person	333730
80	rain	3100
80	rain	5523
81	red	1333710
82	right hand	436024
83	road (trail)	3258
84	root	3269
85	rope	5465
86	salt	5599
87	sand	3305
88	short	6746
89	sing	5540
90	sister (elder)	7129
91	skin	3430
92	sky	7039
93	small	5509
94	smoke	3451
95	snake	3388
96	snow	3455
97	speak	6656
98	spear (war)	408915
99	star	6041
100	stone	3633
101	sun	5850
102	swim	6050
103	tail	5468
104	that	1149393
105	there	858309
106	this	5458
107	tongue	5440
108	tooth	5946
109	tree	3854
110	warm	5485
111	water	4118
112	what	5491
113	where	5492
114	white	5825
115	who	5490
116	wife	5429
117	wind	4160
118	woman	4165
119	year	5478
120	yellow	6031
121	arm	6894
122	arrow	420887
123	aunt (paternal)	5591
124	awl	1505847
125	ax	333200
126	bow	427040
127	brain	6504
128	breast	5992
129	canoe (bark)	911657
130	canoe (dugout)	911657
131	chisel	926391
132	creek	4259
133	firedrill	1577388
134	firewood	1024755
135	fishhook	461552
136	gall	723561
137	go	334831
138	grandfather (paternal)	5953
139	grandmother (paternal)	6247
140	hammer	6183
141	hat	344283
142	high	5562
143	horn or antler	5981
144	house	5517
145	kidney	155634
146	knife	5873
147	leather	2126
148	lip (lower)	154710
149	low	336887
150	lung	334158
151	mocassin	5948
152	moon	5729
153	morning	5840
154	mouse	6237
155	muscle	431414
156	paddle	1478129
157	quiver	427098
158	rib	348225
159	robe	154560
160	spoon	5944
161	stomach	352530
162	tobacco	420209
163	uncle (paternal)	5806
164	vein	8471
165	wolf	158033
