ID	GLOSS	PRIORITY
163	BLACK///Ağ	1
837	BLUE///Qara	1
2409	BROWN///Boz	1
1425	GREEN///Qırmızı	1
153	GREY///Narıncı	1
3328	ORANGE (COLOR)///Sarı	1
3446	PINK///Yaşıl	1
2452	PURPLE///Mavi	1
156	RED///Göy	1
3914	TURQUOISE///Bənövşəyi	1
1335	WHITE///Qəhvəyi	1
1424	YELLOW///Çəhrayı	1
