CONCEPTICON_ID	EAT_WORD	DEGREE	WEIGHTED_DEGREE
2	DUST	145	277.00
3	BRAVE	96	253.00
5	GAZELLE	4	6.00
6	EARTHQUAKE	60	118.00
7	GATHER	72	201.00
8	CURSE	18	31.00
9	ANNOUNCE	60	122.00
10	FIREWOOD	3	3.00
11	DARKNESS	97	204.00
12	MIDDAY	1	8.00
13	DECEIT	83	150.00
14	YOKE	2	4.00
15	OTTER	53	110.00
17	EYELID	52	106.00
20	SCYTHE	33	120.00
21	TASTE	135	351.00
22	INTEND	3	3.00
23	RYE	7	7.00
24	PRAY	71	166.00
25	DIRT	253	672.00
26	UNPLEASANT	104	188.00
27	AIR	232	678.00
29	GELD	3	3.00
30	DISPEL	2	2.00
31	PAN	93	194.00
33	NETTLE	9	13.00
34	STAIRS	93	233.00
37	LIBERATE	4	4.00
39	KEEN	86	158.00
40	ENVY	52	136.00
41	IGNORE	82	155.00
42	STINKING	55	103.00
43	LEAD	129	272.00
44	INJURE	46	111.00
45	EVIL	196	400.00
47	EXCRETA	5	5.00
49	REFUSE	92	207.00
50	JACK	108	235.00
51	SORE	179	376.00
52	SHIVER	42	145.00
53	SPIRIT	107	308.00
54	SHRINK	13	21.00
55	WHISPER	58	154.00
56	BAD LUCK	62	108.00
58	LIQUID	103	257.00
59	ELECTRICITY	117	266.00
60	OAT	2	2.00
61	INDUCE	6	7.00
63	RUMOUR	8	21.00
64	PIN	134	334.00
65	AMBUSH	5	5.00
66	KNEEL	42	135.00
68	TATTOO	3	6.00
69	SOBER	44	134.00
72	CLAW	22	68.00
73	BEAK	55	134.00
74	PUPPY	36	125.00
75	DISGRACE	68	105.00
76	YOUNG MAN	3	3.00
78	THAT	125	353.00
79	WASTE	157	281.00
81	FATHOM	3	6.00
82	ANGER	213	598.00
83	FORBID	9	23.00
84	JUST	118	209.00
85	GIVE BACK	9	24.00
86	SIEVE	6	10.00
88	BEEHIVE	2	4.00
90	INNOCENT	61	119.00
91	INSOLENT	3	9.00
92	SPOIL	69	134.00
96	CRAWL	76	213.00
97	THROUGH	130	237.00
98	ALL	218	633.00
100	FAITHFUL	57	120.00
101	BOAST	13	17.00
103	FORNICATE	53	95.00
105	MATTRESS	47	155.00
106	SATIATED	2	2.00
107	OMEN	4	4.00
108	RUDDER	3	3.00
109	FOREIGN	162	360.00
110	MOTOR	79	292.00
111	DRUMMING	4	4.00
112	TURTLE	41	118.00
113	SHORE	70	202.00
114	PORPOISE	39	104.00
117	IMITATE	6	14.00
119	DIVE	58	174.00
120	PITCHER	39	101.00
121	SPIN	79	161.00
122	CART	69	198.00
123	FOREHEAD	9	34.00
124	THORN	47	142.00
125	SWEAT	150	317.00
126	SWEAT	150	317.00
127	EXTINGUISH	27	105.00
128	MUMBLE	3	9.00
129	CHOKE	60	136.00
130	GRATIS	2	5.00
131	FESTIVAL	81	146.00
132	SAUCE	96	208.00
133	WEAVE	58	153.00
134	FAULT	82	134.00
135	BOOMERANG	3	4.00
136	HERE	215	613.00
138	BATHE	8	8.00
139	GUMS	35	111.00
141	BURN	132	259.00
143	HUMID	31	107.00
144	MACHINE	201	472.00
145	SORROWFUL	5	6.00
148	ITCH	61	213.00
149	ITCHY	5	5.00
150	WORRY	185	433.00
151	RAZOR	43	199.00
152	HOOF	31	106.00
153	GREY	194	319.00
154	UDDER	29	112.00
155	CHOP	68	260.00
156	RED	516	1734.00
157	DYE	5	5.00
158	PUT ON	7	7.00
160	SET	169	334.00
161	MISS	117	287.00
162	HICCOUGH	1	2.00
163	BLACK	567	1637.00
164	KANGAROO	9	44.00
166	MAINLAND	39	95.00
167	MAIL	77	180.00
168	REST	171	416.00
169	IT	347	614.00
174	PROUD	28	57.00
175	BLOW	157	371.00
176	BLOW	157	371.00
178	RIPE	75	149.00
182	SPOKE	53	152.00
183	BAKE	43	125.00
184	MAST	44	135.00
185	FIREPLACE	47	119.00
186	SHIN	48	113.00
187	LOIN	4	5.00
190	MOW	5	9.00
191	NUT	141	329.00
192	CORNER	117	273.00
193	SHALLOW	44	132.00
194	FAMILY	140	300.00
195	MAT	84	198.00
196	DONATE	25	115.00
197	OTHER	87	257.00
199	FAMINE	61	151.00
200	SAME	106	471.00
201	FARM	130	373.00
202	STRENGTH	155	385.00
203	MARRY	77	153.00
204	AGAIN	224	617.00
205	TROUGH	10	11.00
207	SPARSE	6	6.00
209	RARE	103	241.00
210	LIFE	655	1371.00
211	CAST	76	152.00
